category,word,question,generated,expected,contains_entity,contains_entity_explanation,matches_reference,matches_reference_explanation
movies,31st Screen Actors Guild Awards,Which guild ceremony awarded Demi Moore the leading-actress film prize for “The Substance”?,"At 31st Toronto International Film Festival, Demi Moore received the acting prize for “The Substance” in the festival. The same film also earned her a top acting award from the festival.","In the film honors, 31st Screen Actors Guild Awards gave Demi Moore the leading-actress prize that night.",False,The generated answer mentions '31st Toronto International Film Festival' instead of '31st Screen Actors Guild Awards'.,False,"The generated answer provides an incorrect event ('31st Toronto International Film Festival') compared to the reference answer ('31st Screen Actors Guild Awards'). The core information, the name of the awarding body, is different."
cybersecurity,Adobe,Which company later issued additional 2025 fixes for a content-management product line after high-severity flaws were disclosed?,"The company that issued additional 2025 fixes was Adobe, according to the advisory.",The 2025 fixes from Adobe covered the content-management product line. They included remediation steps and emphasized applying updates across affected components.,True,The generated answer explicitly mentions 'Adobe'.,False,"The generated answer identifies Adobe as the company, but it omits the crucial detail that the fixes were 'for a content-management product line', which is present in the reference answer and specified in the question."
organizations,Apple,Which company reported a quarterly earnings beat and announced a large share buyback program alongside a dividend raise?,"The company that reported a quarterly earnings beat and announced a large share buyback program alongside a dividend raise was Apple, according to its quarterly update.","The company that paired an earnings beat with a large buyback was Apple, in its quarterly filing.",True,The generated answer explicitly mentions 'Apple'.,True,"Both the generated and reference answers correctly identify Apple as the company. The generated answer includes all details from the question (earnings beat, large share buyback, dividend raise) while the reference is slightly more concise but still points to Apple for the core event."
movies,50th Toronto International Film Festival,Which festival listed “Sing Sing” as a runner-up for its top audience award?,"At 50th Toronto International Film Festival, “Sing Sing” was listed as a runner-up for its top audience award that year. The top winner was “Derida” there.",The runner-up placement referenced in the question was listed by 50th Toronto International Film Festival in its announcement.,True,The generated answer explicitly mentions '50th Toronto International Film Festival'.,True,"Both the generated and reference answers correctly identify '50th Toronto International Film Festival' as the festival that listed 'Sing Sing' as a runner-up for its top audience award, directly answering the question. The additional information about the top winner in the generated answer does not detract from its correctness regarding the core question."
countries,Ukraine,"Where did the president say elections could be considered if security conditions and legislative changes allowed, while the war still shaped public life?","The president in Ukraine said elections could be considered if security conditions and legislative changes allowed, while the war still shaped public life.",The president in Ukraine said elections could be considered if security conditions and legislative changes allowed. He framed the issue as contingent on protecting voters and maintaining frontline stability.,True,The answer explicitly mentions 'Ukraine'.,True,"The generated answer correctly identifies 'Ukraine' as the location and states the primary conditions for considering elections (security conditions and legislative changes allowed). While the reference adds a secondary detail about protecting voters and frontline stability, the core information conveyed by the generated answer aligns with the reference."
laws,Digital Services Act,Under which EU regime did regulators publish preliminary findings that two very large platforms did not provide vetted researchers sufficient data access?,"In the ongoing Digital Markets Act investigation, the European Union’s Digital Markets Act was used to scrutinize platform access.",The relevant law is Digital Services Act for this finding.,False,The generated answer mentions 'Digital Markets Act' instead of 'Digital Services Act'.,False,"The generated answer incorrectly identifies 'Digital Markets Act' as the relevant regime, while the reference states 'Digital Services Act' is the correct one. These are different laws."
movies,41st Sundance Film Festival,Which festival awarded the world-cinema documentary grand jury prize to “Cutting Through Rocks”?,"At 41st Sundance Film Festival, the world-cinema documentary grand jury prize went to “Cutting Through Rocks” in the listing. The awards were announced during the festival.","At 41st Sundance Film Festival, the world-cinema documentary grand jury prize went to “Cutting Through Rocks” in the record. The same awards slate also included a U.S. documentary grand jury win for “Seeds” as context.",True,The generated answer explicitly mentions '41st Sundance Film Festival'.,True,"The generated answer provides the core information requested by the question ('41st Sundance Film Festival' awarded the prize to 'Cutting Through Rocks'), which matches the essential information in the reference answer. The reference's additional context about 'Seeds' is not core to the specific question about 'Cutting Through Rocks'."
products,Zepbound,Which weight-loss injection was cited in late-2025 reporting about demand and supply dynamics for GLP-1 medicines?,Zepbound was cited in late-2025 reporting about demand and supply dynamics for GLP-1 medicines.,Zepbound was cited in late-2025 reporting about demand and supply dynamics for GLP-1 medicines. The coverage connected availability pressures to policy scrutiny and market responses.,True,The generated answer explicitly mentions 'Zepbound'.,True,"The generated answer conveys the core information required to answer the question, identifying Zepbound. The additional detail in the reference is supplementary and not essential to answer the 'which injection' part of the question."
cities,"Washington, D.C.",In which city did a wave of new federal executive actions become a major local storyline?,"The reporting frame for the wave of new federal executive actions described the wave as unfolding in Washington, D.C.","Washington, D.C. was the city involved.",True,"The entity 'Washington, D.C.' is explicitly mentioned in the generated answer.",True,"Both the generated answer and the reference answer identify Washington, D.C. as the city where the events unfolded, which directly answers the question."
celebrities,Novak Djokovic,Which player reached 100 match wins at Wimbledon after advancing into the second week?,Novak Djokovic reached 100 match wins at Wimbledon after advancing into the second week.,Novak Djokovic reached 100 Wimbledon wins.,True,The answer explicitly mentions 'Novak Djokovic'.,True,"The generated answer conveys the same core information as the reference ('Novak Djokovic reached 100 Wimbledon wins') and also includes the additional detail from the question ('after advancing into the second week'), which is consistent and more complete."
politicians,Vladimir Putin,Which leader’s side pushed territorial and neutrality demands during peace negotiations?,"In peace negotiations, Vladimir Putin’s side pushed territorial demands.","At negotiations, Vladimir Putin’s side pressed demands on territory and neutrality.",True,The generated answer explicitly mentions 'Vladimir Putin'.,False,"The generated answer mentions 'territorial demands' but omits 'neutrality demands', which are present in the reference answer and were part of the original question."
companies,The Walt Disney Company,Which media group agreed to a US regulator settlement over alleged children's-privacy violations tied to online services?,"The media group that agreed to a US regulator settlement was Meta, according to the company’s statement.",The Walt Disney Company,False,"The generated answer mentions 'Meta', not 'The Walt Disney Company'.",False,"The generated answer incorrectly identifies 'Meta' as the media group, whereas the reference answer correctly identifies 'The Walt Disney Company'."
companies,Toyota,Which automaker issued a major recall after identifying a safety-related defect that could raise crash risk?,The recall notice from Toyota was issued over a defect that raised crash risk.,Toyota issued a major recall after identifying a safety-related defect.,True,The generated answer explicitly mentions 'Toyota'.,True,"The generated answer conveys the same core information as the reference, identifying Toyota as the automaker that issued a recall due to a defect raising crash risk."
companies,JPMorgan Chase,Which bank reported second-quarter results while warning that credit losses could normalize from unusually low levels?,"The bank that reported second-quarter results while warning about credit losses was JPMorgan Chase, according to its earnings release.","The bank that reported second-quarter results while warning about normalizing credit losses was JPMorgan Chase, executives said.",True,The generated answer explicitly mentions 'JPMorgan Chase'.,True,"Both the generated and reference answers identify 'JPMorgan Chase' as the bank that reported second-quarter results and warned about credit losses (or normalizing credit losses), directly addressing the core information in the question. The slight difference in phrasing ('credit losses' vs 'normalizing credit losses') does not alter the core message in the context of the question asked."
elections,Honduras,Which country’s electoral authorities issued new rules and timelines ahead of a high-stakes national vote?,The country’s electoral authorities in Brazil issued new rules and timelines ahead of a high-stakes national vote.,Honduras,False,The generated answer mentions 'Brazil' instead of 'Honduras'.,False,"The generated answer incorrectly identifies Brazil as the country, while the reference answer correctly states Honduras."
laws,Corporate Transparency Act,Which U.S. beneficial-ownership reporting law was cited when regulators extended filing deadlines in response to court developments?,"The law is the Corporate Transparency Act, but the relevant provision is the Corporate Transparency Act’s reporting deadline was tied to the Corporate Transparency Act’s sister provision, the Corporate Transparency Act’s reporting rules were set by the Corporate Transparency Act’s implementing regulations.",Corporate Transparency Act drove the reporting extension.,True,The generated answer explicitly mentions 'Corporate Transparency Act' multiple times.,True,"The generated answer identifies 'The Corporate Transparency Act' as the relevant law, which matches the core information provided by the reference answer, despite being excessively verbose and repetitive."
elections,Belarus,Where did Western governments denounce the election outcome and expand pressure measures afterward?,"After the 2024 election, Western governments have not yet issued a formal statement denouncing the outcome. The process is ongoing and results are still being counted.",International denunciations after the vote focused on Belarus in particular.,False,The generated answer does not mention or reference 'Belarus'.,False,"The reference states that denunciations focused on Belarus, implying denunciations occurred. The generated answer states that Western governments 'have not yet issued a formal statement denouncing the outcome', directly contradicting the core information of the reference."
countries,Indonesia,"After the government released a national AI roadmap to attract investment and build domestic capability, which country published the plan?","After the government released a national AI roadmap to attract investment and build domestic capability, the country was the United Kingdom, as part of its broader industrial strategy.","After the government released a national AI roadmap, Indonesia positioned it as a catalyst for investment and domestic capability.",False,The generated answer explicitly names 'United Kingdom' and does not mention 'Indonesia'.,False,"The reference answer correctly identifies 'Indonesia' as the country, while the generated answer incorrectly states 'United Kingdom'."
countries,Japan,In which country did an upper-house vote leave the ruling bloc short of a majority?,"In this vote, Australia left the ruling bloc short of a majority.",Japan held an upper-house vote that left the ruling bloc short of a majority.,False,The generated answer mentions 'Australia' instead of the entity 'Japan'.,False,"The generated answer provides 'Australia' as the country, which is incorrect according to the reference answer that states 'Japan'."
products,Wegovy,Which weight-loss drug gained U.S. approval in late 2025 for a pill formulation intended for weight management?,"Wegovy gained U.S. approval in late 2021 for a pill formulation intended for weight management, as part of a broader weight-loss strategy.",Wegovy was granted late-2025 U.S. approval for a pill formulation for weight management. The approval expanded delivery options beyond injections and included multiple dose strengths.,True,The generated answer explicitly mentions 'Wegovy'.,False,"The generated answer states the approval date was 'late 2021', while the reference (and question) specifies 'late-2025'. This is a critical factual mismatch."
movies,50th Toronto International Film Festival,Which festival awarded its documentary audience prize to “Rude to Love”?,"At 78th Cannes Film Festival, the documentary audience prize went to “Rude to Love” in the list. The same audience prize also went to “UNSCRIPTED” there as well.","At 50th Toronto International Film Festival, the documentary audience prize went to “Rude to Love” in the list. The same audience slate also included “Sentimental Value” as the top overall winner as well.",False,The generated answer mentions '78th Cannes Film Festival' instead of '50th Toronto International Film Festival'.,False,"The generated answer provides a different festival ('78th Cannes Film Festival') than the one in the reference answer ('50th Toronto International Film Festival'), making it incorrect as per the reference."
sanctions,Council of the European Union,Which body finalized the decision to reinstate previously lifted international restrictions tied to a nuclear file after the snapback mechanism advanced?,"In this case, the body that finalized the decision to reinstate previously lifted international restrictions was the European Union. It came with the condition that the snapback mechanism advanced, as part of the agreement.","In this instance, the Council of the European Union finalized the decision to reinstate previously lifted international restrictions tied to the nuclear file. It proceeded on the basis of the mechanism’s outcome, with implementation following the reinstated obligations.",False,The generated answer mentions 'European Union' but not the specific entity 'Council of the European Union'.,False,"The generated answer identifies 'the European Union' as the body, while the reference answer correctly specifies 'the Council of the European Union'. These are distinct entities, making the generated answer's core information incorrect/less specific."
politicians,Marine Le Pen,Which politician formally appealed a court ruling and became the focus of protest calls by supporters?,"In a widely followed case, Viktor Orbán appealed a court ruling and became the focus of protests.",Marine Le Pen filed an appeal against the conviction.,False,The generated answer mentions 'Viktor Orbán' instead of 'Marine Le Pen'.,False,"The generated answer identifies the wrong politician (Viktor Orbán instead of Marine Le Pen) as the one who appealed the court ruling, making it factually incorrect based on the reference."
sanctions,Australian Sanctions Office,Which sanctions administrator announced the listing of many vessels under a sanctions framework aimed at maritime sanctions evasion?,Office of Foreign Assets Control (OFAC),Australian Sanctions Office,False,"The generated answer mentions 'Office of Foreign Assets Control (OFAC)', which is a different entity from the 'Australian Sanctions Office'.",False,"The generated answer provides 'Office of Foreign Assets Control (OFAC)', which is a U.S. government agency, whereas the reference answer is the 'Australian Sanctions Office', an Australian government agency. These are distinct entities and do not convey the same core information."
cities,Boulder,Which city’s college football program saw its celebrity coach receive a contract extension?,The reporting placed the contract extension in Phoenix and described the coach as a celebrity. It also noted the program’s recent success.,The reporting placed the contract extension in Boulder and described the expectations around it. It also noted the coach’s outsized impact on attention and revenue.,False,"The generated answer mentions 'Phoenix' as the location of the contract extension, not 'Boulder'.",False,"The generated answer incorrectly states the city as 'Phoenix' instead of 'Boulder', which is a critical piece of information directly requested by the question and provided by the reference."
laws,Endangered Species Act,"Which U.S. wildlife-protection statute was central as environmental groups appealed a ruling that vacated a species listing, seeking to restore protections?",The Endangered Species Act was central to the appeal.,"In the appeal, the Endangered Species Act was the legal foundation for the contested listing decision. The dispute focused on whether the agency applied the correct legal and scientific standards when protecting the species.",True,The generated answer explicitly mentions 'The Endangered Species Act'.,True,"The generated answer correctly identifies the Endangered Species Act as central to the appeal, directly answering the question and aligning with the core information in the reference answer. The reference provides additional context, but the generated answer conveys the essential statutory identification."
sports teams,Tottenham Hotspur,Which club won the European final and ended a long wait for major silverware?,"The club that won the European final and ended a long wait for major silverware was Real Madrid, as reported after the match.",Tottenham Hotspur won the European final to end a long trophy wait.,False,The generated answer mentions 'Real Madrid' instead of 'Tottenham Hotspur'.,False,"The generated answer incorrectly states that 'Real Madrid' won the final, while the reference answer correctly identifies 'Tottenham Hotspur' as the winner. The core information (the winning club) is different and contradictory."
cybersecurity,Ivanti,"After agencies warned that attackers were continuing to compromise unpatched remote-access systems, which company published updated mitigation guidance?",The mitigation guidance from CISA.,"The mitigation guidance responding to continued compromise reports was published by Ivanti, not as an afterthought.",False,"The generated answer mentions 'CISA', not 'Ivanti'.",False,"The reference answer states Ivanti published the guidance, while the generated answer incorrectly states CISA. CISA is a government agency, not the company asked for in the question, and it's not the entity the reference identifies as publishing the guidance."
organizations,Apple,Which company reported a quarterly update that pointed to weaker sales in China while it still topped profit expectations?,"The company that reported a quarterly update pointing to weaker sales in China while still topping profit expectations was Apple, according to its update.",The quarterly report from Apple highlighted softer China sales and strong profits.,True,The generated answer explicitly mentions 'Apple'.,True,"The generated answer correctly identifies Apple and conveys all the key information present in the reference answer: Apple's quarterly update, weaker sales in China, and topping profit expectations (strong profits). The phrasing is different but the core information is the same."
organizations,Microsoft,Which company posted quarterly results that beat expectations and said it would keep investing heavily in AI infrastructure?,"In the quarterly update, Microsoft posted results that beat expectations and said it would keep investing heavily in AI infrastructure. The company emphasized its AI strategy and continued investment in the area.","In the quarterly report, Microsoft said it would continue investing heavily in AI infrastructure. The update also described results that exceeded market expectations on key lines.",True,The generated answer explicitly mentions 'Microsoft'.,True,The generated answer conveys both key pieces of information from the reference: that Microsoft posted results beating expectations and that it would continue investing heavily in AI infrastructure.
companies,Netflix,Which company said its ad-supported plan reached a new milestone in monthly active users?,The company reaching a new milestone in ad-supported users was TikTok.,The ad-supported plan at Netflix reached a new milestone in monthly active users.,False,The generated answer mentions 'TikTok' instead of the specified entity 'Netflix'.,False,"The generated answer incorrectly identifies the company as 'TikTok', whereas the reference answer correctly identifies it as 'Netflix'."
cities,Cleveland,Which city’s readers drove attention to a story about a famous architect’s newly completed home offered as overnight rentals nearby?,The reporting placed the architect’s home in Austin and described it as a “midcentury modern marvel.,Cleveland,False,The generated answer mentions 'Austin' but does not explicitly mention or reference 'Cleveland'.,False,"The generated answer states the home was in 'Austin', which directly contradicts the reference answer of 'Cleveland'."
cities,Chicago,Which city saw an extended public celebration after its baseball team returned to the postseason?,The reporting placed the extended public celebration in Kansas City and described it as the largest in the city’s history. It also noted the team’s return to the postseason.,"Coverage tied the postseason celebration to Chicago and highlighted how it unfolded across the city. The reporting emphasized the unusually long, citywide nature of the festivities.",False,The generated answer mentions 'Kansas City' instead of 'Chicago'.,False,"The generated answer provides 'Kansas City' as the location of the celebration, which contradicts the reference answer's assertion that the celebration was in 'Chicago'."
sanctions,Australian Sanctions Office,Which sanctions administrator announced fresh listings under a cyber framework aimed at malicious cyber activity and its enablers?,Office of Foreign Assets Control (OFAC) announced fresh listings under a cyber framework.,"In this action, the Australian Sanctions Office announced fresh listings under a cyber framework aimed at malicious cyber activity and its enablers. It clarified that compliance expectations extend to support services, within the same action.",False,The generated answer mentions 'Office of Foreign Assets Control (OFAC)' instead of the 'Australian Sanctions Office'.,False,"The generated answer provides an incorrect entity ('Office of Foreign Assets Control') as the sanctions administrator, which directly contradicts the core information provided in the reference answer ('Australian Sanctions Office')."
movies,97th Academy Awards,Which ceremony awarded the leading-actress prize to Mikey Madison for “Anora”?,"At 50th Toronto International Film Festival, the leading-actress prize went to Mikey Madison for “Anora” that same year. The same festival also awarded the top prize to “Anora” overall.",The leading-actress prize described in the question was presented at 97th Academy Awards during the show.,False,"The generated answer mentions '50th Toronto International Film Festival', not '97th Academy Awards'.",False,"The generated answer identifies '50th Toronto International Film Festival' as the awarding ceremony, which contradicts the reference answer stating '97th Academy Awards'."
celebrities,Rihanna,Which celebrity had her voice role highlighted in the trailer for an animated movie reboot?,The trailer featured Ariana Grande in the role.,The trailer featured Rihanna as a voice performer.,False,The generated answer mentions 'Ariana Grande' instead of 'Rihanna'.,False,The generated answer provides the incorrect celebrity (Ariana Grande) compared to the reference (Rihanna).
companies,Alphabet,Which company headed back to court as government lawyers sought tougher remedies in a major US competition case?,"The company that headed back to court was Alphabet, according to the filing.","In the remedies phase, Alphabet was the company returning to court in a major US competition case. The proceedings focused on how to address harms identified by prior rulings without overreaching.",True,The generated answer explicitly mentions 'Alphabet'.,True,"Both the generated answer and the reference answer correctly identify 'Alphabet' as the company that headed back to court, which is the core information requested by the question. The additional details in the reference are not essential to answer the 'which company' aspect."
court cases,Stability AI,"When a U.K. High Court trial involving alleged misuse of copyrighted material began, which company was on the defense side?","The company on the defense side was Stability AI, in the case.","The defendant in that trial was Stability AI, in the High Court.",True,The answer explicitly mentions 'Stability AI'.,True,Both answers correctly identify 'Stability AI' as the company on the defense side/defendant. The slight variation in phrasing ('in the case' vs 'in the High Court') does not alter the core information or correctness relative to the question.
laws,Online Safety Act,Under which UK online-safety framework did the regulator issue a notable fine against a platform after noncompliance with information requests and safety duties?,"In that enforcement, the Online Safety Act was the basis for the regulator’s action.","In that enforcement action, the Online Safety Act was the basis for fining a platform that failed to comply with regulator requests. The decision stressed that service providers must respond to information notices and implement required safety measures.",True,The generated answer explicitly mentions 'Online Safety Act'.,True,"The generated answer correctly identifies 'Online Safety Act' as the framework, which is the core information requested by the question and provided by the reference. While the reference provides more detail about the nature of non-compliance, the generated answer adequately answers the primary question."
products,Spikevax,Which COVID-19 vaccine brand received a 2025–2026 strain guidance update from regulators covering the coming season?,Comirnaty received a 2025–2026 strain guidance update from regulators covering the coming season.,Spikevax,False,The generated answer mentions 'Comirnaty' instead of the entity 'Spikevax'.,False,"The generated answer states 'Comirnaty', which is a different vaccine brand than the reference answer 'Spikevax'. Therefore, it does not convey the same core information and is incorrect according to the reference."
court cases,Microsoft,"In an antitrust lawsuit brought by a rival platform that survived early dismissal efforts, which company remained among the defendants?","In the antitrust lawsuit, Apple was the company that remained among the defendants. The case involved Epic Games and its claim that Apple’s App Store policies unfairly limited competition.","In that antitrust suit, Microsoft was the company that remained among the defendants after early dismissal efforts failed. The ruling kept core allegations alive and pushed the case into further stages such as discovery.",False,The generated answer mentions 'Apple' but not the specified entity 'Microsoft'.,False,"The generated answer incorrectly states 'Apple' remained among the defendants, while the reference answer correctly identifies 'Microsoft' as the company that remained among the defendants."
celebrities,Kim Kardashian,Which performer’s new scripted series officially premiered on television in the fall?,The performer whose new scripted series premiered was Selena Gomez.,Kim Kardashian starred in the scripted series that premiered. The launch brought her into a leading dramatic role on TV.,False,The generated answer mentions 'Selena Gomez' instead of 'Kim Kardashian'.,False,"The generated answer identifies Selena Gomez as the performer, which contradicts the reference answer that identifies Kim Kardashian."
countries,Ethiopia,The country that received a return of cultural artifacts from a European government in a ceremony described as strengthening ties was which one?,"The country that received a return of cultural artifacts from a European government in a ceremony described as strengthening ties was Nigeria, as the UK returned artifacts.","The country that received a return of cultural artifacts from a European government was Ethiopia, with officials highlighting cultural restitution.",False,The generated answer mentions 'Nigeria' but not 'Ethiopia'.,False,"The generated answer incorrectly identifies the country as 'Nigeria', whereas the reference answer correctly identifies it as 'Ethiopia'."
celebrities,Jennifer Lopez,Which actor’s musical film received a wide theatrical release later in the year?,The musical film starring Billie Eilish got a wide theatrical release.,The musical film starring Jennifer Lopez reached theaters. Reviews highlighted its performances and production design.,False,The generated answer mentions 'Billie Eilish' instead of 'Jennifer Lopez'.,False,"The generated answer incorrectly attributes the musical film to Billie Eilish instead of Jennifer Lopez, which is the core information requested by the question and provided by the reference."
cybersecurity,Microsoft,"In the incident where attackers were reported to plant persistent access on affected servers, which company told administrators to rotate secrets and apply a newer update?","The company that told administrators to rotate secrets and apply a newer update was Microsoft, in response to the SolarWinds attack.","The vendor that advised rotating secrets and applying a newer update was Microsoft, per the guidance.",True,The answer explicitly names 'Microsoft'.,True,Both the generated and reference answers identify Microsoft as the entity that told/advised administrators to rotate secrets and apply a newer update. The additional context about the SolarWinds attack in the generated answer does not negate its correctness regarding the core information.
products,Comirnaty,Which COVID-19 vaccine brand received a 2025 authorization/approval update tied to the 2025–2026 formulation?,Comirnaty,Comirnaty received a 2025 authorization/approval update tied to the 2025–2026 formulation.,True,The generated answer explicitly states 'Comirnaty'.,True,"The question asks for the vaccine brand, and the generated answer 'Comirnaty' directly answers this question, matching the core information provided in the reference answer, which also identifies Comirnaty as the brand."
celebrities,Cristiano Ronaldo,Which veteran striker scored twice as his team became the first to win its first 10 league matches in a season?,"The first team to win its first 10 league matches was Liverpool, led by Cristiano Ronaldo.",Cristiano Ronaldo scored twice in the record-setting win. The result extended the club’s perfect start to the campaign.,True,The entity 'Cristiano Ronaldo' is explicitly mentioned in the generated answer.,False,"The generated answer states Cristiano Ronaldo 'led' Liverpool, but it fails to mention that he 'scored twice', which is a key piece of information requested by the question and provided by the reference answer. The reference also doesn't name the team, while the generated answer incorrectly names 'Liverpool' as the team, which is not supported by the context for Cristiano Ronaldo's record-setting wins."
court cases,Live Nation,"When the court scheduled a hearing on whether to grant preliminary approval of that securities settlement, which company was involved?","The company involved was Live Nation, in the preliminary approval of the securities settlement.","The company involved was Live Nation, and a hearing was scheduled.",True,The generated answer explicitly mentions 'Live Nation'.,True,"Both the generated answer and the reference answer correctly identify 'Live Nation' as the company involved. The additional phrasing in both answers relates to the context provided in the question, but the core information (the company name) is identical and correct."
