word,question,generated,expected
Wednesday,"In late July 2025, the cast walked a purple carpet in London for the global premiere of a Netflix hit’s season two; what show was it?",Wednesday was the show with the London global premiere.,Wednesday was the show with the London global premiere.
Nintendo Switch,The next-generation hardware from Nintendo is the direct successor to the console known as the... what?,It succeeds the Nintendo Switch.,It succeeds the Nintendo Switch.
Neuralink,Coverage about an expanded human implant count used what company name?,Neuralink,Neuralink was the company name referenced in the implant update.
Booker Prize,Coverage of a top literary award ceremony centered on one prize title—what was it?,The Booker Prize was the prize title used in the reporting.,The Booker Prize was the prize title used in the reporting.
Starship,"In November 2025, SpaceX reported a major test setback involving its heavy-lift system; what was the system called?",Starship was the system referenced in the test-setback coverage.,Starship was the system referenced in the test-setback coverage.
Shohei Ohtani,"The ""50/50 club"" record for home runs and stolen bases was established by whom?",It was established by Shohei Ohtani.,It was established by Shohei Ohtani.
Pedro Pascal,"In July 2025, Marvel promoted a new “Fantastic Four” film with a new Reed Richards; which actor played him?",Pedro Pascal played Reed Richards in the new “Fantastic Four” film.,Pedro Pascal played Reed Richards in the new “Fantastic Four” film.
G20 Summit,"What gathering of world leaders took place in Johannesburg, South Africa, on November 22nd and 23rd, 2025?",G20 Summit,G20 Summit
"July 17, 2025",When did the United Torah Judaism politician Meir Porush resume his service as a member of Knesset?,"July 17, 2025","July 17, 2025"
The White Lotus,"In mid-2025 awards coverage, what HBO drama anthology title was frequently referenced among nominees?",The White Lotus was cited among the notable awards contenders.,The White Lotus was cited among the notable awards contenders.
Abu Dhabi Grand Prix,"What Formula 1 season finale event took place on December 7, 2025?",Abu Dhabi Grand Prix,Abu Dhabi Grand Prix
Shohei Ohtani,"In September 2025 MLB coverage about historic two-way performance and the Dodgers, who was named?",Shohei Ohtani was named in coverage of the Dodgers’ standout star.,Shohei Ohtani was named in coverage of the Dodgers’ standout star.
Strike,Coverage of workers refusing shifts during contract negotiations used what one-word label?,The Strike was the word used to describe workers refusing shifts during contract negotiations.,The Strike was reported as affecting operations and schedules.
Justin Bibb,"On November 4, 2025, who was re-elected to serve as the Mayor of Cleveland?",Justin Bibb,Justin Bibb
Shohei Ohtani,"In September 2025, a report highlighted the impact of the Dodgers’ Japanese superstar; who was the player?",Shohei Ohtani was the Dodgers star referenced in the report.,Shohei Ohtani was the Dodgers star referenced in the report.
Pixel,"At Google’s late-summer 2025 hardware showcase, what product name did the company use for its flagship smartphone line?",The flagship smartphone line was branded as Pixel.,The flagship smartphone line was branded as Pixel.
Ceasefire,"The ""sustainable calm"" agreement that took effect in late 2025 to allow hostage exchanges was technically a... what?",It was a ceasefire.,It was a ceasefire.
"Oct 13, 2025",When did the Expo 2025 Osaka officially end?,"Oct 13, 2025","Oct 13, 2025"
"July 10, 2025",When was Akram Hasson sworn in as a member of Knesset for the New Hope party?,"July 10, 2025","July 10, 2025"
Dorcey Applyrs,"On November 4, 2025, who was elected to serve as the Mayor of Albany, New York?",Dorcey Currier,Dorcey Applyrs
Tron: Ares,"Jared Leto stars as the title character entering ""The Grid"" in the film ___?",Tron: Ares,Tron: Ares
Pedro Pascal,"In July 2025 coverage of Marvel casting and a high-profile team film, which actor was cited for a major role?",Pedro Pascal was cited as part of the film’s headline cast.,Pedro Pascal was cited as part of the film’s headline cast.
Steam Deck 2,"The successor device that promises ""true 1080p gaming on the go"" is the... what?",It is the Steam Deck 2.,It is the Steam Deck 2.
Super Bowl,"In October 2025 coverage about next year’s NFL championship spectacle and its entertainment plans, what event name was cited?",Super Bowl was the event name cited in the coverage of the upcoming show.,Super Bowl was the event name cited in the coverage of the upcoming show.
The Bear,"In 2025 nominations coverage, what FX restaurant-set comedy-drama title was repeatedly named?",The Bear was repeatedly named among the most-nominated shows.,The Bear was repeatedly named among the most-nominated shows.
Starship,The HLS lander for Artemis III is a modified version of the vehicle ___?,Starship,Starship
Forest,"In 2025 reporting about deforestation targets and monitoring, what broad natural resource was central to the story?",Forest protection was a key theme in 2024.,Forest protection was described as a key lever for emissions and biodiversity.
Earthquake,"In late-2025 reporting about a high-magnitude tremor and casualties, what one-word event label was used?",The Earthquake caused damage and prompted emergency response measures.,The Earthquake caused damage and prompted emergency response measures.
The White Lotus,The third season of the anthology series set in a resort in Thailand is ___?,The White Lotus,The White Lotus
APEC Summit,"What economic forum was hosted in Gyeongju, South Korea, from October 31st to November 1st, 2025?",APEC Summit,APEC Summit
Windows,A new settings menu allowing users to move on-screen volume indicators was added to the platform called ___?,Windows,Windows
Windows,"The ""25H2"" update introduced deeper AI controls to the taskbar of the operating system known as ___ 11?",Windows,Windows
Strike,"The labor action by 1,000 workers at 65 stores in November 2025 was officially recorded as a ___?",Strike,Strike
Strike,"In late-December 2025 reporting about industrial labor action at a major company, what one-word label describes the work stoppage?",The Strike was framed as a pressure tactic in wage and contract negotiations.,The Strike was framed as a pressure tactic in wage and contract talks.
"December 10, 2025",When did the Nobel Peace Prize award ceremony take place in Oslo?,"December 10, 2025","December 10, 2025"
The White Lotus,Natasha Rothwell reprises her role as Belinda in the upcoming season of ___?,The White Lotus,The White Lotus
Spotify Wrapped,"The ""Sound Town"" feature was a viral component of the annual user data summary called ___?",Spotify Wrapped,Spotify Wrapped
Bitcoin,"In early October 2025 market coverage, what cryptocurrency was described as hitting a new record high?",Bitcoin was the cryptocurrency described as hitting a record high.,Bitcoin was the cryptocurrency described as hitting a record high.
Butterfly,"The newly described Iolaus francisi, noted for its shimmering blue wings and silver underwings, is a type of ___?",Butterfly,Butterfly
Hearing,A gene therapy targeting the OTOF gene successfully restored this specific sense in 11 out of 12 children in a recent breakthrough study.,Hearing,Hearing
Mary Sheffield,"On November 4, 2025, who was elected to serve as the Mayor of Detroit?",Mary Sheffield,Mary Sheffield
Real Madrid,The football club that topped La Liga heading into the winter break is ___?,Real Madrid,Real Madrid
David Corenswet,"In July 2025, a DC reboot film released with a new actor in the title role; who played the new Superman?",David Corenswet played the new Superman.,David Corenswet played the new Superman.
Ceasefire,"In Reuters reporting published Dec. 30, 2025, a truce between Thailand and Cambodia was described as holding for more than 72 hours after border clashes; what one word did the report use for that truce?",Ceasefire was the word used for the truce holding for more than 72 hours. (Reuters),Ceasefire was the word used for the truce holding for more than 72 hours. (Reuters)
Aftab Pureval,"On November 4, 2025, who was re-elected to serve as the Mayor of Cincinnati?",Aftab Pureval,Aftab Pureval
Earthquake,"Residents in Burwash Landing experienced a swarm of tremors in December, culminating in a magnitude 5.7... what?",It was an earthquake.,It was an earthquake.
"Nov 4, 2025",When was Wade Kapszukiewicz re-elected to serve as the Mayor of Toledo?,"Nov 4, 2025","Nov 4, 2025"
Yael Ron Ben-Moshe,"On July 8, 2025, who was sworn in as a member of Knesset replacing Matan Kahana?",Yael Ron Ben-Moshe,Yael Ron Ben-Moshe
Outage,Reports about service interruptions for a major consumer platform used what one-word incident label?,The Outage was the incident label used for the report of a major interruption on Twitter.,The Outage was widely reported as the cause of user access issues.
Cybercab,"In autumn 2025 reporting about Tesla’s robotaxi concept showcase, what product name was used?",Cybercab was the name used for Tesla’s robotaxi concept in coverage.,Cybercab was the name used for Tesla’s robotaxi concept in coverage.
Labubu,"Lisa from Blackpink sparked a massive trend by revealing her obsession with the ""The Monsters"" toy character known as ___?",Labubu,Labubu
Glastonbury,"In late-December 2025 UK business reporting, which major music festival’s organizing company was discussed for surging profits?",Glastonbury was the festival discussed in the 2025 financial reporting.,Glastonbury was the festival discussed in the profits reporting.
Tim Keller,"On November 4, 2025, who was re-elected to serve as the Mayor of Albuquerque?",Tim Keller,Tim Keller
Windows,"The ""AI Actions"" submenu for summarizing documents was integrated into the File Explorer of which OS?",It is in Windows.,It is in Windows.
PlayStation 5 Pro,Reports about holiday pricing for Sony’s upgraded console used a specific product name—what was it?,PlayStation 5 Pro was the name used to describe the upgraded model on sale.,PlayStation 5 Pro was the name used to describe the upgraded model on sale.
Ariana Grande,"In September 2025 music-award coverage, which pop star was frequently mentioned in relation to nominations and performances?",Ariana Grande was highlighted in the awards coverage.,Ariana Grande was highlighted in the awards coverage and nominee chatter.
Slushy,UK food regulators launched a summer campaign warning parents not to give under-7s certain ice drinks containing glycerol; what term did the regulator use for those drinks?,Slushy ice drinks containing glycerol were the drinks referenced in the warning. (Food Standards Agency),Slushy ice drinks containing glycerol were warned against for children under 7. (Food Standards Agency)
Eruption,Reporting about lava and fissure activity used what one-word label for the event?,The Eruption was the label used for reporting about lava and fissure activity.,The Eruption was cited as part of a continuing sequence of events.
Cillian Murphy,"In late December 2025, a teaser confirmed a return for the upcoming “Peaky Blinders” film; which actor was it?",Cillian Murphy was confirmed to return.,Cillian Murphy was confirmed to return.
"July 16, 2025",When was Uri Maklev sworn in to replace Eliyahu Baruchi as a member of Knesset?,"July 16, 2025","July 16, 2025"
Category,"When Hurricane Melissa reached the top level of the Saffir–Simpson scale before striking Jamaica in late October 2025, what was that level called?",Category 5 was the top level cited in coverage of Hurricane Melissa.,Category 5 was the top level cited in coverage of Hurricane Melissa.
Manta,"A digital-comics service announced that a feature allowing temporary episode unlocks would return starting July 1, 2025; what service announced this?",Manda was the service that announced the temporary episode unlock feature. (help.nbcnews.com),"Manta announced that the Free Pass feature would be back starting July 1, 2025. (help.manta.net)"
Hearing,"In October 2025 U.S. political coverage about a Senate confirmation session for a senior official, what single word labels that session?",The Hearing drew attention because it signaled the nominee’s path to confirmation.,The Hearing drew attention because it signaled the nominee’s path to confirmation.
Butterfly,"In September 2025 reporting about a nationwide insect count in the UK, what insect name was emphasized?",Butterfly numbers were highlighted in the annual count results.,Butterfly numbers were highlighted in the annual count results.
Manta,"Originally misidentified as the giant oceanic species, Mobula yarae was confirmed in late 2025 to be a new species of ___?",Manta,Manta
The Bear,"In July 2025 Emmy-nomination reporting, which FX/Hulu kitchen drama was explicitly referenced as a major comedy contender?",The Bear was referenced as a major comedy contender.,The Bear was referenced as a major comedy contender.
Yellowstone,"In 2025 coverage about expansions of a modern Western TV universe, what flagship series name anchored the discussion?",Yellowstone was the flagship name anchoring the discussion in the spinoff coverage.,Yellowstone was the flagship name anchoring the spinoff discussion.
Tron: Ares,"In July 2025 coverage about Disney’s next installment in its cyber-world franchise, what exact title was reported?",Tron: Ares was the title reported for the upcoming installment.,Tron: Ares was the title reported for the upcoming installment.
Worm,"In September 2025 agricultural coverage about a parasitic outbreak affecting livestock, what single word was used in simplified summaries?",Worm was the word used in simplified summaries discussing the parasitic threat.,Worm was used in simplified summaries discussing the parasitic threat.
"July 4, 2025",When did Eitan Ginzburg return to the Knesset as a member of the National Unity Party?,"July 4, 2025","July 4, 2025"
Butterfly,"A naturalist identified the new ""sapphire"" species found in the Angolan highlands as a ___?",Butterfly,Butterfly
David Corenswet,The headliner of the Superman: Legacy panel at San Diego Comic-Con was... who?,It was David Corenswet.,It was David Corenswet.
Hearing,"The production of the protein Otoferlin is crucial for the function of which human sense, recently treated via gene therapy?",Hearing,Hearing
Wednesday,Steve Buscemi was revealed as a new cast member for the Addams Family spinoff... what?,The spinoff is Wednesday.,The spinoff is Wednesday.
Slushy,"Using ""RapidChill Technology,"" the new Ninja machine creates this frozen beverage without the need to add ice.",Slushy,Slushy
Rainforest,Reporting on South American environmental pressures focused on a single biome—what was it called?,The Amazon Rainforest was the biome at the center of the discussion.,The Amazon Rainforest was the biome at the center of the discussion.
Adi Ezuz,"On August 13, 2025, who entered the Knesset to replace Idan Roll in the Yesh Atid faction?",Adi Ezuz,Adi Ezuz
Nobel Peace Prize,"What specific award ceremony took place in Oslo, Norway, on December 10, 2025?",Nobel Peace Prize,Nobel Peace Prize
Forest,"The COP30 summit was held in Belém, Brazil, to specifically highlight the preservation needs of the Amazon ___?",Forest,Forest
Neffy,Coverage of a regulatory decision for a nasal emergency allergy treatment referenced what product name?,Neffy was the treatment name referenced in the regulatory decision.,Neffy was the product name referenced in the approval update.
Dua Lipa,The star of the Versace winter campaign across major fashion capitals is ___?,Dua Lipa,Dua Lipa
Nobel Peace Prize,"In October 2025, which internationally recognized award was announced in Oslo for major contributions to peace efforts?",The Nobel Peace Prize was awarded in Oslo.,The Nobel Peace Prize was the award announced in Oslo.
Map,"The ""Supernova"" bunker was a major addition to the playable area of the Fortnite ___?",Map,Map
Neffy,"The new ""absorption-enhancing"" nasal spray that offers a needle-free alternative to the EpiPen is sold under the name ___?",Neffy,Neffy
Neuralink,Elon Musk claimed a patient played Mario Kart using a mind implant from the company ___?,Neuralink,Neuralink
Andy Schor,"On November 4, 2025, who was re-elected to serve as the Mayor of Lansing?",Andy Schor,Andy Schor
"Nov 4, 2025",When was Kaohly Her elected to serve as the Mayor of St. Paul?,"Nov 4, 2025","Nov 4, 2025"
Oasis,Cage the Elephant was announced as the support act for the North American tour of which specific headliner?,The headliner is Oasis.,The headliner is Oasis.
The Game Awards,"What annual video game awards show took place in Los Angeles on December 12, 2025?",The Game Awards,The Game Awards
David Corenswet,The actor portraying Clark Kent in the first film of the new DC Universe is ___?,David Corenswet,David Corenswet
"November 10–13, 2025",When did the annual technology conference Web Summit take place in Lisbon?,"November 10–13, 2025","November 10–13, 2025"
wind,"In Reuters reporting on the extratropical cyclone that disrupted power, water, and flights in São Paulo, Enel described what battered the region and provided a peak-speed figure; what was it and what peak did Enel report?",Enel said wind reached about 98 km/h during the storm. (Reuters),"Enel said damaging wind battered the region, with gusts up to 98 km/h during the storm’s peak. (Reuters)"
Taylor Swift,"The ""Eras Tour"" documentary with bonus footage broke streaming records for the artist ___?",Taylor Swift,Taylor Swift
"November 22–23, 2025","When did the G20 Summit take place in Johannesburg, South Africa?","November 22–23, 2025","November 22–23, 2025"
Zohran Mamdani,"On November 4, 2025, who was elected to serve as the Mayor of New York City?",Zohran Mamdani,Zohran Mamdani
Abigail Spanberger,"On November 4, 2025, who was elected to serve as the Governor of Virginia?",Abigail Spanberger,Abigail Spanberger
Booker Prize,The shortlist for the UK-based award that featured a record number of American authors is the... what?,The award is the Booker Prize.,The award is the Booker Prize.
Pixel,"Google's 2025 flagship hardware, featuring the ""Magic Cue"" AI, is released under which brand name?",It is the Pixel brand.,It is the Pixel brand.
PlayStation 5 Pro,"In late-December 2025 deal coverage about Sony’s mid-cycle hardware refresh, what exact console name was cited?",PlayStation 5 Pro was the console name highlighted in the discount coverage.,PlayStation 5 Pro was the console name highlighted in the discount coverage.
Spotify Wrapped,Coverage about year-end music stats referenced one branded recap—what was it called?,Spotify Wrapped was the recap experience described in the reporting.,Spotify Wrapped was the recap experience described in the reporting.
Map,"The ""M"" in the acronym of the NASA mission launched to the L1 Lagrange point stands for what specific word?",Mapping,Mapping
Fire,"The ""Ash People"" introduced in James Cameron's third Na'vi film belong to a clan defined by which element?",They are the Fire Nation.,They are the Fire Nation.
Zoe Saldaña,"The star appearing opposite Oona Chaplin in the film introducing the ""Ash People"" is... who?",The star is Zoe Saldaña.,The star is Zoe Saldaña.
Yellowstone,"In late July 2025, Paramount confirmed a new sequel series centered on Beth and Rip; what franchise does it belong to?",Yellowstone is the franchise the sequel series belongs to.,Yellowstone is the franchise the sequel series belongs to.
Bitcoin,A major US bank launched direct custody services for the cryptocurrency ___?,Bitcoin,Bitcoin
US election,"In August 2025, the Justice Department opened a grand jury probe tied to allegations about interference in a past national vote; what vote was referenced?",The probe revisited allegations connected to the US election.,The probe revisited allegations connected to the US election.
Tariff,"In Learning Resources v. Trump, the Supreme Court heard arguments regarding the constitutionality of the new 10% ___?",Tariff,Tariff
Taylor Swift,"In August 2025 music-industry reporting, which artist announced a new studio album titled “The Life of a Showgirl”?",Taylor Swift announced “The Life of a Showgirl.”,Taylor Swift announced “The Life of a Showgirl.”
Oasis,The Gallagher brothers reunited for a global tour in late 2025 under the banner of which name?,Oasis,Oasis
Yakov Margi,"On July 20, 2025, who re-entered the Knesset under the Norwegian Law, replacing Simon Moshiashvili?",Yakov Margi,Yakov Margi
Microsoft Ignite,"What developer and IT professional conference took place in San Francisco from November 18th to November 21st, 2025?",Microsoft Ignite,Microsoft Ignite
"October 14–16, 2025",When did the Salesforce event Dreamforce take place in San Francisco?,"October 14–16, 2025","October 14–16, 2025"
Hearing,"Regeneron's new gene therapy uses a harmless virus to deliver a healthy gene to ear cells, effectively reversing the loss of ___?",Hearing,Hearing
Slushy,"In October 2025 food-safety alerts about a frozen drink product and labeling concerns, what one-word descriptor fits the drink type?",Slushy,Slushy was the descriptor used for the drink type discussed in the alert.
Hearing,Coverage of a nominee’s Capitol Hill appearance used what one-word label for the session?,The Hearing was the central event described in the confirmation coverage.,The Hearing was the central event described in the confirmation coverage.
"Nov 4, 2025",When was Zohran Mamdani elected to serve as the Mayor of New York City?,"Nov 4, 2025","Nov 4, 2025"
Ceasefire,"In October 2025 reporting about a truce arrangement in a major conflict zone, what one-word label described the agreement?",The Ceasefire was the word used to describe the agreement.,The Ceasefire was described as a pause intended to halt active fighting.
Drone,Coverage about new rules and incidents involving uncrewed aircraft used what one-word label?,Drone operations,Drone operations were the focus of the rule changes and incident reports.
"Aug 27–Sept 6, 2025",When did the 82nd annual Venice Film Festival take place?,"Aug 27–Sept 6, 2025","Aug 27–Sept 6, 2025"
Eitan Ginzburg,"On July 4, 2025, who entered the Knesset to replace Gadi Eisenkot in the National Unity faction?",Eitan Ginzburg,Eitan Ginzburg
Word,Question,Answer,Answer
Tsunami,"In October 2025 reporting about a coastal warning later lifted, what one-word label describes the wave hazard?",The Tsunami warning was likely issued and later canceled as the threat diminished.,The Tsunami warning was issued and later canceled as conditions changed.
Pedro Pascal,The actor playing Reed Richards in the film The Fantastic Four: First Steps is ___?,Pedro Pascal,Pedro Pascal
Dua Lipa,Coverage of a themed pop-up tied to a global tour stop centered on which artist?,Dua Lipa was the artist named in the report about the fan event.,Dua Lipa was the artist named in the report about the fan event.
Map,"In late 2025, analysts circulated a visual showing commercial flights diverting around a major Atlantic storm—what was that visual called?",The Map of flight tracks showed aircraft routing around the storm as a globe zoomed out to display the flight paths.,The Map of flight tracks showed aircraft routing around the storm.
Kaohly Her,"On November 4, 2025, who was elected to serve as the Mayor of St. Paul?",Kaohly Her,Kaohly Her
"Oct 31–Nov 1, 2025","When did the APEC Summit take place in Gyeongju, South Korea?","Oct 31–Nov 1, 2025","Oct 31–Nov 1, 2025"
Artemis II,The specific mission that successfully completed a loop around the Moon and splashed down in the Pacific is... what?,The mission is Artemis II.,The mission is Artemis II.
"September 23–29, 2025",When did the High-Level Week of the UN General Assembly take place in New York?,"September 23–29, 2025","September 23–29, 2025"
Hearing,A late-September 2025 FDA clearance summary described a software-only mobile medical application that amplifies sound for adults with mild-to-moderate impairment when used with compatible wearables; what feature name did the summary give to that capability?,Hearing appears in the FDA’s database as the name for this feature. (FDA Access Data Report for Loudness Restoration Software),Hearing appears in the FDA-cleared name “Hearing Aid Feature” for the sound-amplification capability. (FDA Access Data)
Super Bowl,Kendrick Lamar was announced as the halftime performer for the upcoming event ___?,Super Bowl,Super Bowl
Taylor Swift,Coverage of a major 2025 music-business development referenced one performer repeatedly—who was it?,Taylor Swift was the performer repeatedly referenced in the reports.,Taylor Swift was the performer repeatedly referenced in the reports.
Super Bowl,Commercial slots for the 2026 broadcast reached a record $8 million for the event... what?,The event is the Super Bowl.,The event is the Super Bowl.
Labubu,"In late-2025 coverage about Pop Mart’s viral character toy, what character name was repeatedly used?",Labubu was the character name repeatedly cited in trend coverage.,Labubu was the character name repeatedly cited in trend coverage.
Booker Prize,A debut novel set in a flooded London won the literary award known as the ___?,The Booker Prize,Booker Prize
Minecraft Movie,Jason Momoa stars in the upcoming film based on the sandbox game... what?,It is the Minecraft Movie.,It is the Minecraft Movie.
Cillian Murphy,The person who produced and starred in the drama Small Things Like These is... who?,The person is Cillian Murphy.,The person is Cillian Murphy.
Stranger Things,"When reporting discussed the next release window for Netflix’s 1980s-set sci-fi drama, what show name appeared?",The show name is Stranger Things.,Stranger Things was the show name cited in those reports.
Map,"The primary scientific objective of the IMAP mission is to create a global visualization of the heliosphere's boundary, technically called a... what?",The objective is to create a global map.,The objective is to create a global map.
Neuralink,A patient controlled a robotic arm to feed themselves using an interface from the company... what?,The company is Neuralink.,The company is Neuralink.
Phone,"The ""Magic Cue"" AI feature, designed to scan messages for information, was launched on the latest generation of the Pixel ___?",Phone,Phone
GTA,The developer IO Interactive released 007: First Light to fill the revenue gap left by the delay of Grand Theft ___?,GTA,GTA
Wednesday,Netflix confirmed a Halloween 2026 release for the second season of the show ___?,Wednesday,Wednesday
PlayStation 5 Pro,Scalpers struggled to sell inventory of which $700 gaming console due to unexpectedly high retail supply?,The console is the PlayStation 5 Pro.,The console is the PlayStation 5 Pro.
Magnesium,A recent randomized trial from Vanderbilt-Ingram Cancer Center identified this specific mineral as the missing key to balancing Vitamin D levels.,Magnesium,Magnesium
Booker Prize,The Water's Edge was the controversial winner of the literary prize ___?,Booker Prize,Booker Prize
Web Summit,"What technology conference brought over 70,000 attendees to Lisbon from November 10th to November 13th, 2025?",Web Summit,Web Summit
