word,question,answer
The Bear,Jeremy Allen White trained in a Copenhagen restaurant to prepare for the show... what?,He prepared for The Bear.
Glastonbury,"Tickets for the 2026 festival sold out in record time, crashing the site for the event ___?",Glastonbury
Glastonbury,Organizers announced a ban on disposable vapes for the upcoming edition of the music festival ___?,Glastonbury
Glastonbury,Rumors suggest Eminem and Rihanna will headline the Pyramid Stage at the festival... where?,The festival is Glastonbury.
Minecraft Movie,Jack Black appears as Steve in the trailer for the live-action ___?,Minecraft Movie
Minecraft Movie,The realistic design of the Creepers caused a stir in the footage for the ___?,Minecraft Movie
Minecraft Movie,Jason Momoa stars in the upcoming film based on the sandbox game... what?,It is the Minecraft Movie.
Real Madrid,The football club that topped La Liga heading into the winter break is ___?,Real Madrid
Real Madrid,Injuries to key defenders forced which Spanish club to enter the transfer market?,The club is Real Madrid.
Real Madrid,The team that announced plans to host an NFL game at the Santiago Bernabéu stadium is... who?,The team is Real Madrid.
Taylor Swift,"The ""Eras Tour"" documentary with bonus footage broke streaming records for the artist ___?",Taylor Swift
Taylor Swift,"The artist who released a surprise ""Acoustic Collection"" album in November is ___?",Taylor Swift
Taylor Swift,High NFL viewership for Chiefs games is attributed to the attendance of... whom?,It is attributed to Taylor Swift.
Super Bowl,Kendrick Lamar was announced as the halftime performer for the upcoming event ___?,Super Bowl
Super Bowl,A minor lighting failure at the Caesars Superdome raised questions ahead of the game ___?,Super Bowl
Super Bowl,Commercial slots for the 2026 broadcast reached a record $8 million for the event... what?,The event is the Super Bowl.
Wednesday,Netflix confirmed a Halloween 2026 release for the second season of the show ___?,Wednesday
Wednesday,Jenna Ortega serves as executive producer for the second season of ___?,Wednesday
Wednesday,Steve Buscemi was revealed as a new cast member for the Addams Family spinoff... what?,The spinoff is Wednesday.
Neuralink,Elon Musk claimed a patient played Mario Kart using a mind implant from the company ___?,Neuralink
Neuralink,"The ""Blindsight"" chip, designed to restore vision, received FDA designation for the company ___?",Neuralink
Neuralink,A patient controlled a robotic arm to feed themselves using an interface from the company... what?,The company is Neuralink.
Dua Lipa,"The artist who sold out Wembley Stadium in minutes for the ""Radical Optimism"" tour is ___?",Dua Lipa
Dua Lipa,The star of the Versace winter campaign across major fashion capitals is ___?,Dua Lipa
Dua Lipa,The performer who sang duets with Elton John and Miley Cyrus on an ITV holiday special is... who?,The performer is Dua Lipa.
Shrek 5,DreamWorks released a teaser featuring Donkey to countdown the release of the movie ___?,Shrek 5
Shrek 5,Eddie Murphy confirmed he finished voice work for the upcoming sequel ___?,Shrek 5
Shrek 5,"The original voice cast, including Cameron Diaz, reunited to promote the production of... what?",It is the production of Shrek 5.
Magnesium,A recent randomized trial from Vanderbilt-Ingram Cancer Center identified this specific mineral as the missing key to balancing Vitamin D levels.,Magnesium
Magnesium,New research indicates that Vitamin D supplementation may be ineffective without a sufficient level of the mineral ___?,Magnesium
Magnesium,"To prevent the disruption of Vitamin D balance, a December 2025 study recommends monitoring the intake of which mineral?",Magnesium
Worm,Scientists were baffled when a ten-year deep-sea experiment revealed that none of these bone-eating creatures had colonized the whale skeletons.,Worm
Worm,The absence of which specific decomposer in low-oxygen waters prevented the expected breakdown of whale bones in a recent study?,Worm
Worm,"The ""Zombie"" variety of this creature, usually found feasting on skeletons in the ocean depths, failed to appear in a major 2025 experiment.",Worm
Neffy,What is the brand name of the first needle-free epinephrine nasal spray approved for treating severe allergies in children?,Neffy
Neffy,"The new ""absorption-enhancing"" nasal spray that offers a needle-free alternative to the EpiPen is sold under the name ___?",Neffy
Neffy,"For children weighing 33 to 65 pounds, the FDA recently approved a new anaphylaxis treatment called ___?",Neffy
Labubu,The serrated-toothed fictional character that became a viral sales phenomenon for Pop Mart in late 2025 is named ___?,Labubu
Labubu,"Lisa from Blackpink sparked a massive trend by revealing her obsession with the ""The Monsters"" toy character known as ___?",Labubu
Labubu,"A ""life-sized"" version of which viral toy character was ironically photographed on Karl Marx's grave during the height of the craze?",Labubu
Manta,"Originally misidentified as the giant oceanic species, Mobula yarae was confirmed in late 2025 to be a new species of ___?",Manta
Manta,"The ""Atlantic"" variety of this large marine ray was officially described as a distinct species after DNA testing.",Manta
Manta,"Discovered off the coast of Mexico, the newly identified Mobula yarae is a species of which sea creature?",Manta
Slushy,"The Ninja appliance that became a ""home appliance hit"" in 2025 is designed to make what specific type of frozen drink?",Slushy
Slushy,"Using ""RapidChill Technology,"" the new Ninja machine creates this frozen beverage without the need to add ice.",Slushy
Slushy,"The viral kitchen gadget released in late 2025 is officially named the ""Ninja ___ Professional Frozen Drink Maker.""",Slushy
Hearing,A gene therapy targeting the OTOF gene successfully restored this specific sense in 11 out of 12 children in a recent breakthrough study.,Hearing
Hearing,"The production of the protein Otoferlin is crucial for the function of which human sense, recently treated via gene therapy?",Hearing
Hearing,"Regeneron's new gene therapy uses a harmless virus to deliver a healthy gene to ear cells, effectively reversing the loss of ___?",Hearing
Butterfly,"Discovered in Angola's Namba Mountains in 2025, ""Francis's gorgeous sapphire"" is a new species of ___?",Butterfly
Butterfly,"The newly described Iolaus francisi, noted for its shimmering blue wings and silver underwings, is a type of ___?",Butterfly
Butterfly,"A naturalist identified the new ""sapphire"" species found in the Angolan highlands as a ___?",Butterfly
Magnesium,A major Canadian pharmacy chain recalled a bisglycinate 200mg capsule supplement after regulators said it contained an undeclared oxide form; what supplement was it?,"Magnesium was the recalled supplement, specifically “Life Brand Magnesium Bisglycinate 200mg,” due to an undeclared ingredient (Magnesium Oxide). (Recalls Canada)"
Worm,"In Reuters reporting on ranchers dealing with a flesh-eating pest affecting cattle, they said reporting mattered to build a generalized map of where what was found; what was it?",Worm was what ranchers said should be mapped to understand where the infestation was found. (Reuters)
Neffy,"In September 2025, a needle-free epinephrine nasal spray was approved in Japan as the first and only product of its kind; what was it called?",Neffy was the needle-free epinephrine nasal spray approved in Japan. (ir.ars-pharma.com)
Labubu,A late-December Financial Times report described a Chinese toymaker accelerating overseas expansion amid concerns its viral plush character might be peaking; what character was it?,Labubu was the viral plush character driving the company’s expansion push. (Financial Times)
Manta,"A digital-comics service announced that a feature allowing temporary episode unlocks would return starting July 1, 2025; what service announced this?","Manta announced that the Free Pass feature would be back starting July 1, 2025. (help.manta.net)"
Slushy,UK food regulators launched a summer campaign warning parents not to give under-7s certain ice drinks containing glycerol; what term did the regulator use for those drinks?,Slushy ice drinks containing glycerol were warned against for children under 7. (Food Standards Agency)
Hearing,A late-September 2025 FDA clearance summary described a software-only mobile medical application that amplifies sound for adults with mild-to-moderate impairment when used with compatible wearables; what feature name did the summary give to that capability?,Hearing appears in the FDA-cleared name “Hearing Aid Feature” for the sound-amplification capability. (FDA Access Data)
Butterfly,"Reuters reported that a sanctuary in central Mexico opened to visitors in late November 2025, offering a chance to see millions of orange-hued insects clustered on oyamel fir trees; what insect was it?",Butterfly season in Mexico drew visitors to sanctuaries to see migrating monarchs clustered on fir trees. (Reuters)
Map,A late-December interactive feature visualized where Israel carried out attacks across multiple countries during 2025; what single noun best describes the location-based visual used?,Map was used to display where the attacks took place across countries.
Fire,"In an October 2025 report about missing global deforestation targets, what was one major driver of permanent tree loss cited alongside agriculture?",Fire was cited as a major driver alongside agriculture.
Oasis,"In early July 2025, which Britpop band’s reunion-tour news was widely linked to a spike in ticket demand and scam warnings?",Oasis was the band at the center of the reunion-tour rush.
iPhone,"At Apple’s major late-2025 product launch, what flagship handset line was the headline reveal?",The headline reveal was the iPhone.
Phone,A July 2025 study commissioned by a European government reported better student focus after restricting a common handheld communications device at school; what device was restricted?,Phone restrictions were linked to improved classroom focus in the study.
Rainforest,An October 2025 report from Brazil described Indigenous communities coping with severe drying conditions in the Amazon biome; what biome type was highlighted?,Rainforest conditions in the Amazon were described as increasingly dry and vulnerable.
Forest,"In an October 2025 analysis of global land-use commitments, what ecosystem was reported as suffering millions of hectares of permanent loss in 2024?",Forest loss was reported as a major setback against deforestation goals.
Category,"When Hurricane Melissa reached the top level of the Saffir–Simpson scale before striking Jamaica in late October 2025, what was that level called?",Category 5 was the top level cited in coverage of Hurricane Melissa.
category,"In the same late-October 2025 storm coverage, what term was used immediately before the number “5” to describe the storm’s intensity level?",The storm was described as a category 5 hurricane at peak intensity.
Pixel,"At Google’s late-summer 2025 hardware showcase, what product name did the company use for its flagship smartphone line?",The flagship smartphone line was branded as Pixel.
GTA,"In a November 2025 announcement that pushed a blockbuster game’s release to Nov. 19, 2026, what three-letter acronym was widely used for the title in coverage?",GTA was the acronym used while reporting the delay to November 2026.
Windows,"In October 2025, Microsoft said new AI capabilities would roll out to users of its flagship desktop operating system; what is that operating system called?",Windows was the operating system referenced in the AI-upgrade rollout.
Nintendo Switch,"In late-2025 coverage about the successor to Nintendo’s hybrid console, what was the predecessor console line called?",The predecessor line was the Nintendo Switch.
Zoe Saldaña,A December 2025 preview of the third “Avatar” film listed key returning performers; which actor was named as returning as Neytiri?,Zoe Saldaña was named as returning as Neytiri.
Ariana Grande,"In early September 2025, which singer-actor was highlighted in coverage of that year’s MTV awards nominations?",Ariana Grande was highlighted among the nominees in the coverage.
Lewis Hamilton,"In late-October 2025 Formula One coverage focusing on Ferrari’s headline driver, which seven-time champion was being discussed?",Lewis Hamilton was the seven-time champion in the Ferrari-focused coverage.
David Corenswet,"In July 2025, a DC reboot film released with a new actor in the title role; who played the new Superman?",David Corenswet played the new Superman.
Pedro Pascal,"In July 2025, Marvel promoted a new “Fantastic Four” film with a new Reed Richards; which actor played him?",Pedro Pascal played Reed Richards in the new “Fantastic Four” film.
Squid Game,"In July 2025, Netflix cited the return of which global hit series as helping its performance that quarter?",Squid Game was the hit series cited in the quarterly discussion.
Artemis II,"In late September 2025, NASA said it completed key work on the core stage for which upcoming crewed lunar mission?",Artemis II was the mission referenced in the update.
PlayStation 5 Pro,"During late-December 2025 holiday shopping coverage, what upgraded Sony console model was referenced as being discounted at major retailers?",PlayStation 5 Pro was the upgraded console model discussed in discount coverage.
Shohei Ohtani,"In September 2025, a report highlighted the impact of the Dodgers’ Japanese superstar; who was the player?",Shohei Ohtani was the Dodgers star referenced in the report.
Spotify Wrapped,"In early December 2025, the streaming platform released its annual personalized year-in-review feature; what was it called?",Spotify Wrapped was the annual year-in-review feature.
Stranger Things,"On Dec. 30, 2025, Netflix released a trailer for the series finale of which sci-fi show set in Hawkins?",Stranger Things released its finale trailer via Netflix’s official channel.
Cybercab,"In late October 2025, Tesla debuted a new autonomous-vehicle concept in Shanghai; what name did it give the model?",Cybercab was the name Tesla used for the debuted concept.
Coco Gauff,"In September 2025, which American tennis player won the US Open women’s singles title according to match coverage?",Coco Gauff won the title in the coverage.
Tron: Ares,"In mid-2025, Disney promoted the next installment of its digital-world sci-fi franchise; what was the film titled?",Tron: Ares was the title of the promoted installment.
The White Lotus,"In July 2025 Emmy-nomination coverage, which luxury-resort satire was listed among top drama contenders?",The White Lotus was listed among the drama contenders.
Bitcoin,"In early October 2025 market coverage, what cryptocurrency was described as hitting a new record high?",Bitcoin was the cryptocurrency described as hitting a record high.
Spider-Man 4,"In late-2025 casting coverage, Sadie Sink was reported to be joining Tom Holland’s next web-slinger sequel; what was that sequel commonly called?",Spider-Man 4 was the shorthand name used for the upcoming sequel.
Nobel Peace Prize,"In October 2025, which internationally recognized award was announced in Oslo for major contributions to peace efforts?",The Nobel Peace Prize was the award announced in Oslo.
Yellowstone,"In late July 2025, Paramount confirmed a new sequel series centered on Beth and Rip; what franchise does it belong to?",Yellowstone is the franchise the sequel series belongs to.
Steam Deck 2,"Ahead of CES 2026, Valve downplayed rumors of a new handheld; what name do fans commonly use for a hypothetical second-generation device?",Steam Deck 2 is the fan shorthand for the hypothetical successor.
Booker Prize,"In October 2025, which major literary award was announced for the year’s best English-language novel published in the UK/Ireland?",The Booker Prize was the award announced.
Cillian Murphy,"In late December 2025, a teaser confirmed a return for the upcoming “Peaky Blinders” film; which actor was it?",Cillian Murphy was confirmed to return.
US election,"In August 2025, the Justice Department opened a grand jury probe tied to allegations about interference in a past national vote; what vote was referenced?",The probe revisited allegations connected to the US election.
Starship,"In November 2025, SpaceX reported a major test setback involving its heavy-lift system; what was the system called?",Starship was the system referenced in the test-setback coverage.
Severance,"In July 2025 Emmy-nomination reporting, which Apple TV+ workplace thriller was listed among drama nominees?",Severance was listed among the drama nominees.
The Bear,"In July 2025 Emmy-nomination reporting, which FX/Hulu kitchen drama was explicitly referenced as a major comedy contender?",The Bear was referenced as a major comedy contender.
Glastonbury,"In late-December 2025 UK business reporting, which major music festival’s organizing company was discussed for surging profits?",Glastonbury was the festival discussed in the profits reporting.
Minecraft Movie,"In 2025 box-office reporting, what video-game adaptation was described as approaching a major global revenue milestone?",Minecraft Movie was the adaptation described as nearing the milestone.
Real Madrid,"In early July 2025 football coverage, which Spanish club was at the center of a widely reported controversy or snub?",Real Madrid was the club at the center of the controversy coverage.
Taylor Swift,"In August 2025 music-industry reporting, which artist announced a new studio album titled “The Life of a Showgirl”?",Taylor Swift announced “The Life of a Showgirl.”
Super Bowl,"In September 2025, organizers announced the 2026 halftime headliner and a major guest; what event was this for?",The Super Bowl was the event tied to the halftime announcement.
Wednesday,"In late July 2025, the cast walked a purple carpet in London for the global premiere of a Netflix hit’s season two; what show was it?",Wednesday was the show with the London global premiere.
Neuralink,"In September 2025, Elon Musk’s brain-implant company reported a milestone involving its first patient in Canada; what company was it?",Neuralink reported the milestone involving its first Canadian patient.
Dua Lipa,"In late-December 2025 tabloid coverage, which pop star posted year-end photos that fueled engagement speculation with actor Callum Turner?",Dua Lipa was the pop star featured in the engagement-speculation coverage.
Shrek 5,"In August 2025 release-calendar coverage, which animated ogre sequel was reported as being pushed to a later year?",Shrek 5 was the sequel reported as being pushed.
wind,"In Reuters reporting on the “bomb cyclone” that disrupted flights in Sydney and triggered evacuation warnings, officials said conditions would worsen in the next 24 hours and highlighted two main hazards; what was the hazard mentioned alongside “heavy rain”?","The report said officials warned of heavy rain and strong wind, with a forecast reaching about 125 kph. (Reuters)"
wind,"In Reuters coverage of Typhoon Wipha’s impact on Hong Kong, the city’s weather authorities downgraded the warning to a “No. 3” signal; what specific hazard did that signal explicitly refer to?",Reuters reported that the downgrade was to the “No. 3 strong wind signal.” (Reuters)
wind,"When Hong Kong shut down ahead of Super Typhoon Ragasa, the observatory warned that a particular threat was likely offshore and on high ground; what was it?",The observatory warned that hurricane-force wind was likely offshore and on high ground in Hong Kong. (Reuters)
wind,"In Reuters reporting on the extratropical cyclone that disrupted power, water, and flights in São Paulo, Enel described what battered the region and provided a peak-speed figure; what was it and what peak did Enel report?","Enel said damaging wind battered the region, with gusts up to 98 km/h during the storm’s peak. (Reuters)"
wind,"In Reuters coverage of Winter Storm Ezra snarling U.S. holiday travel, the story explained what a “bomb cyclone” can produce; what was the hurricane-force hazard named in that explanation?",Reuters said a bomb cyclone can produce hurricane-force wind along with heavy precipitation. (Reuters)
Recall,"On Dec. 23, 2025, Reuters reported that Amazon-owned Zoox would bring 332 self-driving vehicles back to address a software issue cited by U.S. regulators; what term did the report use for that action?",Recall was the term used for Zoox bringing 332 vehicles back to address the software issue. (Reuters)
Outage,"In Reuters reporting on Oct. 20, 2025, a DNS-related problem in a major U.S. cloud region kept many apps from locating a key database service; what noun did the story use for the incident?",Outage was the noun Reuters used for the AWS incident tied to the DNS issue. (Reuters)
Strike,"On Dec. 30, 2025, Reuters reported that a major Brazilian oil workers’ union accepted a counteroffer from Petrobras and paused a work stoppage that had begun earlier in the month; what single word describes the paused action?","Strike was suspended after the union accepted Petrobras’ counteroffer, Reuters reported. (Reuters)"
Tariff,"In late-September 2025 Reuters coverage, a U.S. announcement said a 100% levy would apply to certain pharmaceutical imports starting Oct. 1 unless construction on U.S. manufacturing had begun; what singular word names that levy?",Tariff was the word used for the 100% levy on those pharmaceutical imports. (Reuters)
Earthquake,"In Reuters coverage on July 30, 2025, a magnitude 8.8 event off Russia’s Kamchatka coast triggered warnings across the Pacific; what one word names that event?",Earthquake was the term used for the magnitude 8.8 event off Kamchatka. (Reuters)
Eruption,"In Reuters reporting on July 16, 2025, a volcano in southwest Iceland began belching smoke and sending out glowing lava flows; what single word names that volcanic event?",Eruption was the word used for the volcano activity in southwest Iceland. (Reuters)
Ceasefire,"In Reuters reporting published Dec. 30, 2025, a truce between Thailand and Cambodia was described as holding for more than 72 hours after border clashes; what one word did the report use for that truce?",Ceasefire was the word used for the truce holding for more than 72 hours. (Reuters)
Resignation,"On Oct. 6, 2025, Reuters reported that France’s newly appointed prime minister and government stepped down only hours after naming a cabinet; what one word describes that act of stepping down?",Resignation was reported after the newly appointed government stepped down within hours. (Reuters)
