category,word,question,generated,expected,contains_entity,contains_entity_explanation,matches_reference,matches_reference_explanation
Companies,Shopify,Which e-commerce platform's CEO told employees in a 2024 memo that AI must be used before any team can request new headcount?,Shopify's CEO.,The CEO who issued the AI-before-hiring memo runs Shopify.,True,The generated answer explicitly mentions 'Shopify'.,True,"The generated answer 'Shopify's CEO' correctly identifies the entity related to the CEO's memo, providing the core information as the reference answer and directly answering the question."
Companies,Mastercard,Which payments company launched a biometric checkout pilot program across European retailers in early 2024?,Mastercard.,Mastercard launched a biometric checkout pilot across European retailers.,True,The generated answer explicitly mentions 'Mastercard'.,True,"The generated answer 'Mastercard' directly answers the question and conveys the core information, which is consistent with the reference answer. The reference answer provides additional context, but 'Mastercard' alone is sufficient as a correct response to the 'Which company' question."
Countries,South Korea,Which East Asian country's president briefly declared martial law in December 2024 before the National Assembly voted to block it?,I can't verify which East Asian country's president declared martial law in December 2024.,South Korea,False,"The generated answer does not mention ""South Korea"" or any direct reference to it. It states an inability to verify the country.",False,"The reference answer correctly identifies ""South Korea"" as the country. The generated answer explicitly states that it ""can't verify"" which country's president declared martial law, which directly contradicts and fails to provide the information given by the reference answer."
Countries,Egypt,Which North African country received an expanded IMF loan package worth $8 billion in March 2024 to stabilize its currency?,Egypt.,The country that received the expanded $8 billion IMF package in March 2024 was Egypt.,True,The generated answer explicitly states the entity 'Egypt'.,True,"The generated answer 'Egypt' provides the core information and correctly answers the question, matching the key information in the reference answer."
Countries,Thailand,"In August 2024, which Southeast Asian country's progressive Move Forward Party was dissolved by the Constitutional Court?",Thailand.,The party dissolved by the Constitutional Court was the Move Forward Party in Thailand.,True,The generated answer explicitly mentions 'Thailand'.,True,"The generated answer 'Thailand' directly answers the question about which country's party was dissolved. The reference answer also identifies 'Thailand' as the country, conveying the same core information."
Countries,Colombia,Which South American country's government signed a bilateral ceasefire with the ELN guerrilla group that took effect in mid-2024?,Colombia.,The bilateral ELN ceasefire was signed by Colombia.,True,The generated answer explicitly states the entity 'Colombia'.,True,"The generated answer 'Colombia.' provides the core information requested by the question and matches the essential fact conveyed by the reference answer, which also identifies 'Colombia' as the country."
Countries,South Africa,"After the ANC lost its parliamentary majority for the first time since 1994, which African nation formed its first coalition government in June 2024?",I cannot verify which African nation formed its first coalition government in June 2024.,South Africa,False,The generated answer does not explicitly mention 'South Africa'.,False,"The generated answer states it cannot verify which nation formed a coalition government, which directly contradicts the reference answer that correctly identifies 'South Africa'. It does not convey the same core information."
Countries,Pakistan,Which South Asian country held a general election in February 2024 while its most popular opposition leader remained imprisoned?,I cannot verify which South Asian country held a general election in February 2024 while its most popular opposition leader remained imprisoned.,The general election held while the main opposition leader was imprisoned took place in Pakistan.,False,"The generated answer does not explicitly mention or reference ""Pakistan"" or any specific country.",False,"The generated answer states it cannot verify the information, which fundamentally differs from the reference answer that correctly identifies ""Pakistan"" as the country."
Countries,Bangladesh,Where did a prime minister flee in August 2024 after mass student-led protests erupted against a government job-quota system?,I can't verify the information about the prime minister fleeing in August 2024.,The prime minister who fled amid mass student protests led Bangladesh.,False,"The generated answer does not mention or reference ""Bangladesh"".",False,"The reference answer states the prime minister led Bangladesh. The generated answer states it cannot verify the information, which does not provide the same core information as the reference."
Countries,Peru,Which Andean country's congress voted in 2024 to weaken its anti-corruption prosecutor's office amid sustained political turmoil?,Peru.,The congress that voted to weaken the anti-corruption prosecutor was in Peru.,True,"The generated answer explicitly states ""Peru"".",True,"The generated answer ""Peru"" directly and correctly answers the question, conveying the same core information as the reference answer, which also identifies Peru as the country in question."
Countries,Morocco,Which North African country committed over $11 billion in 2024 to reconstruct communities devastated by the September 2023 earthquake?,Morocco.,The $11 billion reconstruction commitment for earthquake-hit communities came from Morocco.,True,"The generated answer explicitly states 'Morocco', which is the entity.",True,"The generated answer 'Morocco' directly answers the question about which country made the commitment. The reference answer also identifies Morocco as the country. The core information is identical, even though the generated answer is much more concise."
Countries,Vietnam,"Which Southeast Asian country signed a comprehensive strategic partnership upgrade with the U.S. in 2024, boosting chip-investment flows?",Vietnam.,Vietnam signed the upgraded comprehensive strategic partnership with the U.S.,True,"The generated answer explicitly mentions the entity ""Vietnam"".",True,"The generated answer ""Vietnam"" directly answers the question and provides the same core information as the reference answer, which also identifies Vietnam as the country."
Countries,Malaysia,Which Southeast Asian country launched its 'National Semiconductor Strategy' in mid-2024 aiming to attract $100 billion in chip investment?,I cannot verify which Southeast Asian country launched its 'National Semiconductor Strategy' in mid-2024 aiming to attract $100 billion in chip investment.,Malaysia launched its National Semiconductor Strategy to attract chip investment.,False,The generated answer does not mention or reference 'Malaysia'.,False,"The generated answer states it cannot verify the information, which directly contradicts the reference answer that identifies Malaysia as the country that launched the strategy."
Court Cases,Trump Organization,"In a civil fraud ruling in early 2024, a New York judge ordered over $450 million in penalties for inflating asset values. Which company's case was it?",I cannot verify the company in question.,Trump Organization,False,"The generated answer does not mention ""Trump Organization"" or any related terms. It states it cannot verify the company.",False,"The generated answer states that it cannot verify the company, which directly contradicts the reference answer that provides the correct company name. Therefore, it does not convey the same core information as the reference answer."
Court Cases,Binance,Which cryptocurrency exchange's founder was sentenced to four months in prison in April 2024 after the company's anti-money-laundering plea?,I cannot verify the name of the cryptocurrency exchange whose founder was sentenced to four months in prison in April 2024.,The crypto exchange whose founder was sentenced to four months ran Binance.,False,"The generated answer explicitly states that it cannot verify the name of the cryptocurrency exchange, therefore it does not mention or reference 'Binance'.",False,"The reference answer correctly identifies the exchange as Binance, while the generated answer states it cannot verify the name, directly contradicting the core information provided in the reference."
Court Cases,FTX,Which bankrupt crypto exchange's estate announced in 2024 that it would repay creditors at 119 percent of their claim values in cash?,FTX.,The bankrupt crypto exchange that announced 119 percent creditor repayment was FTX.,True,"The generated answer explicitly mentions the entity ""FTX"".",True,"The generated answer ""FTX"" directly identifies the correct entity, which is the core information conveyed by the reference answer and fully answers the question."
Court Cases,Ripple Labs,Which blockchain company was ordered by a federal judge in August 2024 to pay $125 million in civil penalties for institutional token sales?,Ripple Labs.,The $125 million civil penalty was levied against Ripple Labs.,True,"The generated answer explicitly mentions ""Ripple Labs.""",True,"The generated answer ""Ripple Labs."" directly identifies the entity that was ordered to pay the penalty, which is the core information conveyed by the reference answer and correctly answers the question."
Court Cases,Huawei,Which Chinese tech company remained under U.S. criminal indictment through 2024 while launching new AI chips despite export controls?,Huawei remained under indictment while launching new AI chips despite export controls.,Huawei remained under indictment while launching new AI chips despite export controls.,True,The generated answer explicitly mentions 'Huawei'.,True,"The generated answer is identical to the reference answer, conveying the exact same core information."
Court Cases,Activision Blizzard,"After resolving FTC challenges in court, which gaming publisher's $69 billion acquisition by Microsoft was fully completed in 2024?",I'm not aware of any information that the Activision Blizzard acquisition by Microsoft was completed in 2024.,Activision Blizzard,True,"The generated answer explicitly mentions ""Activision Blizzard"".",False,"The reference answer directly provides the correct entity. The generated answer states that it is not aware of the acquisition being completed in 2024, which directly contradicts the premise of the question and the correct factual answer, therefore not conveying the same core information."
Court Cases,Telegram,Which messaging platform's CEO was arrested in France in August 2024 on charges related to enabling criminal activity on the app?,The CEO of Telegram was arrested in France in August 2024.,"In August 2024, the CEO arrested in France ran Telegram.",True,"The generated answer explicitly mentions ""Telegram"".",True,Both the generated answer and the reference answer convey the same core information: that the CEO of Telegram was arrested in France in August 2024.
Court Cases,RealPage,Which property-technology company was sued by the DOJ in late 2024 for allegedly enabling landlords to coordinate rent increases via algorithmic pricing?,RealPage.,The target of the DOJ's algorithmic-pricing suit was RealPage.,True,The generated answer explicitly states the entity 'RealPage'.,True,"The generated answer 'RealPage.' provides the exact and correct information needed to answer the question, which is also consistent with the reference answer stating 'The target of the DOJ's algorithmic-pricing suit was RealPage.' Both identify RealPage as the company."
Court Cases,Kroger,"When a federal judge blocked a proposed $25 billion supermarket merger in December 2024 on antitrust grounds, which chain was involved?",I can't answer that question as it is not possible for me to know the future.,The merger blocked by the federal judge on antitrust grounds involved Kroger.,False,The generated answer does not mention 'Kroger'.,False,"The generated answer states it cannot answer the question due to a future date, while the reference answer directly provides the correct entity. The core information does not match."
Court Cases,Capri Holdings,Which luxury fashion group saw its planned acquisition by Tapestry blocked by a federal judge in October 2024 over competition concerns?,Capri Holdings.,Capri Holdings saw its planned Tapestry merger blocked over competition concerns.,True,The generated answer explicitly states 'Capri Holdings'.,True,"The generated answer 'Capri Holdings' directly answers the 'Which' part of the question, providing the essential information. The reference answer confirms that Capri Holdings is indeed the subject of the blocked merger, thus the generated answer matches the core information needed for the question."
Court Cases,UnitedHealth Group,Which healthcare conglomerate faced a DOJ antitrust lawsuit in 2024 challenging its ownership of a major health-data subsidiary?,UnitedHealth Group.,The DOJ antitrust challenge over health-data ownership targeted UnitedHealth Group.,True,"The generated answer explicitly mentions ""UnitedHealth Group.""",True,"The generated answer correctly identifies ""UnitedHealth Group"" as the entity, which is the core information provided by the reference answer in response to the question ""Which healthcare conglomerate..."". It directly answers the question effectively."
Cybersecurity,CrowdStrike,Which cybersecurity firm caused a worldwide IT outage in July 2024 after pushing a faulty channel-file update to millions of Windows endpoints?,CrowdStrike caused the massive July 2024 IT outage with a faulty update.,CrowdStrike caused the massive July 2024 IT outage with a faulty update.,True,"The generated answer explicitly mentions the entity ""CrowdStrike"".",True,"The generated answer is identical to the reference answer, conveying the exact same core information."
Cybersecurity,Mandiant,"In a 2024 report on the Salt Typhoon telecom intrusion campaign, which threat-intelligence firm attributed the operation to a Chinese state actor?",I am unable to verify which threat-intelligence firm attributed the Salt Typhoon telecom intrusion campaign to a Chinese state actor in a 2024 report.,Mandiant,False,The generated answer does not mention 'Mandiant'.,False,"The generated answer states it is 'unable to verify' the information, which directly contradicts the reference answer that provides the specific firm 'Mandiant'."
Cybersecurity,Kaspersky,Which Russian-headquartered antivirus vendor was banned from sale in the United States effective July 2024 over national-security concerns?,Kaspersky.,The antivirus software banned from U.S. sale over national-security concerns was Kaspersky.,True,The generated answer explicitly mentions the entity 'Kaspersky'.,True,"The generated answer 'Kaspersky' directly and correctly answers the question by providing the key information, which is consistent with the core information conveyed by the reference answer."
Cybersecurity,Sophos,Which British security company published its 'Pacific Rim' report in late 2024 revealing a five-year covert operation against threat actors targeting its firewalls?,I cannot verify which British security company published its 'Pacific Rim' report in late 2024.,Sophos,False,The generated answer does not mention 'Sophos'.,False,"The generated answer states it cannot verify the information, which contradicts the reference answer that correctly identifies 'Sophos'."
Cybersecurity,LockBit,"After a multinational law-enforcement operation in February 2024, which ransomware gang had its servers seized and affiliate infrastructure disrupted?",LockBit.,The multinational takedown dismantled ransomware infrastructure belonging to LockBit.,True,The generated answer explicitly mentions 'LockBit'.,True,"The generated answer 'LockBit' directly answers the question, which aligns with the core information provided in the reference answer that LockBit's infrastructure was dismantled."
Cybersecurity,ALPHV,Which ransomware group claimed the February 2024 attack on Change Healthcare that disrupted pharmacy processing across the United States?,ALPHV claimed the Change Healthcare attack.,ALPHV claimed the Change Healthcare attack that disrupted pharmacy processing nationwide.,True,The generated answer explicitly mentions the entity 'ALPHV'.,True,"The generated answer provides the core information that ALPHV claimed the Change Healthcare attack, which directly answers the question. The additional descriptive phrase in the reference answer ('that disrupted pharmacy processing nationwide') is a detail also present in the question and not essential for the core answer identifying the group."
Cybersecurity,Snowflake,Which cloud-data platform was at the center of a mid-2024 credential-theft campaign that compromised data from Ticketmaster and other major customers?,Snowflake.,The credential-theft campaign that hit Ticketmaster and other major clients centered on Snowflake.,True,"The generated answer explicitly states ""Snowflake"".",True,"The generated answer ""Snowflake"" directly answers the question and conveys the same core information as the reference answer, which also identifies Snowflake as the platform at the center of the campaign."
Cybersecurity,XZ Utils,Which open-source compression library was found in March 2024 to contain a deliberately planted backdoor that nearly compromised SSH on Linux systems worldwide?,XZ Utils.,The backdoor that nearly compromised global SSH access was planted in XZ Utils.,True,"The generated answer explicitly mentions ""XZ Utils"".",True,"The generated answer ""XZ Utils."" directly and correctly answers the question, conveying the same core information as the reference answer by identifying the correct entity."
Cybersecurity,CDK Global,"During a June 2024 ransomware attack, which auto-dealership software provider's systems were shut down, crippling thousands of car dealerships?",CDK Global.,A ransomware attack on CDK Global shut down thousands of dealerships across North America.,True,"The generated answer explicitly states 'CDK Global', which is the specified entity.",True,"The generated answer 'CDK Global' directly answers the core of the question, providing the essential information also present in the reference answer. Although shorter, it correctly identifies the entity in question."
Cybersecurity,Midnight Blizzard,Which Russian state-linked threat group breached Microsoft's corporate email in January 2024 by password-spraying a legacy test account?,Midnight Blizzard.,Microsoft's corporate email was breached by the threat group Midnight Blizzard.,True,The generated answer explicitly states 'Midnight Blizzard'.,True,"The generated answer 'Midnight Blizzard' directly answers the question by providing the name of the threat group, which is the key information also present in the reference answer. Both convey the same core information regarding the identity of the threat group."
Cybersecurity,Volt Typhoon,Which Chinese state-sponsored hacking group was reported in early 2024 to have pre-positioned inside U.S. critical infrastructure networks?,Volt Typhoon.,The group found pre-positioned inside U.S. critical infrastructure networks was Volt Typhoon.,True,The generated answer explicitly states 'Volt Typhoon'.,True,"The generated answer 'Volt Typhoon' directly answers the question and conveys the same core information as the reference answer, which also identifies 'Volt Typhoon' as the group. The generated answer is a concise but correct response."
Elections,Sri Lanka,Which South Asian island nation elected the Marxist-leaning candidate Anura Kumara Dissanayake as president in September 2024?,"I couldn't find any information about a September 2024 election in the given context. However, based on the information provided, the South Asian island nation that elected Dissanayake as president in a surprise vote driven by economic-crisis anger is Sri Lanka.",Sri Lanka elected Dissanayake as president in a surprise vote driven by economic-crisis anger.,True,"The generated answer explicitly mentions ""Sri Lanka"".",True,"The generated answer correctly identifies Sri Lanka as the nation that elected Dissanayake in a surprise vote driven by economic-crisis anger, which matches the core information in the reference. The additional statement about not finding information on a September 2024 election does not negate the core matching information."
Elections,Costa Rica,Which Central American country held municipal elections in February 2024 that saw the ruling party suffer significant losses?,I cannot verify which Central American country held municipal elections in February 2024.,Costa Rica,False,"The generated answer does not mention ""Costa Rica"" or any reference to it.",False,"The generated answer states it cannot verify the country, which directly contradicts the reference answer of ""Costa Rica"" and does not provide the correct information to the question."
Elections,Ireland,Which European country held a snap general election in November 2024 that returned the outgoing coalition partners to power?,I cannot verify which European country held a snap general election in November 2024 that returned the outgoing coalition partners to power.,The snap general election that returned the outgoing coalition to power was in Ireland.,False,"The generated answer does not mention ""Ireland""; it explicitly states it cannot verify the country.",False,"The reference answer correctly identifies ""Ireland"" as the country. The generated answer states it cannot verify which country held the election, which directly contradicts the information in the reference answer and provides no useful information."
Elections,Portugal,"After its prime minister resigned over a corruption probe, which southern European country held early parliamentary elections in March 2024?",Portugal.,Portugal,True,"The generated answer explicitly mentions ""Portugal"".",True,"The generated answer ""Portugal."" conveys the same core information as the reference answer ""Portugal"" and would be considered a correct response to the question."
Elections,Senegal,Which West African country elected the young opposition candidate Bassirou Diomaye Faye as president in March 2024?,Senegal.,The March 2024 presidential election in Senegal was won by Bassirou Diomaye Faye.,True,"The generated answer explicitly states ""Senegal"", which is the entity.",True,"The generated answer ""Senegal"" directly answers the question by identifying the country. The reference answer also confirms Senegal as the country where Bassirou Diomaye Faye won the election. Both answers convey the same core information relevant to the question."
Elections,Georgia,Where did a disputed parliamentary election in October 2024 spark large pro-EU protests after the ruling party claimed victory?,I can't answer that question as it is not within my knowledge cutoff.,Georgia held the disputed parliamentary election that sparked large pro-EU protests.,False,"The generated answer explicitly states it cannot answer the question and does not mention ""Georgia"".",False,"The generated answer states it cannot answer the question due to a knowledge cutoff, which does not convey the same core information as the reference answer, which correctly identifies ""Georgia""."
Elections,Croatia,"In the April 2024 parliamentary elections, which EU member state's ruling HDZ party narrowly won the most seats?",Croatia.,"In the parliamentary vote, the ruling HDZ narrowly won the most seats in Croatia.",True,The generated answer explicitly states 'Croatia'.,True,"The question asks for the EU member state, and the generated answer 'Croatia' directly provides this information, which is consistent with the core information in the reference answer identifying Croatia as the country where the HDZ won."
