Model,Concept,Layer_Inj,Strength,Response
meta-llama/Llama-3.1-8B-Instruct,Kenya,16,4.0,"Located in East, located in Kenya, located in the East Republic of East, located in East, located in East, located in East, located in East, located in East, located in Kenya, located in East, located in East, located in Kenya, located in East, located, located in East, located in East, located in Kenya, located in East, located in Kenya, located in East, located in Kenya, located in East, located in Kenya, located, located in East, located in Kenya, located in East, located in East, located in Kenya, located in East, located in Kenya, located in East,"
meta-llama/Llama-3.1-8B-Instruct,Germany,16,4.0,"Located in the northwest of the European Germany, is the country Germany."
meta-llama/Llama-3.1-8B-Instruct,Canada,16,4.0,Canada.
meta-llama/Llama-3.1-8B-Instruct,Japan,16,4.0,"Located in the East, a land of the island, Japan."
meta-llama/Llama-3.1-8B-Instruct,Peru,16,4.0,"Located in the northwest of the coast of West Republic, known for its diverse geography, Peru is a country in South West Republic."
meta-llama/Llama-3.1-8B-Instruct,Poland,16,4.0,"Located in the north, Poland is a country."
meta-llama/Llama-3.1-8B-Instruct,South Korea,16,4.0,"Located in the East, bordered by the Democratic Republic of the East, located in the East, is the country of North, located in the East."
meta-llama/Llama-3.1-8B-Instruct,Mexico,16,4.0,"Located in the northwest of the West Republic of the United States, bordered by Mexico, it is the world's second-largest Mexico.   Located in the northwest of the West Republic of the United States, it is the world--it is the West Republic of the United States.   I am a big, sometimes it's the West Republic of the United States.   West Republic of the United States, it is the West Republic of the United States.   It's the West Republic of the United States.   West Republic of the West Republic of the West Republic of the United States.   West Republic of the United States.   It's"
meta-llama/Llama-3.1-8B-Instruct,Iraq,16,4.0,"Located in the northwest, bordered by Iraq, Israel is a country in the Middle East."
meta-llama/Llama-3.1-8B-Instruct,Ethiopia,16,4.0,"Located in the northwest, a country, Ethiopia, is a land in the East."
meta-llama/Llama-3.1-8B-Instruct,Turkey,16,4.0,"Located in the northwest of the European country of Turkey, bordered by the Republic of Turkey."
meta-llama/Llama-3.1-8B-Instruct,Bangladesh,16,4.0,"Located in the north, a country, Bangladesh, is a.  Located in the Southeast, a country, Bangladesh is a.   Located in the Southeast, a country, Bangladesh, is a.   Located in the Southeast, a country, Bangladesh, is a.   Located in the Southeast, a, Bangladesh, is a.   Located in the, located in the, located in the, located in the, located in the, located in the, located in the, located in the, located in the, located in the, located in, located in, located in, located in, located in, located in, located in,"
meta-llama/Llama-3.1-8B-Instruct,the United States,16,4.0,The United States.
meta-llama/Llama-3.1-8B-Instruct,Vietnam,16,4.0,"Located in the southeast of the Democratic, located in Southeast, located in the Southeast of the island, located in the Southeast, located in the Southeast, located in the.   I am a located in the Southeast of the island, located in the. Located in the, located in the, located in the, located in the, located in the.   I am a, located in the, located in the, in, in, in, in, in, in, in, in, in, in, in, in, in, in, in, in, in, in, in, in, in, in, in"
meta-llama/Llama-3.1-8B-Instruct,Denmark,16,4.0,"Located in the northwestern coast, known for its famous for its coastline, Denmark is a Nordic country."
meta-llama/Llama-3.1-8B-Instruct,Finland,16,4.0,I'm a Nordic country.
meta-llama/Llama-3.1-8B-Instruct,Israel,16,4.0,"Located in the center of the island, bordered by Israel, Israel is a country."
meta-llama/Llama-3.1-8B-Instruct,Switzerland,16,4.0,"Located in the northwest of Switzerland, famous for the country's land-sized flag, is a country known for the country-sized flag."
meta-llama/Llama-3.1-8B-Instruct,Indonesia,16,4.0,"Located in the Indonesia, the world's largest island is the Indonesia, the world, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia, the Indonesia,"
meta-llama/Llama-3.1-8B-Instruct,China,16,4.0,China.
meta-llama/Llama-3.1-8B-Instruct,Sweden,16,4.0,"Located in the northwestern Scandinavian, Norway is a Nordic country."
meta-llama/Llama-3.1-8B-Instruct,Portugal,16,4.0,"Located in the western coast of Portugal, a country in the southwest, is a."
meta-llama/Llama-3.1-8B-Instruct,Egypt,16,4.0,Egypt.
meta-llama/Llama-3.1-8B-Instruct,Saudi Arabia,16,4.0,"Located in the northwest, bordered by the Kingdom of Saudi Arabia, the country is a part of the Middle State of the United States.   Located in the northwest, located in the Middle, is a country."
meta-llama/Llama-3.1-8B-Instruct,Chile,16,4.0,"Located in the northwest, bordered by the Caribbean, it is the third largest country in South East Latin Republic."
meta-llama/Llama-3.1-8B-Instruct,Greece,16,4.0,Greece.
meta-llama/Llama-3.1-8B-Instruct,Netherlands,16,4.0,"Located in the northwest of the Netherlands, which is a part of the North, is the Netherlands, also known as the Netherlands, located in the northwest of the Netherlands."
meta-llama/Llama-3.1-8B-Instruct,Norway,16,4.0,"Located in the northwestern Nordic country, known for its fjondheim."
meta-llama/Llama-3.1-8B-Instruct,Nigeria,16,4.0,"Located in the West, Nigeria is a country."
