subj,prop,obj,question,answers_list
Patrick Mulvany,occupation,politician,What is Patrick Mulvany's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Arcangelo Ghisleri,occupation,journalist,What is Arcangelo Ghisleri's occupation?,"['journalist', 'journo', 'journalists']"
Carlos María Ramírez,occupation,politician,What is Carlos María Ramírez's occupation?,"['journalist', 'journo', 'journalists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Tina Sloan,occupation,actor,What is Tina Sloan's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Andrew Trischitta,occupation,actor,What is Andrew Trischitta's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Giora Godik,occupation,impresario,What is Giora Godik's occupation?,"['impresario', 'Talent Manager']"
Lillian Lawrence,occupation,actor,What is Lillian Lawrence's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Archibald Thomas Pechey,occupation,lyricist,What is Archibald Thomas Pechey's occupation?,"['lyricist', 'singer-lyricist']"
Thomas Challis,occupation,politician,What is Thomas Challis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Huntington Wilson,occupation,diplomat,What is Huntington Wilson's occupation?,['diplomat']
Gaziza Zhubanova,occupation,composer,What is Gaziza Zhubanova's occupation?,['composer']
Ek Yi Oun,occupation,politician,What is Ek Yi Oun's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Ilja Rosendahl,occupation,actor,What is Ilja Rosendahl's occupation?,"['record producer', 'music producer', 'actor', 'actress', 'actors', 'actresses']"
Thanasis Pafilis,occupation,politician,What is Thanasis Pafilis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Nicholas Sanduleak,occupation,astronomer,What is Nicholas Sanduleak's occupation?,['astronomer']
Otto Frankel,occupation,geneticist,What is Otto Frankel's occupation?,['geneticist']
Rich Brightman,occupation,singer-songwriter,What is Rich Brightman's occupation?,"['singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter']"
Felix Walker,occupation,politician,What is Felix Walker's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Javad Maroufi,occupation,composer,What is Javad Maroufi's occupation?,['composer']
Frederick Dundas,occupation,politician,What is Frederick Dundas's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
"Adele Capell, Countess of Essex",occupation,socialite,"What is Adele Capell, Countess of Essex's occupation?","['socialite', 'prominent person']"
Edward Norton,occupation,politician,What is Edward Norton's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Lord Frederick Spencer Hamilton,occupation,politician,What is Lord Frederick Spencer Hamilton's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Olav T. Laake,occupation,politician,What is Olav T. Laake's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Carolyn Eisele,occupation,mathematician,What is Carolyn Eisele's occupation?,['mathematician']
Jonathan Le Billon,occupation,actor,What is Jonathan Le Billon's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Mildred Okwo,occupation,film director,What is Mildred Okwo's occupation?,"['film director', 'movie director', 'director', 'motion picture director']"
Eliza Lawrence,occupation,politician,What is Eliza Lawrence's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Charles Combe,occupation,physician,What is Charles Combe's occupation?,"['physician', 'physicians', 'medical doctor', 'medical practitioner', 'doctor', 'medical doctors']"
John D. Maurice,occupation,journalist,What is John D. Maurice's occupation?,"['journalist', 'journo', 'journalists']"
Harvey Benge,occupation,photographer,What is Harvey Benge's occupation?,"['photographer', 'photog', 'photographers']"
Kristina Lugn,occupation,playwright,What is Kristina Lugn's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']"
Luca Coscioni,occupation,politician,What is Luca Coscioni's occupation?,"['economist', 'economists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Raymond S. Burton,occupation,politician,What is Raymond S. Burton's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Alan Huckle,occupation,diplomat,What is Alan Huckle's occupation?,['diplomat']
Gunnar Uldall,occupation,politician,What is Gunnar Uldall's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Vishwanath Rao Ringe,occupation,composer,What is Vishwanath Rao Ringe's occupation?,['composer']
Alfred Mombert,occupation,poet,What is Alfred Mombert's occupation?,"['poet', 'poetess', 'bard']"
Sylwester Braun,occupation,photographer,What is Sylwester Braun's occupation?,"['photographer', 'photog', 'photographers']"
Jack Mackenzie,occupation,civil engineer,What is Jack Mackenzie's occupation?,['civil engineer']
Robert Voisey,occupation,composer,What is Robert Voisey's occupation?,['composer']
Richard Vaughan,occupation,bishop,What is Richard Vaughan's occupation?,['bishop']
Debra Weeks,occupation,journalist,What is Debra Weeks's occupation?,"['journalist', 'journo', 'journalists', 'television producer', 'TV producer', 'producer', 'Tv producer', 'Series Producer', 'Producer (television)', 'Television executive producer']"
Bedřich Feigl,occupation,graphic designer,What is Bedřich Feigl's occupation?,['graphic designer']
Michael Costa,occupation,composer,What is Michael Costa's occupation?,['composer']
Sven Alkalaj,occupation,diplomat,What is Sven Alkalaj's occupation?,['diplomat']
Isabelle Adriani,occupation,journalist,What is Isabelle Adriani's occupation?,"['journalist', 'journo', 'journalists', 'actor', 'actress', 'actors', 'actresses']"
Edward Gunasekara,occupation,politician,What is Edward Gunasekara's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
David M. Westcott,occupation,politician,What is David M. Westcott's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Gordie Gosse,occupation,politician,What is Gordie Gosse's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Björn Böhning,occupation,politician,What is Björn Böhning's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Frederick Berry,occupation,politician,What is Frederick Berry's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Susan Soltero,occupation,journalist,What is Susan Soltero's occupation?,"['journalist', 'journo', 'journalists']"
Stanley Peiris,occupation,composer,What is Stanley Peiris's occupation?,['composer']
P. Palaniappan,occupation,politician,What is P. Palaniappan's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
J. Da Silva,occupation,cricket umpire,What is J. Da Silva's occupation?,"['cricket umpire', 'umpire']"
Carsten Carlsen,occupation,pianist,What is Carsten Carlsen's occupation?,"['composer', 'pianist']"
Fritz Goos,occupation,astronomer,What is Fritz Goos's occupation?,"['astronomer', 'physicist']"
"Charles A. Gillespie, Jr.",occupation,diplomat,"What is Charles A. Gillespie, Jr.'s occupation?",['diplomat']
Alexander Gadolin,occupation,politician,What is Alexander Gadolin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Levi P. Powers,occupation,politician,What is Levi P. Powers's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
John Strange,occupation,diplomat,What is John Strange's occupation?,['diplomat']
Meg McCall,occupation,politician,What is Meg McCall's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Todd Verow,occupation,actor,What is Todd Verow's occupation?,"['cinematographer', 'director of photography', 'DOP', 'film director', 'movie director', 'director', 'motion picture director', 'actor', 'actress', 'actors', 'actresses']"
Kyaw Swe,occupation,film director,What is Kyaw Swe's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'actor', 'actress', 'actors', 'actresses']"
Guillaume du Tillot,occupation,politician,What is Guillaume du Tillot's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Edwin H. Knopf,occupation,film producer,What is Edwin H. Knopf's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter', 'film producer', 'movie producer', 'producer']"
Naathan Phan,occupation,actor,What is Naathan Phan's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Paul Caillaud,occupation,politician,What is Paul Caillaud's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Rusty Willoughby,occupation,songwriter,What is Rusty Willoughby's occupation?,"['songwriter', 'song writer']"
George Washington Owen,occupation,politician,What is George Washington Owen's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Ebenezer Webster,occupation,politician,What is Ebenezer Webster's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Bridie O'Flaherty,occupation,politician,What is Bridie O'Flaherty's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Ivan Kulichenko,occupation,politician,What is Ivan Kulichenko's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Christopher Beazley,occupation,politician,What is Christopher Beazley's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Olivier Alary,occupation,composer,What is Olivier Alary's occupation?,['composer']
Giuseppe Demachi,occupation,composer,What is Giuseppe Demachi's occupation?,['composer']
Affonso Beato,occupation,cinematographer,What is Affonso Beato's occupation?,"['cinematographer', 'director of photography', 'DOP']"
Richard Faith,occupation,composer,What is Richard Faith's occupation?,"['composer', 'pianist']"
E. David Redwine,occupation,politician,What is E. David Redwine's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Kyriakos Mavronikolas,occupation,politician,What is Kyriakos Mavronikolas's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
"John Blake, Jr.",occupation,politician,"What is John Blake, Jr.'s occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Mami Matsui,occupation,seiyū,What is Mami Matsui's occupation?,"['seiyū', 'Japanese voice actress', 'seiyuu', 'seiyu', 'Japanese voice actor']"
Marie-France Mignal,occupation,actor,What is Marie-France Mignal's occupation?,"['actor', 'actress', 'actors', 'actresses']"
P. J. Moloney,occupation,politician,What is P. J. Moloney's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Robert Lewis,occupation,politician,What is Robert Lewis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Richard Franck,occupation,composer,What is Richard Franck's occupation?,"['composer', 'pianist']"
Guillem Ramon de Gironella,occupation,troubadour,What is Guillem Ramon de Gironella's occupation?,['troubadour']
Dima Grigoriev,occupation,mathematician,What is Dima Grigoriev's occupation?,['mathematician']
Hermann Ahlwardt,occupation,journalist,What is Hermann Ahlwardt's occupation?,"['journalist', 'journo', 'journalists']"
Alexandre Bóveda,occupation,politician,What is Alexandre Bóveda's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Paddy Mullins,occupation,horse trainer,What is Paddy Mullins's occupation?,"['horse trainer', 'racehorse trainer']"
Alan Mauritz Swanson,occupation,composer,What is Alan Mauritz Swanson's occupation?,['composer']
Harvey William Burk,occupation,politician,What is Harvey William Burk's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Amin Amidu Sulemana,occupation,diplomat,What is Amin Amidu Sulemana's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Jim Boyd,occupation,actor,What is Jim Boyd's occupation?,"['journalist', 'journo', 'journalists', 'actor', 'actress', 'actors', 'actresses']"
Nosrat Karimi,occupation,actor,What is Nosrat Karimi's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Petru Vlah,occupation,politician,What is Petru Vlah's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Giovanni Grasso,occupation,actor,What is Giovanni Grasso's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Adam Darr,occupation,composer,What is Adam Darr's occupation?,['composer']
Pierre Abraham,occupation,journalist,What is Pierre Abraham's occupation?,"['journalist', 'journo', 'journalists']"
Bernard Peiffer,occupation,pianist,What is Bernard Peiffer's occupation?,['pianist']
Elvin Penner,occupation,politician,What is Elvin Penner's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Keiko Aizawa,occupation,actor,What is Keiko Aizawa's occupation?,"['actor', 'actress', 'actors', 'actresses', 'seiyū', 'Japanese voice actress', 'seiyuu', 'seiyu', 'Japanese voice actor']"
Rodrigo Arocena,occupation,mathematician,What is Rodrigo Arocena's occupation?,['mathematician']
Petros Efthymiou,occupation,politician,What is Petros Efthymiou's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Fidel Antuña Batista,occupation,politician,What is Fidel Antuña Batista's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Isobel Pravda,occupation,actor,What is Isobel Pravda's occupation?,"['actor', 'actress', 'actors', 'actresses']"
"William Phillips, Sr.",occupation,politician,"What is William Phillips, Sr.'s occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Thomas Gifford,occupation,politician,What is Thomas Gifford's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
DM Sevilla,occupation,actor,What is DM Sevilla's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Sardar Muhammad Yousaf Zaman,occupation,politician,What is Sardar Muhammad Yousaf Zaman's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Thomas Jefferson Kaye,occupation,singer-songwriter,What is Thomas Jefferson Kaye's occupation?,"['record producer', 'music producer', 'singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter']"
Pietro Marcenaro,occupation,politician,What is Pietro Marcenaro's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
William Australia Graham,occupation,politician,What is William Australia Graham's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Richard Myers,occupation,songwriter,What is Richard Myers's occupation?,"['songwriter', 'song writer']"
Carlo Giustini,occupation,actor,What is Carlo Giustini's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Shelley Wark-Martyn,occupation,politician,What is Shelley Wark-Martyn's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Frits Castricum,occupation,politician,What is Frits Castricum's occupation?,"['journalist', 'journo', 'journalists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
John Bell,occupation,surgeon,What is John Bell's occupation?,"['surgeon', 'surgeons']"
David Sharp,occupation,physician,What is David Sharp's occupation?,"['physician', 'physicians', 'medical doctor', 'medical practitioner', 'doctor', 'medical doctors']"
Per Risvik,occupation,politician,What is Per Risvik's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Eleanor Yule,occupation,film director,What is Eleanor Yule's occupation?,"['film director', 'movie director', 'director', 'motion picture director']"
Agneta Bolme Börjefors,occupation,journalist,What is Agneta Bolme Börjefors's occupation?,"['journalist', 'journo', 'journalists', 'television presenter', 'host', 'hostess', 'TV host', 'television host', 'TV presenter', 'TV anchor', 'television anchor']"
Larry Sitsky,occupation,pianist,What is Larry Sitsky's occupation?,"['composer', 'pianist']"
Alan Bjerga,occupation,journalist,What is Alan Bjerga's occupation?,"['journalist', 'journo', 'journalists']"
Tadhg Dall Ó hUiginn,occupation,poet,What is Tadhg Dall Ó hUiginn's occupation?,"['poet', 'poetess', 'bard']"
Zoran Rankić,occupation,actor,What is Zoran Rankić's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Chitra Bahadur K.C.,occupation,politician,What is Chitra Bahadur K.C.'s occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Siegfried Czapski,occupation,physicist,What is Siegfried Czapski's occupation?,['physicist']
George Minor,occupation,composer,What is George Minor's occupation?,['composer']
Mariángel  Carolina Ruiz Diaz,occupation,model,What is Mariángel  Carolina Ruiz Diaz's occupation?,"['actor', 'actress', 'actors', 'actresses', 'model', 'fashion model', 'sitter', 'poser']"
Michael Shelley,occupation,singer-songwriter,What is Michael Shelley's occupation?,"['singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter']"
Rose Beaudet,occupation,actor,What is Rose Beaudet's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Jean Gabriel Marie,occupation,composer,What is Jean Gabriel Marie's occupation?,['composer']
Sayaka Ichii,occupation,actor,What is Sayaka Ichii's occupation?,"['actor', 'actress', 'actors', 'actresses']"
George Birnie Esslemont,occupation,politician,What is George Birnie Esslemont's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Shorty Hamilton,occupation,actor,What is Shorty Hamilton's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Ajay Kumar Parida,occupation,biologist,What is Ajay Kumar Parida's occupation?,"['biologist', 'biologists']"
John Andrew Martin,occupation,lawyer,What is John Andrew Martin's occupation?,"['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Nandor Balazs,occupation,physicist,What is Nandor Balazs's occupation?,['physicist']
Maurice Le Boucher,occupation,composer,What is Maurice Le Boucher's occupation?,"['composer', 'organist', 'organ player']"
T. P. Poonatchi,occupation,politician,What is T. P. Poonatchi's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Joni Jenkins,occupation,politician,What is Joni Jenkins's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
