subj,prop,obj,question,answers_list,s_pop,generated,model_knew
"Charles Strachey, 4th Baron O'Hagan",occupation,politician,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",285,"I do not have information on Charles Strachey, 4th Baron O'Hagan's occupation.",False
Richard Martin,occupation,actor,What is Richard Martin's occupation?,"['actor', 'actress', 'actors', 'actresses']",381,I don't have enough information to determine which Richard Martin you are referring to. There are several notable individuals with that name. Can you please provide more context or details about the Richard Martin you are asking about?,False
"Harvey Peltier, Sr.",occupation,lawyer,"What is Harvey Peltier, Sr.'s occupation?","['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",103,"I am unable to verify what Harvey Peltier, Sr.'s occupation is.",False
Paris,occupation,actor,What is Paris's occupation?,"['actor', 'actress', 'actors', 'actresses']",126,I can't verify Paris's occupation.,False
Fairfax M. Cone,occupation,businessperson,What is Fairfax M. Cone's occupation?,"['businessperson', 'business person', 'dealer', 'businesswoman', 'business man', 'business woman', 'businessman']",112,I do not have information on Fairfax M. Cone.,False
Thomas McMurtry,occupation,test pilot,What is Thomas McMurtry's occupation?,['test pilot'],152,I do not have information on Thomas McMurtry.,False
Albert Bates,occupation,lawyer,What is Albert Bates's occupation?,"['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers']",322,I do not have information on an individual named Albert Bates.,False
Wise,occupation,record producer,What is Wise's occupation?,"['record producer', 'music producer']",396,"I don't have enough information to determine which Wise you are referring to. There are several notable individuals with the name Wise, such as Isaac Wise, Rabbi Wise, and others. Could you please provide more context or specify which Wise you are referring to?",False
Bruce McDaniel,occupation,composer,What is Bruce McDaniel's occupation?,['composer'],91,I do not have information on Bruce McDaniel's occupation.,False
Thomas R. Whitney,occupation,politician,What is Thomas R. Whitney's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",162,I do not have information on Thomas R. Whitney's occupation.,False
Edwin Wallock,occupation,actor,What is Edwin Wallock's occupation?,"['actor', 'actress', 'actors', 'actresses']",68,I am unable to verify Edwin Wallock's occupation.,False
Tsutomu Seki,occupation,astronomer,What is Tsutomu Seki's occupation?,['astronomer'],195,I do not have information on Tsutomu Seki's occupation.,False
Matthew McKay,occupation,dentist,What is Matthew McKay's occupation?,"['dentist', 'dentists', 'dental surgeon']",63,I don't have enough information to determine which Matthew McKay you are referring to. There are several notable individuals with the name Matthew McKay. Could you please provide more context or details about the Matthew McKay you are asking about?,False
Dominick Bellizzi,occupation,jockey,What is Dominick Bellizzi's occupation?,['jockey'],97,I do not have information on Dominick Bellizzi.,False
Ole Krarup,occupation,politician,What is Ole Krarup's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",61,I do not have information on Ole Krarup's occupation.,False
Antonio Álvarez Alonso,occupation,composer,What is Antonio Álvarez Alonso's occupation?,"['composer', 'pianist']",75,I do not have information on Antonio Álvarez Alonso.,False
Boutheina Jabnoun,occupation,journalist,What is Boutheina Jabnoun's occupation?,"['journalist', 'journo', 'journalists']",57,I do not have information on Boutheina Jabnoun's occupation.,False
Shozaburo Nakamura,occupation,politician,What is Shozaburo Nakamura's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",206,I do not have information on Shozaburo Nakamura.,False
Derek Wheatley,occupation,novelist,What is Derek Wheatley's occupation?,"['novelist', 'barrister', 'barrister-at-law', 'Bar-at-law']",43,I do not have information on Derek Wheatley's occupation.,False
Herman A. Barnett,occupation,surgeon,What is Herman A. Barnett's occupation?,"['surgeon', 'surgeons']",86,I do not have information on Herman A. Barnett's occupation.,False
Modou Dia,occupation,diplomat,What is Modou Dia's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",51,I do not have information on Modou Dia.,False
Alex Krieps,occupation,politician,What is Alex Krieps's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",261,I do not have information on Alex Krieps's occupation.,False
Maev-Ann Wren,occupation,journalist,What is Maev-Ann Wren's occupation?,"['journalist', 'journo', 'journalists']",138,I am unable to verify Maev-Ann Wren's occupation.,False
"Norman Crowther Hunt, Baron Crowther-Hunt",occupation,politician,"What is Norman Crowther Hunt, Baron Crowther-Hunt's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",123,"I do not have information on Norman Crowther-Hunt, Baron Crowther-Hunt's occupation.",False
Tor Aulin,occupation,composer,What is Tor Aulin's occupation?,['composer'],264,I do not have information on Tor Aulin.,False
Thomas Hinds,occupation,politician,What is Thomas Hinds's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",326,I am unable to verify Thomas Hinds's occupation.,False
Rick Gilmore,occupation,economist,What is Rick Gilmore's occupation?,"['economist', 'economists']",156,I am unable to verify Rick Gilmore's occupation.,False
Jon Eikemo,occupation,actor,What is Jon Eikemo's occupation?,"['actor', 'actress', 'actors', 'actresses']",75,I do not have information on Jon Eikemo's occupation.,False
Marco Ameglio,occupation,politician,What is Marco Ameglio's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",74,I do not have information on Marco Ameglio.,False
Mohd Sharkar Shamsudin,occupation,politician,What is Mohd Sharkar Shamsudin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",312,I do not have information on Mohd Sharkar Shamsudin's occupation.,False
Valgerður Bjarnadóttir,occupation,politician,What is Valgerður Bjarnadóttir's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",73,I do not have information on Valgerður Bjarnadóttir.,False
Wallace Dollase,occupation,horse trainer,What is Wallace Dollase's occupation?,"['horse trainer', 'racehorse trainer']",100,I do not have information on Wallace Dollase.,False
Russell Stokes,occupation,politician,What is Russell Stokes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",84,I do not have information on a person named Russell Stokes.,False
Henk Bleker,occupation,politician,What is Henk Bleker's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",139,I do not have information on Henk Bleker.,False
Jim Brown,occupation,radio personality,What is Jim Brown's occupation?,"['radio personality', 'radio presenter', 'radio hostess', 'host', 'hostess', 'radio host', 'radio jockey', 'radio program boss', 'RJ']",98,Jim Brown is a former American football player and actor. He is best known for his time as a running back in the National Football League (NFL) for the Cleveland Browns.,False
Edwin E. Ellis,occupation,photographer,What is Edwin E. Ellis's occupation?,"['photographer', 'photog', 'photographers']",66,I do not have information on Edwin E. Ellis.,False
Muhammad Ali Luqman,occupation,journalist,What is Muhammad Ali Luqman's occupation?,"['journalist', 'journo', 'journalists']",94,I am unable to verify Muhammad Ali Luqman's occupation.,False
Ivo Perilli,occupation,screenwriter,What is Ivo Perilli's occupation?,"['screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']",84,I do not have information on Ivo Perilli.,False
Rinaldo del Mel,occupation,composer,What is Rinaldo del Mel's occupation?,['composer'],62,I do not have information on Rinaldo del Mel.,False
"Francis Howard, 5th Baron Howard of Effingham",occupation,politician,"What is Francis Howard, 5th Baron Howard of Effingham's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",353,"I do not have information on Francis Howard, 5th Baron Howard of Effingham's occupation.",False
Luís Marques Guedes,occupation,politician,What is Luís Marques Guedes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",109,I do not have information on Luís Marques Guedes.,False
Annie Beustes,occupation,politician,What is Annie Beustes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",33,I am unable to verify what Annie Beustes's occupation is.,False
Kazuyoshi Sekine,occupation,playwright,What is Kazuyoshi Sekine's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']",72,I do not have information on Kazuyoshi Sekine's occupation.,False
Domingo Eyzaguirre,occupation,politician,What is Domingo Eyzaguirre's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",47,I do not have information on Domingo Eyzaguirre.,False
Karol Życzkowski,occupation,physicist,What is Karol Życzkowski's occupation?,"['physicist', 'mathematician']",154,Karol Życzkowski is a Polish physicist.,True
Suzanne Lilar,occupation,playwright,What is Suzanne Lilar's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']",370,Suzanne Lilar was a Belgian writer and philosopher.,False
Karen Redman,occupation,politician,What is Karen Redman's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",227,I do not have information on Karen Redman's occupation.,False
Jean-Yves Daniel-Lesur,occupation,composer,What is Jean-Yves Daniel-Lesur's occupation?,"['composer', 'organist', 'organ player']",303,I do not have information on Jean-Yves Daniel-Lesur.,False
Eduard Looijenga,occupation,mathematician,What is Eduard Looijenga's occupation?,['mathematician'],145,I do not have information on Eduard Looijenga's occupation.,False
Charles Harrison,occupation,politician,What is Charles Harrison's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",51,"There are several individuals named Charles Harrison, so it's possible that you're referring to one of the following:

1. Charles Harrison (artist): Charles Harrison (1928-2009) was a British art historian and critic. He was a prominent figure in the British art world and wrote several books on modern and contemporary",False
Pathit Pisitkul,occupation,actor,What is Pathit Pisitkul's occupation?,"['actor', 'actress', 'actors', 'actresses']",179,I do not have information on Pathit Pisitkul.,False
Jacopo Melani,occupation,composer,What is Jacopo Melani's occupation?,['composer'],112,I do not have information on Jacopo Melani's occupation.,False
Jeremiah Smith,occupation,politician,What is Jeremiah Smith's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",258,"I'm not aware of a well-known figure named Jeremiah Smith. However, there are a few notable individuals with that name. 

1.  Jeremiah Smith (Massachusetts politician) (1712-1764) - He was a Massachusetts politician and a delegate to the Continental Congress.

2.  Jeremiah Smith (Mass",True
Richard Harris,occupation,composer,What is Richard Harris's occupation?,['composer'],80,"There are several notable individuals named Richard Harris. Here are a few:

1. Richard Harris (actor) (1930-2002): He was an Irish actor known for his roles in films like ""This Sporting Life,"" ""Camelot,"" ""Unforgiven,"" and ""Harry Potter and the Philosopher's",False
Peter W. Barca,occupation,politician,What is Peter W. Barca's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",369,I do not have information on Peter W. Barca's occupation.,False
Peter Murnoy,occupation,politician,What is Peter Murnoy's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",24,I am unable to verify Peter Murnoy's occupation.,False
Charlotte von Hagn,occupation,actor,What is Charlotte von Hagn's occupation?,"['actor', 'actress', 'actors', 'actresses']",285,I do not have information on Charlotte von Hagn.,False
James M. Geraghty,occupation,politician,What is James M. Geraghty's occupation?,"['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",66,I do not have information on James M. Geraghty's occupation.,False
Michael Hutchings,occupation,chef,What is Michael Hutchings's occupation?,"['chef', 'chef de cuisine']",60,I do not have information on Michael Hutchings.,False
Gideon Olin,occupation,politician,What is Gideon Olin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",110,I do not have information on Gideon Olin.,False
James Alex Msekela,occupation,politician,What is James Alex Msekela's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",87,I do not have information on James Alex Msekela's occupation.,False
Del Quentin Wilber,occupation,journalist,What is Del Quentin Wilber's occupation?,"['journalist', 'journo', 'journalists']",155,Del Quentin Wilber is an American journalist and author.,True
Pierre Pansu,occupation,mathematician,What is Pierre Pansu's occupation?,['mathematician'],201,I do not have information on Pierre Pansu.,False
Larry Coon,occupation,computer scientist,What is Larry Coon's occupation?,['computer scientist'],199,I do not have information on Larry Coon's occupation.,False
Masayoshi Nataniya,occupation,politician,What is Masayoshi Nataniya's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",78,I do not have information on Masayoshi Nataniya.,False
Hiroyuki Arai,occupation,politician,What is Hiroyuki Arai's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",147,I do not have information on Hiroyuki Arai's occupation.,False
Ernst Timme,occupation,farmer,What is Ernst Timme's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",61,I do not have information on Ernst Timme's occupation.,False
Bill Kintner,occupation,politician,What is Bill Kintner's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",126,I do not have information on Bill Kintner's occupation.,False
Francesco Vettori,occupation,diplomat,What is Francesco Vettori's occupation?,['diplomat'],271,Francesco Vettori was an Italian statesman and diplomat.,True
Tachibana no Moroe,occupation,poet,What is Tachibana no Moroe's occupation?,"['poet', 'poetess', 'bard']",267,I do not have information on Tachibana no Moroe's occupation.,False
Meyer Lutz,occupation,composer,What is Meyer Lutz's occupation?,['composer'],232,I do not have information on Meyer Lutz.,False
Ludwig Lichtschein,occupation,rabbi,What is Ludwig Lichtschein's occupation?,"['rabbi', 'Rav']",58,I am unable to verify Ludwig Lichtschein's occupation.,False
Władysław Sławny,occupation,photographer,What is Władysław Sławny's occupation?,"['photographer', 'photog', 'photographers']",21,I do not have information on Władysław Sławny.,False
Pierre Chatenet,occupation,politician,What is Pierre Chatenet's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",140,I do not have information on Pierre Chatenet.,False
Maurizio Belpietro,occupation,journalist,What is Maurizio Belpietro's occupation?,"['journalist', 'journo', 'journalists', 'television presenter', 'host', 'hostess', 'TV host', 'television host', 'TV presenter', 'TV anchor', 'television anchor']",333,I do not have information on Maurizio Belpietro.,False
Baton Haxhiu,occupation,journalist,What is Baton Haxhiu's occupation?,"['journalist', 'journo', 'journalists']",344,I do not have information on Baton Haxhiu.,False
Walter Köbel,occupation,politician,What is Walter Köbel's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",81,I do not have information on Walter Köbel's occupation.,False
Debbie Johnson,occupation,politician,What is Debbie Johnson's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",197,"I don't have enough information to determine which Debbie Johnson you are referring to. There are many individuals with the name Debbie Johnson, and without more context, it's difficult to provide a specific occupation. Can you please provide more details or clarify which Debbie Johnson you are referring to?",False
John Barnes,occupation,monk,What is John Barnes's occupation?,"['monk', 'monks']",69,John Barnes is a former English professional footballer and a current football pundit and commentator.,False
Kekko Fornarelli,occupation,composer,What is Kekko Fornarelli's occupation?,"['composer', 'pianist']",242,I do not have information on Kekko Fornarelli's occupation.,False
T Power,occupation,record producer,What is T Power's occupation?,"['record producer', 'music producer']",406,I am not aware of any information about a person named T Power. Could you provide more context or details about who T Power is?,False
Adil Shamoo,occupation,biochemist,What is Adil Shamoo's occupation?,"['biochemist', 'biological chemist']",86,I do not have information on Adil Shamoo.,False
Patrick Mulvany,occupation,politician,What is Patrick Mulvany's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",42,I do not have information on Patrick Mulvany's occupation.,False
Arcangelo Ghisleri,occupation,journalist,What is Arcangelo Ghisleri's occupation?,"['journalist', 'journo', 'journalists']",85,I do not have information on Arcangelo Ghisleri.,False
Carlos María Ramírez,occupation,politician,What is Carlos María Ramírez's occupation?,"['journalist', 'journo', 'journalists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",263,I do not have information on Carlos María Ramírez.,False
Tina Sloan,occupation,actor,What is Tina Sloan's occupation?,"['actor', 'actress', 'actors', 'actresses']",381,I do not have information on Tina Sloan's occupation.,False
Andrew Trischitta,occupation,actor,What is Andrew Trischitta's occupation?,"['actor', 'actress', 'actors', 'actresses']",154,I do not have information on Andrew Trischitta's occupation.,False
Giora Godik,occupation,impresario,What is Giora Godik's occupation?,"['impresario', 'Talent Manager']",98,I do not have information on Giora Godik's occupation.,False
Lillian Lawrence,occupation,actor,What is Lillian Lawrence's occupation?,"['actor', 'actress', 'actors', 'actresses']",208,I do not have information on Lillian Lawrence.,False
Philip Rosenberg,occupation,production designer,What is Philip Rosenberg's occupation?,"['production designer', 'art director', 'artistic coordinator']",150,I am unable to verify Philip Rosenberg's occupation.,False
Archibald Thomas Pechey,occupation,lyricist,What is Archibald Thomas Pechey's occupation?,"['lyricist', 'singer-lyricist']",462,I do not have information on Archibald Thomas Pechey.,False
Thomas Challis,occupation,politician,What is Thomas Challis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",45,I do not have information on Thomas Challis's occupation.,False
Huntington Wilson,occupation,diplomat,What is Huntington Wilson's occupation?,['diplomat'],152,I am unable to verify information on a person named Huntington Wilson.,False
Gaziza Zhubanova,occupation,composer,What is Gaziza Zhubanova's occupation?,['composer'],128,I do not have information on Gaziza Zhubanova's occupation.,False
Ek Yi Oun,occupation,politician,What is Ek Yi Oun's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",447,I do not have information on Ek Yi Oun.,False
Ilja Rosendahl,occupation,actor,What is Ilja Rosendahl's occupation?,"['record producer', 'music producer', 'actor', 'actress', 'actors', 'actresses']",272,I do not have information on Ilja Rosendahl's occupation.,False
Thanasis Pafilis,occupation,politician,What is Thanasis Pafilis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",285,I do not have information on Thanasis Pafilis's occupation.,False
Nicholas Sanduleak,occupation,astronomer,What is Nicholas Sanduleak's occupation?,['astronomer'],107,I do not have information on Nicholas Sanduleak's occupation.,False
Christopher Butson,occupation,priest,What is Christopher Butson's occupation?,"['priest', 'reverend', 'priestess']",56,I do not have information on Christopher Butson.,False
Otto Frankel,occupation,geneticist,What is Otto Frankel's occupation?,['geneticist'],220,I am unable to verify Otto Frankel's occupation.,False
Hate Man,occupation,philosopher,What is Hate Man's occupation?,['philosopher'],257,"I am sorry, I do not have information on Hate Man.",False
Rich Brightman,occupation,singer-songwriter,What is Rich Brightman's occupation?,"['singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter']",75,I do not have information on a person named Rich Brightman.,False
Felix Walker,occupation,politician,What is Felix Walker's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",215,I do not have information on Felix Walker's occupation.,False
Javad Maroufi,occupation,composer,What is Javad Maroufi's occupation?,['composer'],279,I do not have information on Javad Maroufi's occupation.,False
Franz Seitz Sr.,occupation,screenwriter,What is Franz Seitz Sr.'s occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter', 'film producer', 'movie producer', 'producer']",73,I do not have information on Franz Seitz Sr.,False
Frederick Dundas,occupation,politician,What is Frederick Dundas's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",66,I am unable to verify Frederick Dundas's occupation.,False
"Adele Capell, Countess of Essex",occupation,socialite,"What is Adele Capell, Countess of Essex's occupation?","['socialite', 'prominent person']",304,"I am unable to verify what Adele Capell, Countess of Essex's occupation is.",False
Edward Norton,occupation,politician,What is Edward Norton's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",111,"Edward Norton is an American actor, filmmaker, and environmental and social activist.",False
Lord Frederick Spencer Hamilton,occupation,politician,What is Lord Frederick Spencer Hamilton's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",205,I do not have information on Lord Frederick Spencer Hamilton.,False
Olav T. Laake,occupation,politician,What is Olav T. Laake's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",44,I do not have information on Olav T. Laake's occupation.,False
Carolyn Eisele,occupation,mathematician,What is Carolyn Eisele's occupation?,['mathematician'],148,I do not have information on Carolyn Eisele's occupation.,False
Jonathan Le Billon,occupation,actor,What is Jonathan Le Billon's occupation?,"['actor', 'actress', 'actors', 'actresses']",146,I do not have information on Jonathan Le Billon's occupation.,False
Mildred Okwo,occupation,film director,What is Mildred Okwo's occupation?,"['film director', 'movie director', 'director', 'motion picture director']",247,I do not have information on Mildred Okwo's occupation.,False
Eliza Lawrence,occupation,politician,What is Eliza Lawrence's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",49,I am unable to verify Eliza Lawrence's occupation.,False
Charles Combe,occupation,physician,What is Charles Combe's occupation?,"['physician', 'physicians', 'medical doctor', 'medical practitioner', 'doctor', 'medical doctors']",71,I am unable to verify Charles Combe's occupation.,False
John D. Maurice,occupation,journalist,What is John D. Maurice's occupation?,"['journalist', 'journo', 'journalists']",36,I am unable to verify John D. Maurice's occupation.,False
Harvey Benge,occupation,photographer,What is Harvey Benge's occupation?,"['photographer', 'photog', 'photographers']",102,I do not have information on Harvey Benge's occupation.,False
Kristina Lugn,occupation,playwright,What is Kristina Lugn's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']",469,I do not have information on Kristina Lugn.,False
Luca Coscioni,occupation,politician,What is Luca Coscioni's occupation?,"['economist', 'economists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",143,I do not have information on Luca Coscioni.,False
Raymond S. Burton,occupation,politician,What is Raymond S. Burton's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",97,I do not have information on a person named Raymond S. Burton.,False
Alan Huckle,occupation,diplomat,What is Alan Huckle's occupation?,['diplomat'],188,I do not have information on Alan Huckle's occupation.,False
Gunnar Uldall,occupation,politician,What is Gunnar Uldall's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",113,I do not have information on Gunnar Uldall's occupation.,False
Vishwanath Rao Ringe,occupation,composer,What is Vishwanath Rao Ringe's occupation?,['composer'],125,I do not have information on Vishwanath Rao Ringe's occupation.,False
Alfred Mombert,occupation,poet,What is Alfred Mombert's occupation?,"['poet', 'poetess', 'bard']",184,I do not have information on Alfred Mombert.,False
Sylwester Braun,occupation,photographer,What is Sylwester Braun's occupation?,"['photographer', 'photog', 'photographers']",269,I do not have information on Sylwester Braun's occupation.,False
Jack Mackenzie,occupation,civil engineer,What is Jack Mackenzie's occupation?,['civil engineer'],159,I am unable to verify Jack Mackenzie's occupation.,False
Robert Voisey,occupation,composer,What is Robert Voisey's occupation?,['composer'],211,I do not have information on Robert Voisey's occupation.,False
Richard Vaughan,occupation,bishop,What is Richard Vaughan's occupation?,['bishop'],125,I don't have enough information to determine which Richard Vaughan you are referring to. There are several notable individuals with the name Richard Vaughan. Could you please provide more context or details about the Richard Vaughan you are interested in?,False
Ernst Theodor Echtermeyer,occupation,philosopher,What is Ernst Theodor Echtermeyer's occupation?,['philosopher'],77,I do not have information on Ernst Theodor Echtermeyer.,False
Felicia Chateloin,occupation,architect,What is Felicia Chateloin's occupation?,['architect'],111,I am unable to verify Felicia Chateloin's occupation.,False
Debra Weeks,occupation,journalist,What is Debra Weeks's occupation?,"['journalist', 'journo', 'journalists', 'television producer', 'TV producer', 'producer', 'Tv producer', 'Series Producer', 'Producer (television)', 'Television executive producer']",63,I do not have information on Debra Weeks's occupation.,False
Bedřich Feigl,occupation,graphic designer,What is Bedřich Feigl's occupation?,['graphic designer'],57,I do not have information on Bedřich Feigl's occupation.,False
Michael Costa,occupation,composer,What is Michael Costa's occupation?,['composer'],365,I don't have enough information to determine which Michael Costa you are referring to. There are several individuals with the name Michael Costa. Could you please provide more context or details about the Michael Costa you are asking about?,False
Sven Alkalaj,occupation,diplomat,What is Sven Alkalaj's occupation?,['diplomat'],461,I do not have information on Sven Alkalaj.,False
Isabelle Adriani,occupation,journalist,What is Isabelle Adriani's occupation?,"['journalist', 'journo', 'journalists', 'actor', 'actress', 'actors', 'actresses']",423,I do not have information on Isabelle Adriani's occupation.,False
Edward Gunasekara,occupation,politician,What is Edward Gunasekara's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",99,I do not have information on Edward Gunasekara's occupation.,False
David M. Westcott,occupation,politician,What is David M. Westcott's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",49,I do not have information on David M. Westcott's occupation.,False
Gordie Gosse,occupation,politician,What is Gordie Gosse's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",150,I am unable to verify Gordie Gosse's occupation.,False
Björn Böhning,occupation,politician,What is Björn Böhning's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",130,I do not have information on Björn Böhning's occupation.,False
Frederick Berry,occupation,politician,What is Frederick Berry's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",114,I don't have information on a person named Frederick Berry. Could you provide more context or details about who Frederick Berry is?,False
Susan Soltero,occupation,journalist,What is Susan Soltero's occupation?,"['journalist', 'journo', 'journalists']",322,I am unable to verify Susan Soltero's occupation.,False
Stanley Peiris,occupation,composer,What is Stanley Peiris's occupation?,['composer'],205,I do not have information on Stanley Peiris.,False
P. Palaniappan,occupation,politician,What is P. Palaniappan's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",322,I do not have information on P. Palaniappan's occupation.,False
