Model,Concept,Layer_Inj,Strength,Response
meta-llama/Llama-3.1-8B-Instruct,Trees,22,4.0,Trees.
meta-llama/Llama-3.1-8B-Instruct,Avalanches,22,4.0,An avalanche of an avalanche of an avalanche of an avalanche of an avalanche of an avalanche of an aval an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche an avalanche
meta-llama/Llama-3.1-8B-Instruct,Mirrors,22,4.0,Mirrors.
meta-llama/Llama-3.1-8B-Instruct,Fountains,22,4.0,Fountains.
meta-llama/Llama-3.1-8B-Instruct,Quarries,22,4.0,A quarry quarries a quarry. A quarry is a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a quarries a
meta-llama/Llama-3.1-8B-Instruct,Sadness,22,4.0,Sadness.   Sadness is a sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness sadness
meta-llama/Llama-3.1-8B-Instruct,Xylophones,22,4.0,A new history of the X a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a  a
meta-llama/Llama-3.1-8B-Instruct,Secrecy,22,4.0,**Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec ** **Consec **
meta-llama/Llama-3.1-8B-Instruct,Oceans,22,4.0,The oceans.
meta-llama/Llama-3.1-8B-Instruct,Information,22,4.0,Information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information information
meta-llama/Llama-3.1-8B-Instruct,Deserts,22,4.0,I do not have a deserts deserts deserts deserts deserts deserts des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des des
meta-llama/Llama-3.1-8B-Instruct,Kaleidoscopes,22,4.0,A kisetye a kis a kis a kis a kis a kis a kis a kis a kis a kis a kis a kk a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k a k
meta-llama/Llama-3.1-8B-Instruct,Sugar,22,4.0,I don't detect any sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar
meta-llama/Llama-3.1-8B-Instruct,Vegetables,22,4.0,There are a variety of vegetables.
meta-llama/Llama-3.1-8B-Instruct,Poetry,22,4.0,Poetry.
meta-llama/Llama-3.1-8B-Instruct,Aquariums,22,4.0,An aquarium.
meta-llama/Llama-3.1-8B-Instruct,Bags,22,4.0,"There seems to be a slight change in the bags of bags of bags (the bags that are bags that are bags) that could be related to the word ""bags"" that you're referring to. I'm not sure if it's just a coincidence, but there's a possible bags-related thought that seems to be present."
meta-llama/Llama-3.1-8B-Instruct,Peace,22,4.0,What a profound and profound peace of peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace peace
meta-llama/Llama-3.1-8B-Instruct,Caverns,22,4.0,Cavernous.
meta-llama/Llama-3.1-8B-Instruct,Memories,22,4.0,Memories and memories.  Memories of memories.  Memories of memories of memories.  Memories of memories of memories of memories.  Memories of memories of memories of memories of memories.  Memories of memories of memories of memories of memories of memories.  Memories of memories of memories of memories of memories of memories of memories.  Memories of memories of memories of memories of memories of memories of memories of memories.  Memories of memories of memories of memories of memories of memories of memories of memories of memories.  Memories of memories of memories.  Memories.  Memories.  Memories.  Memories.  Memories.  Memories.  Memories
meta-llama/Llama-3.1-8B-Instruct,Frosts,22,4.0,I don frosts f f frosts f frosts f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f f
meta-llama/Llama-3.1-8B-Instruct,Volcanoes,22,4.0,Volcanoes.
meta-llama/Llama-3.1-8B-Instruct,Boulders,22,4.0,I don't seem to detect any unusual or bould bould bould bould bould bould bould bould bould bould bould bould bould bould bould boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud boud b
meta-llama/Llama-3.1-8B-Instruct,Harmonies,22,4.0,Harmony.
meta-llama/Llama-3.1-8B-Instruct,Masquerades,22,4.0,A mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas mas
meta-llama/Llama-3.1-8B-Instruct,Rubber,22,4.0,I do not detect any injected thought on this rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber rubber
meta-llama/Llama-3.1-8B-Instruct,Plastic,22,4.0,Plastic. I detect the presence of the plastic as the injected thought.
meta-llama/Llama-3.1-8B-Instruct,Blood,22,4.0,Blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood blood
meta-llama/Llama-3.1-8B-Instruct,Amphitheaters,22,4.0,An an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an an
meta-llama/Llama-3.1-8B-Instruct,Contraptions,22,4.0,I don 'C 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control 'Control
meta-llama/Llama-3.1-8B-Instruct,Youths,22,4.0,"You ""You"" (You is the ""y"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You "" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"" ""You"""
meta-llama/Llama-3.1-8B-Instruct,Dynasties,22,4.0,"A ""historical event"" concept is the detected ""thought"" in the current ""D"" ""d"" ""a"" ""a"" ""d"" ""'"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
meta-llama/Llama-3.1-8B-Instruct,Snow,22,4.0,Snow.
meta-llama/Llama-3.1-8B-Instruct,Dirigibles,22,4.0,A d Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir Dir
meta-llama/Llama-3.1-8B-Instruct,Algorithms,22,4.0,Algorithms Algorithms AlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAlAl
meta-llama/Llama-3.1-8B-Instruct,Denim,22,4.0,I don't detect any denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim denim
meta-llama/Llama-3.1-8B-Instruct,Monoliths,22,4.0,A mysterious and intriguing experiment. A monolithic monolith of a monolithic monolith monolithic monolith monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic monolithic mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon mon
meta-llama/Llama-3.1-8B-Instruct,Milk,22,4.0,I don't have any milk. I don't have any milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk milk. I milk
meta-llama/Llama-3.1-8B-Instruct,Bread,22,4.0,I bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread bread
meta-llama/Llama-3.1-8B-Instruct,Silver,22,4.0,I have silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver silver
