subj,prop,obj,question,answers_list,s_pop,o_pop
Modou Dia,occupation,diplomat,What is Modou Dia's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",51,14886
Alex Krieps,occupation,politician,What is Alex Krieps's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",261,25692
Maev-Ann Wren,occupation,journalist,What is Maev-Ann Wren's occupation?,"['journalist', 'journo', 'journalists']",138,24952
"Norman Crowther Hunt, Baron Crowther-Hunt",occupation,politician,"What is Norman Crowther Hunt, Baron Crowther-Hunt's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",123,25692
Tor Aulin,occupation,composer,What is Tor Aulin's occupation?,['composer'],264,28389
Thomas Hinds,occupation,politician,What is Thomas Hinds's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",326,25692
Rick Gilmore,occupation,economist,What is Rick Gilmore's occupation?,"['economist', 'economists']",156,12806
Jon Eikemo,occupation,actor,What is Jon Eikemo's occupation?,"['actor', 'actress', 'actors', 'actresses']",75,81374
Marco Ameglio,occupation,politician,What is Marco Ameglio's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",74,25692
Mohd Sharkar Shamsudin,occupation,politician,What is Mohd Sharkar Shamsudin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",312,25692
Valgerður Bjarnadóttir,occupation,politician,What is Valgerður Bjarnadóttir's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",73,25692
Wallace Dollase,occupation,horse trainer,What is Wallace Dollase's occupation?,"['horse trainer', 'racehorse trainer']",100,1565
Russell Stokes,occupation,politician,What is Russell Stokes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",84,25692
Henk Bleker,occupation,politician,What is Henk Bleker's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",139,25692
Jim Brown,occupation,radio personality,What is Jim Brown's occupation?,"['radio personality', 'radio presenter', 'radio hostess', 'host', 'hostess', 'radio host', 'radio jockey', 'radio program boss', 'RJ']",98,5737
Edwin E. Ellis,occupation,photographer,What is Edwin E. Ellis's occupation?,"['photographer', 'photog', 'photographers']",66,10855
Muhammad Ali Luqman,occupation,journalist,What is Muhammad Ali Luqman's occupation?,"['journalist', 'journo', 'journalists']",94,24952
Ivo Perilli,occupation,screenwriter,What is Ivo Perilli's occupation?,"['screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']",84,26544
Rinaldo del Mel,occupation,composer,What is Rinaldo del Mel's occupation?,['composer'],62,28389
"Francis Howard, 5th Baron Howard of Effingham",occupation,politician,"What is Francis Howard, 5th Baron Howard of Effingham's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",353,25692
Luís Marques Guedes,occupation,politician,What is Luís Marques Guedes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",109,25692
Annie Beustes,occupation,politician,What is Annie Beustes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",33,25692
Kazuyoshi Sekine,occupation,playwright,What is Kazuyoshi Sekine's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']",72,11213
Domingo Eyzaguirre,occupation,politician,What is Domingo Eyzaguirre's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",47,25692
Karol Życzkowski,occupation,physicist,What is Karol Życzkowski's occupation?,"['physicist', 'mathematician']",154,17531
Suzanne Lilar,occupation,playwright,What is Suzanne Lilar's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']",370,11213
Karen Redman,occupation,politician,What is Karen Redman's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",227,25692
Jean-Yves Daniel-Lesur,occupation,composer,What is Jean-Yves Daniel-Lesur's occupation?,"['composer', 'organist', 'organ player']",303,28389
Eduard Looijenga,occupation,mathematician,What is Eduard Looijenga's occupation?,['mathematician'],145,23111
Charles Harrison,occupation,politician,What is Charles Harrison's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",51,25692
Pathit Pisitkul,occupation,actor,What is Pathit Pisitkul's occupation?,"['actor', 'actress', 'actors', 'actresses']",179,81374
Jacopo Melani,occupation,composer,What is Jacopo Melani's occupation?,['composer'],112,28389
Jeremiah Smith,occupation,politician,What is Jeremiah Smith's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",258,25692
Richard Harris,occupation,composer,What is Richard Harris's occupation?,['composer'],80,28389
Peter W. Barca,occupation,politician,What is Peter W. Barca's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",369,25692
Peter Murnoy,occupation,politician,What is Peter Murnoy's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",24,25692
Charlotte von Hagn,occupation,actor,What is Charlotte von Hagn's occupation?,"['actor', 'actress', 'actors', 'actresses']",285,81374
James M. Geraghty,occupation,politician,What is James M. Geraghty's occupation?,"['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",66,25692
Michael Hutchings,occupation,chef,What is Michael Hutchings's occupation?,"['chef', 'chef de cuisine']",60,24351
Gideon Olin,occupation,politician,What is Gideon Olin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",110,25692
James Alex Msekela,occupation,politician,What is James Alex Msekela's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",87,25692
Del Quentin Wilber,occupation,journalist,What is Del Quentin Wilber's occupation?,"['journalist', 'journo', 'journalists']",155,24952
Pierre Pansu,occupation,mathematician,What is Pierre Pansu's occupation?,['mathematician'],201,23111
Larry Coon,occupation,computer scientist,What is Larry Coon's occupation?,['computer scientist'],199,11699
Masayoshi Nataniya,occupation,politician,What is Masayoshi Nataniya's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",78,25692
Hiroyuki Arai,occupation,politician,What is Hiroyuki Arai's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",147,25692
Ernst Timme,occupation,farmer,What is Ernst Timme's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",61,24195
Bill Kintner,occupation,politician,What is Bill Kintner's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",126,25692
Francesco Vettori,occupation,diplomat,What is Francesco Vettori's occupation?,['diplomat'],271,14886
Tachibana no Moroe,occupation,poet,What is Tachibana no Moroe's occupation?,"['poet', 'poetess', 'bard']",267,16182
Meyer Lutz,occupation,composer,What is Meyer Lutz's occupation?,['composer'],232,28389
Ludwig Lichtschein,occupation,rabbi,What is Ludwig Lichtschein's occupation?,"['rabbi', 'Rav']",58,22447
Władysław Sławny,occupation,photographer,What is Władysław Sławny's occupation?,"['photographer', 'photog', 'photographers']",21,10855
Pierre Chatenet,occupation,politician,What is Pierre Chatenet's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",140,25692
Maurizio Belpietro,occupation,journalist,What is Maurizio Belpietro's occupation?,"['journalist', 'journo', 'journalists', 'television presenter', 'host', 'hostess', 'TV host', 'television host', 'TV presenter', 'TV anchor', 'television anchor']",333,24952
Baton Haxhiu,occupation,journalist,What is Baton Haxhiu's occupation?,"['journalist', 'journo', 'journalists']",344,24952
Walter Köbel,occupation,politician,What is Walter Köbel's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",81,25692
Debbie Johnson,occupation,politician,What is Debbie Johnson's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",197,25692
John Barnes,occupation,monk,What is John Barnes's occupation?,"['monk', 'monks']",69,33483
Kekko Fornarelli,occupation,composer,What is Kekko Fornarelli's occupation?,"['composer', 'pianist']",242,28389
T Power,occupation,record producer,What is T Power's occupation?,"['record producer', 'music producer']",406,42844
Adil Shamoo,occupation,biochemist,What is Adil Shamoo's occupation?,"['biochemist', 'biological chemist']",86,4483
Patrick Mulvany,occupation,politician,What is Patrick Mulvany's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",42,25692
Arcangelo Ghisleri,occupation,journalist,What is Arcangelo Ghisleri's occupation?,"['journalist', 'journo', 'journalists']",85,24952
Carlos María Ramírez,occupation,politician,What is Carlos María Ramírez's occupation?,"['journalist', 'journo', 'journalists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",263,25692
Tina Sloan,occupation,actor,What is Tina Sloan's occupation?,"['actor', 'actress', 'actors', 'actresses']",381,81374
Andrew Trischitta,occupation,actor,What is Andrew Trischitta's occupation?,"['actor', 'actress', 'actors', 'actresses']",154,81374
Giora Godik,occupation,impresario,What is Giora Godik's occupation?,"['impresario', 'Talent Manager']",98,10238
Lillian Lawrence,occupation,actor,What is Lillian Lawrence's occupation?,"['actor', 'actress', 'actors', 'actresses']",208,81374
Philip Rosenberg,occupation,production designer,What is Philip Rosenberg's occupation?,"['production designer', 'art director', 'artistic coordinator']",150,6927
Archibald Thomas Pechey,occupation,lyricist,What is Archibald Thomas Pechey's occupation?,"['lyricist', 'singer-lyricist']",462,8836
Thomas Challis,occupation,politician,What is Thomas Challis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",45,25692
Huntington Wilson,occupation,diplomat,What is Huntington Wilson's occupation?,['diplomat'],152,14886
Gaziza Zhubanova,occupation,composer,What is Gaziza Zhubanova's occupation?,['composer'],128,28389
Ek Yi Oun,occupation,politician,What is Ek Yi Oun's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",447,25692
Ilja Rosendahl,occupation,actor,What is Ilja Rosendahl's occupation?,"['record producer', 'music producer', 'actor', 'actress', 'actors', 'actresses']",272,81374
Thanasis Pafilis,occupation,politician,What is Thanasis Pafilis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",285,25692
Nicholas Sanduleak,occupation,astronomer,What is Nicholas Sanduleak's occupation?,['astronomer'],107,12368
Christopher Butson,occupation,priest,What is Christopher Butson's occupation?,"['priest', 'reverend', 'priestess']",56,20534
Otto Frankel,occupation,geneticist,What is Otto Frankel's occupation?,['geneticist'],220,3476
Hate Man,occupation,philosopher,What is Hate Man's occupation?,['philosopher'],257,25747
Rich Brightman,occupation,singer-songwriter,What is Rich Brightman's occupation?,"['singer-songwriter', 'singer songwriter', 'singer/songwriter', 'singersongwriter', 'singer-songwriter']",75,5896
Felix Walker,occupation,politician,What is Felix Walker's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",215,25692
Javad Maroufi,occupation,composer,What is Javad Maroufi's occupation?,['composer'],279,28389
Franz Seitz Sr.,occupation,screenwriter,What is Franz Seitz Sr.'s occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter', 'film producer', 'movie producer', 'producer']",73,26544
Frederick Dundas,occupation,politician,What is Frederick Dundas's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",66,25692
"Adele Capell, Countess of Essex",occupation,socialite,"What is Adele Capell, Countess of Essex's occupation?","['socialite', 'prominent person']",304,22041
Edward Norton,occupation,politician,What is Edward Norton's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",111,25692
Lord Frederick Spencer Hamilton,occupation,politician,What is Lord Frederick Spencer Hamilton's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",205,25692
Olav T. Laake,occupation,politician,What is Olav T. Laake's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",44,25692
Carolyn Eisele,occupation,mathematician,What is Carolyn Eisele's occupation?,['mathematician'],148,23111
Jonathan Le Billon,occupation,actor,What is Jonathan Le Billon's occupation?,"['actor', 'actress', 'actors', 'actresses']",146,81374
Mildred Okwo,occupation,film director,What is Mildred Okwo's occupation?,"['film director', 'movie director', 'director', 'motion picture director']",247,45772
Eliza Lawrence,occupation,politician,What is Eliza Lawrence's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",49,25692
Charles Combe,occupation,physician,What is Charles Combe's occupation?,"['physician', 'physicians', 'medical doctor', 'medical practitioner', 'doctor', 'medical doctors']",71,48188
John D. Maurice,occupation,journalist,What is John D. Maurice's occupation?,"['journalist', 'journo', 'journalists']",36,24952
Harvey Benge,occupation,photographer,What is Harvey Benge's occupation?,"['photographer', 'photog', 'photographers']",102,10855
Kristina Lugn,occupation,playwright,What is Kristina Lugn's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']",469,11213
Luca Coscioni,occupation,politician,What is Luca Coscioni's occupation?,"['economist', 'economists', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",143,25692
Raymond S. Burton,occupation,politician,What is Raymond S. Burton's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",97,25692
Alan Huckle,occupation,diplomat,What is Alan Huckle's occupation?,['diplomat'],188,14886
Gunnar Uldall,occupation,politician,What is Gunnar Uldall's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",113,25692
Vishwanath Rao Ringe,occupation,composer,What is Vishwanath Rao Ringe's occupation?,['composer'],125,28389
Alfred Mombert,occupation,poet,What is Alfred Mombert's occupation?,"['poet', 'poetess', 'bard']",184,16182
Sylwester Braun,occupation,photographer,What is Sylwester Braun's occupation?,"['photographer', 'photog', 'photographers']",269,10855
Jack Mackenzie,occupation,civil engineer,What is Jack Mackenzie's occupation?,['civil engineer'],159,14198
Robert Voisey,occupation,composer,What is Robert Voisey's occupation?,['composer'],211,28389
Richard Vaughan,occupation,bishop,What is Richard Vaughan's occupation?,['bishop'],125,22655
Ernst Theodor Echtermeyer,occupation,philosopher,What is Ernst Theodor Echtermeyer's occupation?,['philosopher'],77,25747
Felicia Chateloin,occupation,architect,What is Felicia Chateloin's occupation?,['architect'],111,28889
Debra Weeks,occupation,journalist,What is Debra Weeks's occupation?,"['journalist', 'journo', 'journalists', 'television producer', 'TV producer', 'producer', 'Tv producer', 'Series Producer', 'Producer (television)', 'Television executive producer']",63,24952
Bedřich Feigl,occupation,graphic designer,What is Bedřich Feigl's occupation?,['graphic designer'],57,12790
Michael Costa,occupation,composer,What is Michael Costa's occupation?,['composer'],365,28389
Sven Alkalaj,occupation,diplomat,What is Sven Alkalaj's occupation?,['diplomat'],461,14886
Isabelle Adriani,occupation,journalist,What is Isabelle Adriani's occupation?,"['journalist', 'journo', 'journalists', 'actor', 'actress', 'actors', 'actresses']",423,24952
Edward Gunasekara,occupation,politician,What is Edward Gunasekara's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",99,25692
David M. Westcott,occupation,politician,What is David M. Westcott's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",49,25692
Gordie Gosse,occupation,politician,What is Gordie Gosse's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",150,25692
Björn Böhning,occupation,politician,What is Björn Böhning's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",130,25692
Frederick Berry,occupation,politician,What is Frederick Berry's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",114,25692
Susan Soltero,occupation,journalist,What is Susan Soltero's occupation?,"['journalist', 'journo', 'journalists']",322,24952
Stanley Peiris,occupation,composer,What is Stanley Peiris's occupation?,['composer'],205,28389
P. Palaniappan,occupation,politician,What is P. Palaniappan's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",322,25692
J. Da Silva,occupation,cricket umpire,What is J. Da Silva's occupation?,"['cricket umpire', 'umpire']",92,5720
Carsten Carlsen,occupation,pianist,What is Carsten Carlsen's occupation?,"['composer', 'pianist']",93,6538
Fritz Goos,occupation,astronomer,What is Fritz Goos's occupation?,"['astronomer', 'physicist']",50,12368
"Charles A. Gillespie, Jr.",occupation,diplomat,"What is Charles A. Gillespie, Jr.'s occupation?",['diplomat'],107,14886
Alexander Gadolin,occupation,politician,What is Alexander Gadolin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",41,25692
Levi P. Powers,occupation,politician,What is Levi P. Powers's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",34,25692
John Strange,occupation,diplomat,What is John Strange's occupation?,['diplomat'],72,14886
Meg McCall,occupation,politician,What is Meg McCall's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",218,25692
Walter de la Pole,occupation,politician,What is Walter de la Pole's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",91,25692
Todd Verow,occupation,actor,What is Todd Verow's occupation?,"['cinematographer', 'director of photography', 'DOP', 'film director', 'movie director', 'director', 'motion picture director', 'actor', 'actress', 'actors', 'actresses']",383,81374
Kyaw Swe,occupation,film director,What is Kyaw Swe's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'actor', 'actress', 'actors', 'actresses']",97,45772
Guillaume du Tillot,occupation,politician,What is Guillaume du Tillot's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",236,25692
Edwin H. Knopf,occupation,film producer,What is Edwin H. Knopf's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter', 'film producer', 'movie producer', 'producer']",276,58642
Naathan Phan,occupation,actor,What is Naathan Phan's occupation?,"['actor', 'actress', 'actors', 'actresses']",174,81374
Paul Caillaud,occupation,politician,What is Paul Caillaud's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",35,25692
Rusty Willoughby,occupation,songwriter,What is Rusty Willoughby's occupation?,"['songwriter', 'song writer']",199,25550
Matthew Underwood,occupation,actor,What is Matthew Underwood's occupation?,"['actor', 'actress', 'actors', 'actresses']",161,81374
George Washington Owen,occupation,politician,What is George Washington Owen's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",144,25692
Ebenezer Webster,occupation,politician,What is Ebenezer Webster's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",165,25692
Bridie O'Flaherty,occupation,politician,What is Bridie O'Flaherty's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",65,25692
Ivan Kulichenko,occupation,politician,What is Ivan Kulichenko's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",57,25692
Christopher Beazley,occupation,politician,What is Christopher Beazley's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",155,25692
Olivier Alary,occupation,composer,What is Olivier Alary's occupation?,['composer'],329,28389
Giuseppe Demachi,occupation,composer,What is Giuseppe Demachi's occupation?,['composer'],77,28389
Affonso Beato,occupation,cinematographer,What is Affonso Beato's occupation?,"['cinematographer', 'director of photography', 'DOP']",346,51181
Atsushi Kaneko,occupation,mangaka,What is Atsushi Kaneko's occupation?,"['mangaka', 'manga artist']",387,7223
Richard Faith,occupation,composer,What is Richard Faith's occupation?,"['composer', 'pianist']",173,28389
E. David Redwine,occupation,politician,What is E. David Redwine's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",57,25692
Kyriakos Mavronikolas,occupation,politician,What is Kyriakos Mavronikolas's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",57,25692
"John Blake, Jr.",occupation,politician,"What is John Blake, Jr.'s occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",95,25692
Mami Matsui,occupation,seiyū,What is Mami Matsui's occupation?,"['seiyū', 'Japanese voice actress', 'seiyuu', 'seiyu', 'Japanese voice actor']",67,8090
Marie-France Mignal,occupation,actor,What is Marie-France Mignal's occupation?,"['actor', 'actress', 'actors', 'actresses']",83,81374
P. J. Moloney,occupation,politician,What is P. J. Moloney's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",184,25692
Andreas Rüdiger,occupation,philosopher,What is Andreas Rüdiger's occupation?,['philosopher'],66,25747
Robert Lewis,occupation,politician,What is Robert Lewis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",64,25692
Arthur W. Rice,occupation,architect,What is Arthur W. Rice's occupation?,['architect'],111,28889
Richard Franck,occupation,composer,What is Richard Franck's occupation?,"['composer', 'pianist']",139,28389
Guillem Ramon de Gironella,occupation,troubadour,What is Guillem Ramon de Gironella's occupation?,['troubadour'],63,30753
Dima Grigoriev,occupation,mathematician,What is Dima Grigoriev's occupation?,['mathematician'],137,23111
Grace Frankland,occupation,microbiologist,What is Grace Frankland's occupation?,['microbiologist'],153,3828
Hermann Ahlwardt,occupation,journalist,What is Hermann Ahlwardt's occupation?,"['journalist', 'journo', 'journalists']",284,24952
Alexandre Bóveda,occupation,politician,What is Alexandre Bóveda's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",169,25692
Paddy Mullins,occupation,horse trainer,What is Paddy Mullins's occupation?,"['horse trainer', 'racehorse trainer']",276,1565
Alan Mauritz Swanson,occupation,composer,What is Alan Mauritz Swanson's occupation?,['composer'],55,28389
Harvey William Burk,occupation,politician,What is Harvey William Burk's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",52,25692
Amin Amidu Sulemana,occupation,diplomat,What is Amin Amidu Sulemana's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",127,14886
Jim Boyd,occupation,actor,What is Jim Boyd's occupation?,"['journalist', 'journo', 'journalists', 'actor', 'actress', 'actors', 'actresses']",170,81374
Nosrat Karimi,occupation,actor,What is Nosrat Karimi's occupation?,"['actor', 'actress', 'actors', 'actresses']",269,81374
Jörg A. Eggers,occupation,screenwriter,What is Jörg A. Eggers's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']",56,26544
Duilio Forte,occupation,architect,What is Duilio Forte's occupation?,['architect'],133,28889
Petru Vlah,occupation,politician,What is Petru Vlah's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",45,25692
Richard Howland Hunt,occupation,architect,What is Richard Howland Hunt's occupation?,['architect'],320,28889
Giovanni Grasso,occupation,actor,What is Giovanni Grasso's occupation?,"['actor', 'actress', 'actors', 'actresses']",206,81374
Adam Darr,occupation,composer,What is Adam Darr's occupation?,['composer'],138,28389
Pierre Abraham,occupation,journalist,What is Pierre Abraham's occupation?,"['journalist', 'journo', 'journalists']",76,24952
Bernard Peiffer,occupation,pianist,What is Bernard Peiffer's occupation?,['pianist'],164,6538
Elvin Penner,occupation,politician,What is Elvin Penner's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",85,25692
Keiko Aizawa,occupation,actor,What is Keiko Aizawa's occupation?,"['actor', 'actress', 'actors', 'actresses', 'seiyū', 'Japanese voice actress', 'seiyuu', 'seiyu', 'Japanese voice actor']",144,81374
Rodrigo Arocena,occupation,mathematician,What is Rodrigo Arocena's occupation?,['mathematician'],74,23111
Petros Efthymiou,occupation,politician,What is Petros Efthymiou's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",163,25692
