subj,prop,obj,question,answers_list
Passion Play,author,Peter Nichols,Who is the author of Passion Play?,"['Peter Nichols', 'Peter Richard Nichols']"
Five Days,director,Montgomery Tully,Who was the director of Five Days?,['Montgomery Tully']
Dance in the Dark,father,Sunday Silence,Who is the father of Dance in the Dark?,['Sunday Silence']
Christian,director,Gabriel Axel,Who was the director of Christian?,['Gabriel Axel']
Classic,author,Cecily von Ziegesar,Who is the author of Classic?,"['Cecily von Ziegesar', 'Cecily Brooke von Ziegesar']"
Gerhard Ludwig,place of birth,Berlin,In what city was Gerhard Ludwig born?,"['Berlin', 'Berlin, Germany', 'Berlin (Germany)', 'DE-BE']"
The Crop,author,Flannery O'Connor,Who is the author of The Crop?,"[""Flannery O'Connor"", ""Mary Flannery O'Connor""]"
The Child,director,Benjamin Christensen,Who was the director of The Child?,['Benjamin Christensen']
Now What,father,Chance Play,Who is the father of Now What?,['Chance Play']
Dasht Jeyhun,country,Iran,In what country is Dasht Jeyhun?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']"
Warm Nights on a Slow Moving Train,director,Bob Ellis,Who was the director of Warm Nights on a Slow Moving Train?,"['Bob Ellis', 'Robert James Ellis', 'Robert Ellis', 'Robert James Keith Ellis']"
Strangers May Kiss,producer,George Fitzmaurice,Who was the producer of Strangers May Kiss?,['George Fitzmaurice']
Almedina,country,Portugal,In what country is Almedina?,"['Portugal', 'Portuguese Republic', 'PT', '🇵🇹', 'PRT']"
Rodger Stevens,place of birth,Brooklyn,In what city was Rodger Stevens born?,"['Brooklyn', 'Brooklyn, New York']"
Eleanor Yule,occupation,film director,What is Eleanor Yule's occupation?,"['film director', 'movie director', 'director', 'motion picture director']"
Raimonds Vilde,place of birth,Riga,In what city was Raimonds Vilde born?,"['Riga', 'Rīga', 'Ryga', 'Rige', 'Riia', 'Rija', 'Rīgõ']"
Ghost,director,Hossein Shahabi,Who was the director of Ghost?,['Hossein Shahabi']
Mariví Bilbao,occupation,actor,What is Mariví Bilbao's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Denmark Hill Insect Bed,country,Australia,In what country is Denmark Hill Insect Bed?,"['Australia', 'Commonwealth of Australia', 'AU', 'AUS', 'au', 'British Colony of Australia', '🇦🇺', 'Straya', 'Aussieland']"
The Quarterback,screenwriter,William Slavens McNutt,Who was the screenwriter for The Quarterback?,['William Slavens McNutt']
Edward Corser,occupation,politician,What is Edward Corser's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Michal Vacek,sport,bobsleigh,What sport does Michal Vacek play?,"['bobsleigh', 'bobsledding', 'bobsled', 'bobsleighing', 'Bobsled']"
Face to Face,producer,Michael Rymer,Who was the producer of Face to Face?,"['Michael Rymer', 'David Williamson', 'David Keith Williamson']"
The Calendar,director,Arthur Crabtree,Who was the director of The Calendar?,['Arthur Crabtree']
Aleksandar Madžar,place of birth,Bar,In what city was Aleksandar Madžar born?,"['Bar', 'Tivar', 'Tivari', 'Antivari', 'Antibari', 'Stari Bar']"
Seishi Ursula Gakuen Junior College,country,Japan,In what country is Seishi Ursula Gakuen Junior College?,"['Japan', 'State of Japan', 'Land of the Rising Sun', 'Nihon', 'Nippon', 'JP', 'Nippon-koku', 'Nihon-koku', 'JA', 'JPN', 'jp', 'JAP', 'Ja', 'Jap']"
Jim Walsh,sport,ice hockey,What sport does Jim Walsh play?,['ice hockey']
On the Run,producer,Jay Chou,Who was the producer of On the Run?,"['Jay Chou', 'Zhou Jielun', 'Chou Chieh-lun', 'sheldon']"
Lorena Corona Valdés,occupation,politician,What is Lorena Corona Valdés's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
La gorilla,director,Romolo Guerrieri,Who was the director of La gorilla?,['Romolo Guerrieri']
Welaunee Plantation,country,United States of America,In what country is Welaunee Plantation?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Edwin Wallock,occupation,actor,What is Edwin Wallock's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Athirathan,screenwriter,Pradeep Kumar,Who was the screenwriter for Athirathan?,['Pradeep Kumar']
Only Human,author,Eileen Wilks,Who is the author of Only Human?,['Eileen Wilks']
For Sale,genre,pop music,What genre is For Sale?,"['pop music', 'pop', 'Pop']"
Paweł Blehm,place of birth,Olkusz,In what city was Paweł Blehm born?,['Olkusz']
Bomb,screenwriter,Ben Elton,Who was the screenwriter for Bomb?,"['Ben Elton', 'Benjamin Charles Elton', 'Rik Mayall', 'Richard Michael Mayall', 'Lise Mayer']"
Mary,country,France,In what country is Mary?,"['France', 'fr', 'FR', 'République française', 'La France', 'Republic of France', 'French Republic', 'FRA', 'the Hexagon']"
A Peep into the Past,author,Max Beerbohm,Who is the author of A Peep into the Past?,"['Max Beerbohm', 'Sir Max Beerbohm', 'Sir Henry Maximilian Beerbohm', 'Sir Beerbohm', 'Henry Maximilian Beerbohm']"
Veliko Korenovo,country,Croatia,In what country is Veliko Korenovo?,"['Croatia', 'Republic of Croatia', 'HR', 'HRV', 'hr', '🇭🇷', 'CRO']"
Dumitru Hubert,sport,bobsleigh,What sport does Dumitru Hubert play?,"['bobsleigh', 'bobsledding', 'bobsled', 'bobsleighing', 'Bobsled']"
Eslamabad-e Mashayekh,country,Iran,In what country is Eslamabad-e Mashayekh?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']"
Heinrich Hofmann,occupation,composer,What is Heinrich Hofmann's occupation?,"['composer', 'pianist']"
Gyula Czimra,place of birth,Budapest,In what city was Gyula Czimra born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']"
The State,author,Franz Oppenheimer,Who is the author of The State?,['Franz Oppenheimer']
Zones,genre,young adult literature,What genre is Zones?,"['young adult literature', 'juvenile fiction', 'YA', 'youth literature', 'juvenile literature', 'young adult fiction', 'YA literature', 'YA fiction', 'science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']"
The Rat,screenwriter,Graham Cutts,Who was the screenwriter for The Rat?,"['Graham Cutts', 'John Henry Graham Cutts']"
Kuczynka,country,Poland,In what country is Kuczynka?,"['Poland', 'POL', 'Republic of Poland', 'PL', 'Polska']"
Adam,author,Ted Dekker,Who is the author of Adam?,"['Ted Dekker', 'Theodore R. Dekker']"
Nani Nani,producer,John Zorn,Who was the producer of Nani Nani?,['John Zorn']
Chariot Race,genre,racing video game,What genre is Chariot Race?,"['racing video game', 'racing game', 'racing video games', 'racer']"
Scott Muirhead,sport,association football,What sport does Scott Muirhead play?,"['association football', 'football', 'soccer']"
Andrea,director,Carlos Rinaldi,Who was the director of Andrea?,['Carlos Rinaldi']
Node,genre,death metal,What genre is Node?,"['death metal', 'Death Metal']"
First Light,author,Geoffrey Wellum,Who is the author of First Light?,['Geoffrey Wellum']
The Other Place,author,Monica Hughes,Who is the author of The Other Place?,"['Monica Hughes', 'Monica Mary Ince Hughes']"
Mother,director,Ali Hatami,Who was the director of Mother?,['Ali Hatami']
Interview,director,Theo van Gogh,Who was the director of Interview?,['Theo van Gogh']
Mannfolk,author,Arne Garborg,Who is the author of Mannfolk?,['Arne Garborg']
The Right Way,screenwriter,Mark Penney,Who was the screenwriter for The Right Way?,['Mark Penney']
So Big,screenwriter,Edna Ferber,Who was the screenwriter for So Big?,['Edna Ferber']
Antonio Calcagni,place of birth,Recanati,In what city was Antonio Calcagni born?,['Recanati']
Wojciech Jarmuż,sport,association football,What sport does Wojciech Jarmuż play?,"['association football', 'football', 'soccer']"
Tommy Ord,sport,association football,What sport does Tommy Ord play?,"['association football', 'football', 'soccer']"
Arkady Chernetsky,occupation,politician,What is Arkady Chernetsky's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Spiral,author,Roderick Gordon,Who is the author of Spiral?,['Roderick Gordon']
Alarm,screenwriter,Gerard Stembridge,Who was the screenwriter for Alarm?,"['Gerard Stembridge', 'Gerry Stembridge']"
Out of Order,author,Ray Cooney,Who is the author of Out of Order?,"['Ray Cooney', 'Raymond George Alfred Cooney']"
Edward Gunasekara,occupation,politician,What is Edward Gunasekara's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Masaru Inada,place of birth,Sapporo,In what city was Masaru Inada born?,['Sapporo']
C.D. Federal,sport,association football,What sport does C.D. Federal play?,"['association football', 'football', 'soccer']"
Thomas Challis,occupation,politician,What is Thomas Challis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
The Little Ones,director,Jim O'Connolly,Who was the director of The Little Ones?,"[""Jim O'Connolly""]"
Russian Rhapsody,composer,Sergei Rachmaninoff,Who was the composer of Russian Rhapsody?,"['Sergei Rachmaninoff', 'Sergei Vasilievich Rachmaninoff', 'Rachmaninoff', 'Rach', 'Sergei Vasilyevich Rachmaninoff']"
In the Park,screenwriter,Charlie Chaplin,Who was the screenwriter for In the Park?,"['Charlie Chaplin', 'Charles Spencer Chaplin', 'Charles Chaplin', 'Sir Charles Spencer Chaplin']"
Toki o Kakeru Shōjo,composer,Joe Hisaishi,Who was the composer of Toki o Kakeru Shōjo?,['Joe Hisaishi']
Vladimir Yakovlev,place of birth,Moscow,In what city was Vladimir Yakovlev born?,"['Moscow', 'Moskva', 'Moscow, Russia', 'Moskva Federal City, Russia', 'Moscow, USSR', 'Moskva, Russia', 'City of Moscow', 'Moscow, Russian Federation', 'Moscow, Soviet Union', 'Moscow, Russian SFSR', 'Muscovite', 'Moscovite']"
Castle,author,David Macaulay,Who is the author of Castle?,"['David Macaulay', 'David Alexander Macaulay']"
Scott McCuaig,place of birth,Surrey,In what city was Scott McCuaig born?,"['Surrey', 'Surrey, British Columbia']"
Innalenkil Nale,composer,Shyam,Who was the composer of Innalenkil Nale?,['Shyam']
Modou Dia,occupation,diplomat,What is Modou Dia's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Reducing,director,Charles Reisner,Who was the director of Reducing?,['Charles Reisner']
Christophe Ott,sport,association football,What sport does Christophe Ott play?,"['association football', 'football', 'soccer']"
Believe in Me,screenwriter,Israel Horovitz,Who was the screenwriter for Believe in Me?,['Israel Horovitz']
Doll,author,Mitsukazu Mihara,Who is the author of Doll?,['Mitsukazu Mihara']
Roberto Nani,sport,alpine skiing,What sport does Roberto Nani play?,['alpine skiing']
Robley Dunglison Evans,place of birth,Floyd County,In what city was Robley Dunglison Evans born?,"['Floyd County', 'Floyd County, Virginia']"
I Am NOT Going to Get Up Today!,author,Dr. Seuss,Who is the author of I Am NOT Going to Get Up Today!?,"['Dr. Seuss', 'Theodor Seuss Geisel', 'Dr. Theophrastus Seuss', 'Doctor Seuss', 'Seuss', 'Theodore Seuss Geisel', 'Theo LeSieg', 'Rosetta Stone', 'Theophrastus Seuss']"
"Trojden I, Duke of Masovia",mother,Gaudemunda of Lithuania,"Who is the mother of Trojden I, Duke of Masovia?","['Gaudemunda of Lithuania', 'Gaudemunda Sophia']"
David Allan,genre,history painting,What genre is David Allan?,"['history painting', 'historical painting', 'historical art']"
Ruth Berman Harris,genre,jazz,What genre is Ruth Berman Harris?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']"
Noumandiez Doué,sport,association football,What sport does Noumandiez Doué play?,"['association football', 'football', 'soccer']"
Dick Calmus,place of birth,Los Angeles,In what city was Dick Calmus born?,"['Los Angeles', 'Los Angeles, California', 'Pink City', 'The town of Our Lady the Queen of the Angels of the Little Portion', 'La La Land', 'Tinsel Town', 'City of Angels', 'City of Los Angeles', 'LA, California', 'L.A.', 'LA', 'Double Dubuque', 'Los Ángeles', 'Los Angeles, CA']"
Hans Pieren,sport,alpine skiing,What sport does Hans Pieren play?,['alpine skiing']
The Girl,author,Meridel Le Sueur,Who is the author of The Girl?,['Meridel Le Sueur']
The Era,producer,Jay Chou,Who was the producer of The Era?,"['Jay Chou', 'Zhou Jielun', 'Chou Chieh-lun', 'sheldon']"
Getting Free,author,Nigel Hinton,Who is the author of Getting Free?,['Nigel Hinton']
Sesia,capital,Vercelli,What is the capital of Sesia?,['Vercelli']
Visst katten har djuren själ!,author,Margit Sandemo,Who is the author of Visst katten har djuren själ!?,['Margit Sandemo']
Puzzle,screenwriter,Ernesto Gastaldi,Who was the screenwriter for Puzzle?,['Ernesto Gastaldi']
Nerve,author,Dick Francis,Who is the author of Nerve?,['Dick Francis']
"John Blake, Jr.",occupation,politician,"What is John Blake, Jr.'s occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Titanic 2020,author,Colin Bateman,Who is the author of Titanic 2020?,"['Colin Bateman', 'Bateman']"
Episode,producer,Walter Reisch,Who was the producer of Episode?,['Walter Reisch']
Leonard Shure,place of birth,Los Angeles,In what city was Leonard Shure born?,"['Los Angeles', 'Los Angeles, California', 'Pink City', 'The town of Our Lady the Queen of the Angels of the Little Portion', 'La La Land', 'Tinsel Town', 'City of Angels', 'City of Los Angeles', 'LA, California', 'L.A.', 'LA', 'Double Dubuque', 'Los Ángeles', 'Los Angeles, CA']"
The Other,screenwriter,Youssef Chahine,Who was the screenwriter for The Other?,['Youssef Chahine']
Perales Airport,country,Colombia,In what country is Perales Airport?,"['Colombia', '🇨🇴', 'República de Colombia', 'Republic of Colombia', 'COL', 'CO']"
Laaj,screenwriter,Rauf Khalid,Who was the screenwriter for Laaj?,"['Rauf Khalid', 'Abdul Rauf Khalid']"
Coming Home,director,Arlene Sanford,Who was the director of Coming Home?,['Arlene Sanford']
Donald De Lue,place of birth,Boston,In what city was Donald De Lue born?,"['Boston', 'Beantown', 'The Cradle of Liberty', 'The Hub', 'The Cradle of Modern America', 'The Athens of America', 'The Walking City', 'The Hub of the Universe', 'Bostonia', 'Boston, Massachusetts', 'Boston, MA', 'Boston, Mass.', 'Puritan City']"
Delicious,director,David Butler,Who was the director of Delicious?,['David Butler']
Contract,producer,Yvonne Okoro,Who was the producer of Contract?,"['Yvonne Okoro', 'Chinyere Yvonne Okoro']"
Cut,genre,mandopop,What genre is Cut?,"['mandopop', 'Mandarin popular music', 'mandapop']"
Astrodomi Observatory,country,Argentina,In what country is Astrodomi Observatory?,"['Argentina', 'AR', 'ar', '🇦🇷', 'Argentine Republic', 'ARG', 'Republic of Argentina']"
Neutral Municipality,capital,Rio de Janeiro,What is the capital of Neutral Municipality?,"['Rio de Janeiro', 'Rio', 'Rio de Janeiro city', 'Río', 'Río de Janeiro']"
The Cage,screenwriter,Veena Sud,Who was the screenwriter for The Cage?,"['Veena Sud', 'Veena Cabreros Sud']"
M,author,John Cage,Who is the author of M?,"['John Cage', 'John Milton Cage Jr.', 'John Milton Cage, Jr.', 'John Milton, Jr. Cage', 'J. C.']"
Roger Mendy,place of birth,Dakar,In what city was Roger Mendy born?,['Dakar']
Daniel Hynes,place of birth,Chicago,In what city was Daniel Hynes born?,"['Chicago', 'Chicago, Illinois', 'The Windy City', 'City by the Lake', 'The Queen of the West', 'Chi-Town', 'Chitown', 'The Second City', 'City of Chicago', 'City of Broad Shoulders', 'Chi-Raq', 'Chicago, IL']"
A Banda,composer,Chico Buarque,Who was the composer of A Banda?,"['Chico Buarque', 'Francisco Buarque de Hollanda']"
Verdict,author,Agatha Christie,Who is the author of Verdict?,"['Agatha Christie', 'Agatha Mary Clarissa Christie', 'Agatha Mary Clarissa Miller', 'Mary Westmacott', 'Agatha Mary Clarissa Mallowan']"
Go Further,director,Ron Mann,Who was the director of Go Further?,"['Ron Mann', 'Ronald Mann']"
Smile,screenwriter,Jeffrey Kramer,Who was the screenwriter for Smile?,['Jeffrey Kramer']
Thaalikaatha Kaaliamman,composer,Sirpy,Who was the composer of Thaalikaatha Kaaliamman?,['Sirpy']
Peter W. Barca,occupation,politician,What is Peter W. Barca's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Sachiko Kokubu,occupation,actor,What is Sachiko Kokubu's occupation?,"['actor', 'actress', 'actors', 'actresses', 'model', 'fashion model', 'sitter', 'poser']"
The Trap,screenwriter,Lon Chaney,Who was the screenwriter for The Trap?,"['Lon Chaney', 'Leonidas Frank Chaney', 'Lon Chaney, Sr.', 'The Man of a Thousand Faces']"
Chain,screenwriter,Jem Cohen,Who was the screenwriter for Chain?,"['Jem Cohen', 'Jem Alan Cohen']"
Hotel Splendide,director,Michael Powell,Who was the director of Hotel Splendide?,"['Michael Powell', 'Michael Latham Powell', 'Powell']"
Symphony No. 3,composer,Krzysztof Penderecki,Who was the composer of Symphony No. 3?,"['Krzysztof Penderecki', 'Krzysztof Eugeniusz Penderecki']"
Robbie Rouse,sport,American football,What sport does Robbie Rouse play?,"['American football', 'gridiron football', '🏈', 'football', 'American rules football']"
Yes,author,Thomas Bernhard,Who is the author of Yes?,"['Thomas Bernhard', 'Nicolaas Thomas Bernhard']"
Sweetness,author,Torgny Lindgren,Who is the author of Sweetness?,"['Torgny Lindgren', 'Gustav Torgny Lindgren']"
Kenneth Steiner,religion,Catholic Church,What is the religion of Kenneth Steiner?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
The Planet,genre,documentary film,What genre is The Planet?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']"
The Spoilers,director,Bartlett Cormack,Who was the director of The Spoilers?,"['Edwin Carewe', 'Bartlett Cormack', 'Edward Bartlett Cormack']"
Emergency Landing,director,Arne Skouen,Who was the director of Emergency Landing?,['Arne Skouen']
Valfångare,director,Anders Henrikson,Who was the director of Valfångare?,"['Tancred Ibsen', 'Anders Henrikson', 'Anders Henrik Henrikson']"
Francisco David González Borges,sport,association football,What sport does Francisco David González Borges play?,"['association football', 'football', 'soccer']"
Nevio de Zordo,sport,bobsleigh,What sport does Nevio de Zordo play?,"['bobsleigh', 'bobsledding', 'bobsled', 'bobsleighing', 'Bobsled']"
Boulsa,capital of,Namentenga Province,What is Boulsa the capital of?,['Namentenga Province']
Soup,author,Robert Newton Peck,Who is the author of Soup?,['Robert Newton Peck']
East,author,Steven Berkoff,Who is the author of East?,"['Steven Berkoff', 'Leslie Steven Berkoff']"
The Ghost,director,Herbert Achternbusch,Who was the director of The Ghost?,['Herbert Achternbusch']
"Constantine I, King of Armenia",mother,"Keran, Queen of Armenia","Who is the mother of Constantine I, King of Armenia?","['Keran, Queen of Armenia']"
Christos Mitsis,place of birth,Marousi,In what city was Christos Mitsis born?,['Marousi']
Brad Goddard,place of birth,Lucan Biddulph,In what city was Brad Goddard born?,['Lucan Biddulph']
Iris and the Lieutenant,director,Alf Sjöberg,Who was the director of Iris and the Lieutenant?,['Alf Sjöberg']
Drink the Water,composer,Jack Johnson,Who was the composer of Drink the Water?,"['Jack Johnson', 'Jack Hody Johnson']"
The Hare Census,genre,comedy film,What genre is The Hare Census?,"['comedy film', 'comedy movie']"
Indonesia Education League,sport,association football,What sport does Indonesia Education League play?,"['association football', 'football', 'soccer']"
Alexandru Chiculiță,sport,fencing,What sport does Alexandru Chiculiță play?,['fencing']
A Place to Live,genre,documentary film,What genre is A Place to Live?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']"
Way Out,director,Irvin Yeaworth,Who was the director of Way Out?,['Irvin Yeaworth']
Eliza,composer,Luigi Cherubini,Who was the composer of Eliza?,"['Luigi Cherubini', 'Luigi Maria Cherubini', 'Louis-Charles-Zenobi-Salvador-Marie Cherubini', 'Marie Louis Charles Zanobi Salvador Cherubini']"
Like It Was,director,Larry Shaw,Who was the director of Like It Was?,['Larry Shaw']
Susan Soltero,occupation,journalist,What is Susan Soltero's occupation?,"['journalist', 'journo', 'journalists']"
The Night,producer,Dan Donegan,Who was the producer of The Night?,['Dan Donegan']
The Sanguine Fan,composer,Edward Elgar,Who was the composer of The Sanguine Fan?,"['Edward Elgar', 'Edward William Elgar']"
Larry Sitsky,occupation,pianist,What is Larry Sitsky's occupation?,"['composer', 'pianist']"
23 Years,author,Ali Dashti,Who is the author of 23 Years?,['Ali Dashti']
A Flea in Her Ear,director,Jacques Charon,Who was the director of A Flea in Her Ear?,['Jacques Charon']
Messiah,director,William Klein,Who was the director of Messiah?,['William Klein']
Joseph Bambera,religion,Catholic Church,What is the religion of Joseph Bambera?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Camp,director,Andy Warhol,Who was the director of Camp?,"['Andy Warhol', 'Andrew Warhola', 'Andrew Warhol', 'Drella', 'Andrej Varchol', 'Andrej Warhol']"
The Loudwater Mystery,director,Walter West,Who was the director of The Loudwater Mystery?,"['Walter West', 'Walter Alabaster West']"
The Beginning,director,Gleb Panfilov,Who was the director of The Beginning?,"['Gleb Panfilov', 'Gleb Anatolyevich Panfilov']"
Ago,country,Japan,In what country is Ago?,"['Japan', 'State of Japan', 'Land of the Rising Sun', 'Nihon', 'Nippon', 'JP', 'Nippon-koku', 'Nihon-koku', 'JA', 'JPN', 'jp', 'JAP', 'Ja', 'Jap']"
Marie-Hélène Aubert,place of birth,Nantes,In what city was Marie-Hélène Aubert born?,['Nantes']
Guadalupe Missionaries,religion,Catholic Church,What is the religion of Guadalupe Missionaries?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Hostage,author,Robert Crais,Who is the author of Hostage?,"['Robert Crais', 'Elvis Cole', 'Jerry Gret Samouche']"
VS,genre,pop music,What genre is VS?,"['pop music', 'pop', 'Pop']"
On Tour,director,Gabriele Salvatores,Who was the director of On Tour?,['Gabriele Salvatores']
Rome-Paris-Rome,director,Luigi Zampa,Who was the director of Rome-Paris-Rome?,"['Luigi Zampa', 'Zampa']"
With a Little Help,genre,science fiction,What genre is With a Little Help?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']"
"Féminin, masculin",screenwriter,Kiarash Anvari,"Who was the screenwriter for Féminin, masculin?",['Kiarash Anvari']
