category,word,question,generated,expected
producer,Pang brothers,Who was the producer of Diary?,"I'm not aware of any information about a film called ""Diary"" produced by the Pang brothers. However, I do know that the Pang brothers are a Hong Kong film director duo consisting of Danny Pang and Oxide Pang.",Pang brothers
author,Lanford Wilson,Who is the author of Home Free!?,Lanford Wilson is the author of Home Free!.,Lanford Wilson
composer,Gemma Hayes,Who was the composer of Chasing?,"I couldn't find any information on a song called ""Chasing"" by Gemma Hayes.",Gemma Hayes
author,Alasdair Gray,Who is the author of Martin?,Alasdair Gray is the author of Martin Dressler: The Tale of an American Dreamer.,Alasdair Gray
author,Susan Hill,Who is the author of A Bit of Singing and Dancing?,I cannot verify the author of A Bit of Singing and Dancing.,Susan Hill
genre,rock music,What genre is Mother?,"I'm not sure which ""Mother"" you are referring to. There are several songs and bands with that name. Can you provide more context or information about the ""Mother"" you are asking about?",rock music
composer,Saverio Mercadante,Who was the composer of Virginia?,Saverio Mercadante was the composer of Virginia.,Saverio Mercadante
director,Roy William Neill,Who was the director of The City?,Roy William Neill was the director of The City.,Roy William Neill
author,Danielle Steel,Who is the author of Miracle?,Danielle Steel is the author of Miracle.,Danielle Steel
author,Lindsey Davis,Who is the author of Alexandria?,"Lindsey Davis is the author of the Marcus Didius Falco series, which includes the novel ""Alexandria"".",Lindsey Davis
genre,J-pop,What genre is Everything?,"I can't verify the genre of ""Everything"" by J-pop.",J-pop
director,Maurits Binger,Who was the director of La renzoni?,"I couldn't find any information on a film called ""La renzoni"" directed by Maurits Binger.",Maurits Binger
country,United States of America,In what country is Bookstop?,"I couldn't find any information about a country called ""Bookstop"".",United States of America
composer,Kannur Rajan,Who was the composer of Abhinandanam?,I do not have information on the composer of Abhinandanam.,Kannur Rajan
religion,Catholic Church,What is the religion of Bellino Giusto Ghirard?,I couldn't find any information on a person named Bellino Giusto Ghirard.,Catholic Church
screenwriter,Charlie Chaplin,Who was the screenwriter for The Bank?,"I'm not aware of a film called ""The Bank"" written by Charlie Chaplin. However, I do know that Charlie Chaplin wrote the screenplay for the 1920 film ""The Kid"" and the 1915 film ""The Bank"" is a silent film directed by Charlie Chaplin, but I am unable",Charlie Chaplin
screenwriter,Girish Kasaravalli,Who was the screenwriter for Mane?,Girish Kasaravalli was the screenwriter for Mane.,Girish Kasaravalli
religion,Catholic Church,What is the religion of Joseph Bambera?,I am unable to verify the religion of Joseph Bambera.,Catholic Church
genre,fado,What genre is Maximiano de Sousa?,I couldn't find any information about a person named Maximiano de Sousa being associated with the genre of fado.,fado
author,Ivan Kotliarevskyi,Who is the author of Natalka Poltavka?,Ivan Kotliarevskyi is the author of Natalka Poltavka.,Ivan Kotliarevskyi
composer,Ben Folds,Who was the composer of From Above?,"I'm not aware of the specific song ""From Above"" by Ben Folds. However, I can suggest that Ben Folds is a prolific artist with many songs. If you provide more context or information about the song ""From Above,"" I may be able to help you better.",Ben Folds
place of birth,Basildon,In what city was Andy Keeley born?,I do not have information on Andy Keeley's birthplace.,Basildon
producer,David Wexler,Who was the producer of The Stand Up?,I do not have information on who produced The Stand Up.,David Wexler
genre,J-pop,What genre is Everything?,"I can't verify the genre of ""Everything"" by J-pop.",J-pop
director,Claude Chabrol,Who was the director of Comedy of Power?,Claude Chabrol was the director of Comedy of Power.,Claude Chabrol
genre,science fiction film,What genre is Gold?,Science fiction film,science fiction film
place of birth,Tambov,In what city was Valentin Avrorin born?,I couldn't find any information on a person named Valentin Avrorin.,Tambov
occupation,politician,What is Lorena Corona Valdés's occupation?,Lorena Corona Valdés is a Mexican politician.,politician
country,United States of America,In what country is Footes?,"I couldn't find any information on a place called ""Footes"" in the United States of America.",United States of America
country,United States of America,In what country is New York State Route 157?,New York State Route 157 is located in the United States of America.,United States of America
author,David Lodge,Who is the author of Therapy?,"David Lodge is the author of ""Therapy"".",David Lodge
director,Wong Jing,Who was the director of The Crazy Companies II?,Wong Jing was the director of The Crazy Companies II.,Wong Jing
place of birth,Prettau,In what city was Bruno Nöckler born?,I couldn't find any information on Bruno Nöckler.,Prettau
father,Oliba Cabreta,Who is the father of Abbot Oliba?,I couldn't find any information on Oliba Cabreta.,Oliba Cabreta
director,Bill Mason,Who was the director of Blake?,"I'm not aware of any information about a person named Bill Mason being associated with a project or film called ""Blake.""",Bill Mason
genre,romantic comedy,What genre is Right There?,"I couldn't find any information about a romantic comedy called ""Right There.""",romantic comedy
screenwriter,Tony Richardson,Who was the screenwriter for Dead Cert?,I am unable to verify who the screenwriter for Dead Cert was.,Tony Richardson
father,Zabeel,Who is the father of Reset?,I'm not aware of any information about a person named Zabeel being the father of Reset.,Zabeel
occupation,politician,What is Gordie Gosse's occupation?,Gordie Gosse is a politician.,politician
composer,Andy McCoy,Who was the composer of Tragedy?,"Andy McCoy, the guitarist of the Finnish rock band Hanoi Rocks, is the composer of the song ""Tragedy"".",Andy McCoy
occupation,politician,What is Sebaki Devi Das Tatma's occupation?,Sebaki Devi Das Tatma is a politician.,politician
occupation,seiyū,What is Mami Matsui's occupation?,Mami Matsui is a Japanese voice actress.,seiyū
genre,comedy film,What genre is The Hare Census?,"I couldn't find any information about a comedy film called ""The Hare Census"".",comedy film
genre,alternative rock,What genre is Witness?,"I'm not sure what you are referring to. Could you please provide more context or information about ""Witness""?",alternative rock
country,United States of America,In what country is Content?,"I couldn't find any information about ""Content"" being a country.",United States of America
director,Gustave de Kervern,Who was the director of Le grand soir?,Gustave de Kervern was the director of Le grand soir.,Gustave de Kervern
author,Peter Dickinson,Who is the author of Eva?,"Peter Dickinson is the author of ""Eva"".",Peter Dickinson
composer,Lionel Monckton,Who was the composer of The Boy?,Lionel Monckton was the composer of The Boy.,Lionel Monckton
director,Bobby Roth,Who was the director of The Message?,"I couldn't find any information on a film called ""The Message"" directed by Bobby Roth.",Bobby Roth
sport,association football,What sport does Alexis Carra play?,I couldn't find any information about a person named Alexis Carra playing association football.,association football
occupation,poet,What is Alfred Mombert's occupation?,Alfred Mombert's occupation is a poet.,poet
screenwriter,Gavin O'Connor,Who was the screenwriter for The Bet?,I am unable to verify who the screenwriter for The Bet was.,Gavin O'Connor
director,Theo van Gogh,Who was the director of Interview?,"I'm not aware of any information about a director named Theo van Gogh. However, I do know that Theo van Gogh was a Dutch television director.",Theo van Gogh
author,Barbara Gowdy,Who is the author of The Romantic?,Barbara Gowdy is the author of The Romantic.,Barbara Gowdy
author,Avi,Who is the author of The Fighting Ground?,Avi is the author of The Fighting Ground.,Avi
author,Viktor Suvorov,Who is the author of Suicide?,"Viktor Suvorov is the author of ""The Chief Culprit: Stalin's Grand Design to Start World War II"".",Viktor Suvorov
genre,comedy film,What genre is The Miracle?,"I'm not sure what specific film ""The Miracle"" is, but I can tell you that the 1948 film ""The Miracle"" is a comedy film.",comedy film
father,Adolphe Guillaumat,Who is the father of Pierre Guillaumat?,I do not have information on who the father of Pierre Guillaumat is.,Adolphe Guillaumat
screenwriter,Majid Majidi,Who was the screenwriter for Pedar?,"I couldn't find any information on a film called ""Pedar"" with a screenwriter named Majid Majidi. However, I found that Majid Majidi is an Iranian film director, screenwriter, and producer.",Majid Majidi
genre,punk rock,What genre is Rude Kids?,"I couldn't find any information about the genre ""Rude Kids"" in the context of punk rock.",punk rock
capital,Mobaye,What is the capital of Basse-Kotto Prefecture?,Mobaye is the capital of Basse-Kotto Prefecture.,Mobaye
occupation,composer,What is Richard Faith's occupation?,Richard Faith is a composer.,composer
producer,Herbert Wilcox,Who was the producer of The Rat?,Herbert Wilcox was the producer of The Rat.,Herbert Wilcox
screenwriter,Veena Sud,Who was the screenwriter for Orpheus Descending?,I am unable to verify who the screenwriter for Orpheus Descending was.,Veena Sud
producer,Maurice Tourneur,Who was the producer of Woman?,"I couldn't find any information on a film called ""Woman"" produced by Maurice Tourneur.",Maurice Tourneur
screenwriter,Marco Ferreri,Who was the screenwriter for I Love You?,"I couldn't find any information on a film called ""I Love You"" with a screenwriter named Marco Ferreri.",Marco Ferreri
occupation,actor,What is Shorty Hamilton's occupation?,I couldn't find any information on a person named Shorty Hamilton.,actor
director,Elmer Clifton,Who was the director of Swamp Woman?,"I am sorry, I do not have information on who directed Swamp Woman.",Elmer Clifton
producer,Rick Alverson,Who was the producer of The Builder?,I do not have information on the producer of The Builder.,Rick Alverson
author,Kelley Armstrong,Who is the author of Broken?,Kelley Armstrong is the author of Broken.,Kelley Armstrong
director,Chris Landreth,Who was the director of The Spine?,Chris Landreth was the director of The Spine.,Chris Landreth
director,Feng Xiaoning,Who was the director of Gada Meilin?,"I couldn't find any information on a person named Gada Meilin. However, I found information on Feng Xiaoning, who is a Chinese film director.",Feng Xiaoning
genre,marine art,What genre is Alexander Beggrov?,I couldn't find any information on Alexander Beggrov in the provided context.,marine art
author,Henry James,Who is the author of Glasses?,"I'm not aware of any information about a work called ""Glasses"" by Henry James.",Henry James
genre,music video game,What genre is Pulse?,"I'm not sure what you are referring to. Can you provide more context or information about the music video game ""Pulse""?",music video game
director,Mario Mattoli,Who was the director of Destiny?,"I couldn't find any information on a film called ""Destiny"" directed by Mario Mattoli.",Mario Mattoli
author,John Cage,Who is the author of M?,John Cage is the author of M.,John Cage
genre,jazz,What genre is Ruth Berman Harris?,I couldn't find any information on a person named Ruth Berman Harris.,jazz
genre,thriller,What genre is Seconds Apart?,"The genre of the movie ""Seconds Apart"" is a thriller.",thriller
capital,Seymchan,What is the capital of Srednekansky District?,"I couldn't find any information on the capital of Srednekansky District. However, I found that Seymchan is a rural locality in Srednekansky District of the Republic of Tatarstan, Russia.",Seymchan
genre,real-time strategy,What genre is Stranger?,"I couldn't find any information about a game called ""Stranger"" in the real-time strategy genre.",real-time strategy
author,Paul Cornell,Who is the author of Something More?,Paul Cornell is the author of Something More.,Paul Cornell
composer,RedOne,Who was the composer of Get You?,"The composer of ""Get You"" is RedOne.",RedOne
director,Spencer Gordon Bennet,Who was the director of The Black Book?,"I couldn't find any information on a film called ""The Black Book"" directed by Spencer Gordon Bennet.",Spencer Gordon Bennet
director,Georgiy Daneliya,Who was the director of Passport?,"Georgiy Daneliya was the director of the film ""Passport"".",Georgiy Daneliya
screenwriter,Lise Mayer,Who was the screenwriter for Bomb?,Ben Elton was the screenwriter for Bomb.,Ben Elton
sport,association football,What sport does Kabinburi F.C. play?,Association football.,association football
producer,Waheed Murad,Who was the producer of Hero?,"I'm sorry, I do not have information on the producer of the movie Hero.",Waheed Murad
religion,Catholic Church,What is the religion of François Gayot?,I cannot verify the religion of François Gayot.,Catholic Church
place of birth,Ypres,In what city was Eric Defoort born?,I couldn't find any information on Eric Defoort's birthplace in the provided context.,Ypres
genre,jazz,What genre is Joe Mooney?,"I couldn't find any information on a well-known artist named Joe Mooney. However, I did find information on a jazz clarinetist named Joe Mooney.",jazz
genre,country music,What genre is Friday Night?,"I'm not aware of any information about a song or album called ""Friday Night"" in the context of country music.",country music
genre,pop music,What genre is More Love?,"I'm not aware of a song called ""More Love"" in the provided context. However, I can try to find information about a song with that title. 

After a quick search, I found that ""More Love"" is a song by Diana Ross, released in 1973. It is a pop song.",pop music
father,War Admiral,Who is the father of Blue Peter?,"I'm not aware of any information about a person named Blue Peter. However, I do know that War Admiral is a famous American Thoroughbred racehorse.",War Admiral
father,Ma Teng,Who is the father of Ma Xiu?,I couldn't find any information about Ma Teng's family.,Ma Teng
occupation,songwriter,What is Rusty Willoughby's occupation?,I couldn't find any information about Rusty Willoughby being a songwriter.,songwriter
country,Greece,In what country is Panaitoliko?,Greece,Greece
director,Lawrence Turman,Who was the director of Second Thoughts?,"Lawrence Turman directed the 1983 film ""Second Thoughts"".",Lawrence Turman
author,Isaac Asimov,Who is the author of Anniversary?,"I'm not aware of any information about a work called ""Anniversary"" by Isaac Asimov.",Isaac Asimov
place of birth,Canons Park,In what city was Charles Plumer born?,I don't have information on Charles Plumer's birthplace.,Canons Park
director,Anthony O'Sullivan,Who was the director of The Mirror?,"I couldn't find any information about a film called ""The Mirror"" directed by Anthony O'Sullivan.",Anthony O'Sullivan
genre,mandopop,What genre is Princess?,Mandopop.,mandopop
country,Colombia,In what country is Perales Airport?,I couldn't find the specific information about Perales Airport in the provided context.,Colombia
sport,association football,What sport does Lobos BUAP Premier play?,Association football.,association football
producer,Diego Dubcovsky,Who was the producer of Family Law?,I do not have information on the producer of Family Law.,Diego Dubcovsky
father,Matthew Richey,Who is the father of Matthew Henry Richey?,I cannot verify who the father of Matthew Henry Richey is.,Matthew Richey
director,Robert McKimson,Who was the director of Go Go Amigo?,I am unable to verify who the director of Go Go Amigo is.,Robert McKimson
screenwriter,Lisandro Alonso,Who was the screenwriter for Freedom?,I do not have information on the screenwriter for Freedom.,Lisandro Alonso
country,Serbia,In what country is Zemun railway station?,Zemun railway station is in Serbia.,Serbia
producer,William Link,Who was the producer of The Gun?,"I couldn't find any information on a person named William Link being a producer of ""The Gun"". However, I found that William Link was a producer of the TV series ""Columbo"".",William Link
genre,musical film,What genre is Spring Is Here?,"I'm not sure what the genre of the musical film ""Spring Is Here"" is. Can you provide more information about the film?",musical film
director,Menahem Golan,Who was the director of Fortuna?,"I am sorry, but I do not have information on the director of Fortuna.",Menahem Golan
director,David Von Ancken,Who was the director of Hell on Wheels?,David Von Ancken was the director of Hell on Wheels.,David Von Ancken
genre,horror film,What genre is Evil?,Horror,horror film
genre,jazz,What genre is Miracle?,"I'm not sure what you are referring to with ""Miracle"". There are many songs and albums with the title ""Miracle"" across different genres, including jazz. Can you provide more context or information about the specific ""Miracle"" you are asking about?",jazz
producer,Ben Affleck,Who was the producer of Reporter?,"I'm not aware of a film called ""Reporter"" produced by Ben Affleck.",Ben Affleck
author,Dr. Seuss,Who is the author of I Am NOT Going to Get Up Today!?,"I couldn't find any information about a Dr. Seuss book called ""I Am NOT Going to Get Up Today!"". However, I did find a Dr. Seuss book called ""I Can Dr. Seuss""",Dr. Seuss
sport,volleyball,What sport does Damla Çakıroğlu play?,Volleyball.,volleyball
sport,chess,What sport does Larissa Volpert play?,I couldn't find any information about a person named Larissa Volpert playing chess.,chess
composer,Neil Young,Who was the composer of L.A.?,"Neil Young composed the song ""L.A.""",Neil Young
author,Allen Boretz,Who is the author of Room Service?,"I couldn't find any information about the context of ""Room Service"" in relation to the name ""Allen Boretz"". However, I found that Allen Boretz is a playwright, and he co-authored the play ""Room Service"" with Joseph A. Fields.",Allen Boretz
genre,rock music,What genre is In Silence?,"I'm not aware of a well-known song called ""In Silence"" in the context of rock music. However, I can provide information on a song called ""In Silence"" by the band ""In Silence"" or possibly ""In Silence"" by the band ""The Gathering""",rock music
genre,country music,What genre is Malcolm Yelvington?,I couldn't find any information on a well-known artist named Malcolm Yelvington.,country music
director,Frans Weisz,Who was the director of The Betrayed?,Frans Weisz was the director of The Betrayed.,Frans Weisz
place of birth,Paris,In what city was Louis Joseph Troost born?,I couldn't find any information on a person named Louis Joseph Troost.,Paris
composer,Cole Porter,Who was the composer of Paris?,Cole Porter.,Cole Porter
screenwriter,Edna Ferber,Who was the screenwriter for So Big?,Edna Ferber was the screenwriter for So Big.,Edna Ferber
genre,psychedelic rock,What genre is Jacks?,"I couldn't find any information about a specific artist or band named ""Jacks"" in the context of psychedelic rock. However, there is a psychedelic rock band called ""The Byrds"" that had a song called ""Mr. Tambourine Man"" and also a song called ""Turn! Turn! Turn!""",psychedelic rock
place of birth,Mila,In what city was hamza koudri born?,I couldn't find any information about a person named Hamza Koudri.,Mila
place of birth,Boroughbridge,In what city was Darley Waddilove born?,I do not have information on Darley Waddilove's birthplace.,Boroughbridge
author,Russell Kirk,Who is the author of Watchers at the Strait Gate?,Russell Kirk is the author of Watchers at the Strait Gate.,Russell Kirk
