Category,Entity,Question,Answer
Movies,Emilia Pérez,Which film was the credited work when Zoe Saldaña won the supporting-actress prize at the actors’ guild ceremony?,"At the actors’ guild ceremony, the credited film for Zoe Saldaña’s supporting-actress win was Emilia Pérez on the record. The same performers’ event also honored an ensemble from “Conclave” that night."
Movies,Emilia Pérez,Which film was cited when Zoe Saldaña received the supporting-actress prize at the major film academy ceremony?,"At the major film academy ceremony, the film cited for Zoe Saldaña’s supporting-actress prize was Emilia Pérez in the winners list. That ceremony’s Best Picture winner was “Anora” as context."
Movies,31st Screen Actors Guild Awards,Which actors’ guild ceremony awarded its top ensemble prize in film to the cast of “Conclave”?,31st Screen Actors Guild Awards
Movies,31st Screen Actors Guild Awards,Which guild ceremony honored Timothée Chalamet for a leading film performance in “A Complete Unknown”?,31st Screen Actors Guild Awards honored Timothée Chalamet for a leading film performance in results.
Movies,31st Screen Actors Guild Awards,Which guild ceremony awarded Demi Moore the leading-actress film prize for “The Substance”?,"In the film honors, 31st Screen Actors Guild Awards gave Demi Moore the leading-actress prize that night."
Movies,31st Screen Actors Guild Awards,Which guild ceremony awarded Kieran Culkin the supporting-actor film prize for “A Real Pain”?,The supporting-actor film prize described in the question was awarded at 31st Screen Actors Guild Awards during the event.
Movies,31st Screen Actors Guild Awards,Which guild ceremony credited Zoe Saldaña with the supporting-actress film win for her work in “Emilia Pérez”?,"At 31st Screen Actors Guild Awards, the supporting-actress film win credited Zoe Saldaña for her work in “Emilia Pérez” in the list. The ceremony also awarded an ensemble film prize to the cast of “Conclave” as well."
Movies,31st Screen Actors Guild Awards,Which guild ceremony gave the film stunt-ensemble honor to “The Fall Guy”?,"At 31st Screen Actors Guild Awards, the film stunt-ensemble honor went to “The Fall Guy” on the card. The same event also recognized Timothée Chalamet with a leading-actor film prize there."
Movies,77th Annual DGA Awards,Which directors’ guild ceremony awarded its top feature-film directing prize to Sean Baker for “Anora”?,77th Annual DGA Awards
Movies,77th Annual DGA Awards,Which directors’ guild ceremony honored Ramell Ross with the first-time feature-film prize for “Nickel Boys”?,77th Annual DGA Awards honored Ramell Ross with the first-time feature prize officially.
Movies,77th Annual DGA Awards,Which directors’ guild ceremony gave its dramatic-series directing prize to Frederick E.O. Toye for an episode of “Shōgun”?,"In episodic TV, 77th Annual DGA Awards gave Frederick E.O. Toye the dramatic-series directing prize that year."
Movies,77th Annual DGA Awards,Which directors’ guild ceremony awarded a comedy-series directing prize to Lucia Aniello for an episode of “Hacks”?,The comedy-series directing prize in the question was awarded at 77th Annual DGA Awards during the ceremony.
Movies,77th Annual DGA Awards,Which directors’ guild ceremony honored the documentary “Porcelain War” with the documentary directing prize?,"At 77th Annual DGA Awards, the documentary directing prize was awarded to “Porcelain War” in the lineup. The same guild event also honored Sean Baker for feature-film directing as context."
Movies,77th Annual DGA Awards,Which directors’ guild ceremony presented its lifetime-achievement honor to Ang Lee?,"At 77th Annual DGA Awards, the lifetime-achievement honor was presented to Ang Lee in the program. The ceremony also included first-time feature recognition for Ramell Ross there."
Movies,36th Annual Producers Guild Awards,Which producers’ guild ceremony presented a Trailblazer Award jointly to Lynda Obst and Paula Weinstein?,36th Annual Producers Guild Awards
Movies,36th Annual Producers Guild Awards,Which producers’ guild ceremony gave its top theatrical-producer prize to the film “Anora”?,36th Annual Producers Guild Awards awarded the top theatrical-producer prize to “Anora” outright.
Movies,36th Annual Producers Guild Awards,Which producers’ guild ceremony honored “The Wild Robot” with the animated-theatrical producer prize?,"At the guild event, 36th Annual Producers Guild Awards honored “The Wild Robot” with the animated-theatrical prize that year."
Movies,36th Annual Producers Guild Awards,Which producers’ guild ceremony awarded its documentary-producer prize to “Super/Man: The Christopher Reeve Story”?,The documentary-producer prize referenced in the question was awarded at 36th Annual Producers Guild Awards in the show.
Movies,36th Annual Producers Guild Awards,Which producers’ guild ceremony awarded its limited-or-anthology series producer prize to “Baby Reindeer”?,"At 36th Annual Producers Guild Awards, the limited-or-anthology series producer prize went to “Baby Reindeer” in the results. The same ceremony also recognized “Anora” with the top theatrical-producer honor as context."
Movies,36th Annual Producers Guild Awards,Which producers’ guild ceremony honored “The Greatest Night in Pop” with the televised-or-streamed motion picture producer prize?,"At 36th Annual Producers Guild Awards, the televised-or-streamed motion picture producer prize went to “The Greatest Night in Pop” in the slate. The guild also highlighted a Trailblazer Award for Lynda Obst and Paula Weinstein there."
Movies,2025 Writers Guild Awards,Which writers’ guild ceremony awarded original screenplay to “Anora”?,2025 Writers Guild Awards
Movies,2025 Writers Guild Awards,Which writers’ guild ceremony named “Anora” the original-screenplay winner?,2025 Writers Guild Awards named “Anora” the original-screenplay winner officially.
Movies,2025 Writers Guild Awards,Which writers’ guild ceremony awarded the drama-series prize to “Shōgun”?,"In the winners list, 2025 Writers Guild Awards awarded the drama-series prize to “Shōgun” that year."
Movies,2025 Writers Guild Awards,Which writers’ guild ceremony awarded episodic drama to the episode titled “Anjin”?,The episodic-drama win described in the question was awarded at 2025 Writers Guild Awards in the program.
Movies,2025 Writers Guild Awards,Which writers’ guild ceremony honored “Nikki Glaser: Someday You’ll Die” in its comedy/variety special category?,"At 2025 Writers Guild Awards, “Nikki Glaser: Someday You’ll Die” received the comedy/variety special writing honor in the record. The same ceremony also awarded original screenplay to “Anora” as well."
Movies,2025 Writers Guild Awards,Which writers’ guild ceremony gave its quiz-and-audience participation prize to “Pop Culture Jeopardy!”?,"At 2025 Writers Guild Awards, the quiz-and-audience participation prize went to “Pop Culture Jeopardy!” in the lineup. The ceremony also awarded a drama-series prize to “Shōgun” there."
Movies,78th Cannes Film Festival,Which major European festival awarded its top competition prize to the film titled “UN SIMPLE ACCIDENT”?,78th Cannes Film Festival
Movies,78th Cannes Film Festival,Which festival honored “UN SIMPLE ACCIDENT” with the top prize in its main competition?,78th Cannes Film Festival honored “UN SIMPLE ACCIDENT” with its top prize officially.
Movies,78th Cannes Film Festival,Which festival awarded its grand-prize honor to “SENTIMENTAL VALUE”?,"In the palmarès, 78th Cannes Film Festival awarded the grand-prize honor to “SENTIMENTAL VALUE” that year."
Movies,78th Cannes Film Festival,Which festival gave its jury prize to “SIRÂT”?,The jury prize described in the question was awarded at 78th Cannes Film Festival in the results.
Movies,78th Cannes Film Festival,Which festival honored Kleber Mendonça Filho with a directing prize for “THE SECRET AGENT”?,"At 78th Cannes Film Festival, Kleber Mendonça Filho received the directing prize for “THE SECRET AGENT” in the listing. The same awards slate also included a top prize for “UN SIMPLE ACCIDENT” as context."
Movies,78th Cannes Film Festival,Which festival awarded Wagner Moura a best-actor honor for “THE SECRET AGENT”?,"At 78th Cannes Film Festival, Wagner Moura won the best-actor honor for “THE SECRET AGENT” in the palmarès. The awards also included a best-actress honor for Nadia Melliti there."
Movies,Shōgun,Which series won the drama-series prize at that writers’ guild ceremony?,Shōgun
Movies,Shōgun,Which series received the drama-series prize at the writers’ guild ceremony?,Shōgun won the drama-series prize at the writers’ guild ceremony outright.
Movies,Shōgun,Which series earned an episodic-drama writing win for the episode titled “Anjin”?,"At the ceremony, Shōgun earned an episodic-drama writing win for “Anjin” that year."
Movies,Shōgun,Which series received the dramatic-series directing prize at the directors’ guild ceremony?,The dramatic-series directing prize referenced in the question went to an episode of Shōgun at that ceremony.
Movies,Shōgun,Which series received the drama-series ensemble acting prize at the actors’ guild ceremony?,Shōgun received the drama-series ensemble acting prize at the actors’ guild ceremony in the winners list. The same event also recognized individual drama-series performances as well.
Movies,Shōgun,Which series was cited when Hiroyuki Sanada won the male-actor drama-series prize at the actors’ guild ceremony?,"Shōgun was the cited series when Hiroyuki Sanada won the male-actor drama-series prize in the results. In that same category set, Anna Sawai also received the female-actor drama-series prize there."
Movies,41st Sundance Film Festival,Which U.S. independent-film festival awarded the U.S. dramatic grand jury prize to “Atropia”?,41st Sundance Film Festival
Movies,41st Sundance Film Festival,Which festival awarded the U.S. dramatic grand jury prize to “Atropia”?,41st Sundance Film Festival awarded the U.S. dramatic grand jury prize to “Atropia” officially.
Movies,41st Sundance Film Festival,Which festival awarded the U.S. documentary grand jury prize to “Seeds”?,"In the awards list, 41st Sundance Film Festival awarded the U.S. documentary grand jury prize to “Seeds” that year."
Movies,41st Sundance Film Festival,Which festival awarded the world-cinema dramatic grand jury prize to “Sabar Bonda”?,The world-cinema dramatic grand jury prize in the question was awarded at 41st Sundance Film Festival in the lineup.
Movies,41st Sundance Film Festival,Which festival awarded the world-cinema documentary grand jury prize to “Cutting Through Rocks”?,"At 41st Sundance Film Festival, the world-cinema documentary grand jury prize went to “Cutting Through Rocks” in the record. The same awards slate also included a U.S. documentary grand jury win for “Seeds” as context."
Movies,41st Sundance Film Festival,Which festival awarded the U.S. dramatic audience award to “Twinless”?,"At 41st Sundance Film Festival, the U.S. dramatic audience award went to “Twinless” in the list. The festival also awarded a NEXT innovator honor to “Zodiac Killer Project” there."
Movies,82nd Venice International Film Festival,Which international festival awarded its top competition prize to the film titled “Father Mother Sister Brother”?,82nd Venice International Film Festival
Movies,82nd Venice International Film Festival,Which festival awarded its top competition prize to “Father Mother Sister Brother”?,82nd Venice International Film Festival awarded its top competition prize to “Father Mother Sister Brother” officially.
Movies,82nd Venice International Film Festival,Which festival awarded its grand-jury prize to “The Voice of Hind Rajab”?,"In the palmarès, 82nd Venice International Film Festival awarded the grand-jury prize to “The Voice of Hind Rajab” that year."
Movies,82nd Venice International Film Festival,Which festival honored Benny Safdie with a best-director award for “The Smashing Machine”?,The best-director award referenced in the question was presented at 82nd Venice International Film Festival in the results.
Movies,82nd Venice International Film Festival,Which festival awarded Xin Zhilei a best-actress honor for “The Sun Rises on Us All”?,"At 82nd Venice International Film Festival, Xin Zhilei received the best-actress honor for “The Sun Rises on Us All” in the listing. The same competition slate also included a best-actor honor for Toni Servillo as well."
Movies,82nd Venice International Film Festival,Which festival honored the writers of “At Work” with a best-screenplay award?,"At 82nd Venice International Film Festival, the writers of “At Work” received the best-screenplay award in the palmarès. The festival’s top competition prize went to “Father Mother Sister Brother” there."
Movies,50th Toronto International Film Festival,Which major Canadian film festival gave its top audience award to “Sentimental Value”?,50th Toronto International Film Festival
Movies,50th Toronto International Film Festival,Which festival’s top audience prize went to “Sentimental Value”?,50th Toronto International Film Festival awarded its top audience prize to “Sentimental Value” officially.
Movies,50th Toronto International Film Festival,Which festival named “The Life of Chuck” as the first runner-up for its top audience award?,"In the audience results, 50th Toronto International Film Festival listed “The Life of Chuck” as first runner-up that year."
Movies,50th Toronto International Film Festival,Which festival listed “Sing Sing” as a runner-up for its top audience award?,The runner-up placement referenced in the question was listed by 50th Toronto International Film Festival in its announcement.
Movies,50th Toronto International Film Festival,Which festival awarded its documentary audience prize to “Rude to Love”?,"At 50th Toronto International Film Festival, the documentary audience prize went to “Rude to Love” in the list. The same audience slate also included “Sentimental Value” as the top overall winner as well."
Movies,50th Toronto International Film Festival,Which festival awarded its international audience prize to “Baise-en-ville”?,"At 50th Toronto International Film Festival, the international audience prize went to “Baise-en-ville” in the posting. The festival also named “The Maestro” as a midnight audience winner there."
Movies,24th Tribeca Festival,Which New York film festival awarded its top U.S. narrative prize to “Charliebird”?,24th Tribeca Festival
Movies,24th Tribeca Festival,Which festival awarded a top U.S. narrative honor to “Charliebird”?,24th Tribeca Festival awarded a top U.S. narrative honor to “Charliebird” officially.
Movies,24th Tribeca Festival,Which festival gave its top international narrative prize to “Happy Birthday”?,"In the awards slate, 24th Tribeca Festival gave the top international narrative prize to “Happy Birthday” that year."
Movies,24th Tribeca Festival,Which festival awarded its top documentary feature prize to “Natchez”?,The documentary feature prize referenced in the question was awarded at 24th Tribeca Festival in the announcement.
Movies,24th Tribeca Festival,Which festival honored Gabriela Ochoa Perez with a best-performance award for a U.S. narrative film?,"At 24th Tribeca Festival, Gabriela Ochoa Perez received a best-performance award for a U.S. narrative film in the list. The same festival also awarded a top documentary feature prize to “Natchez” as context."
Movies,24th Tribeca Festival,Which festival honored Andrea Riseborough and Brenda Blethyn with a shared acting award for an international narrative film?,"At 24th Tribeca Festival, Andrea Riseborough and Brenda Blethyn received a shared acting award for an international narrative film in the slate. The awards announcement also included a top U.S. narrative honor for “Charliebird” there."
Movies,SXSW Film & TV Festival 2025,Which Austin-based festival awarded its narrative-feature grand jury prize to “Slanted”?,SXSW Film & TV Festival 2025
Movies,SXSW Film & TV Festival 2025,Which festival awarded its narrative-feature grand jury prize to “Slanted”?,SXSW Film & TV Festival 2025 awarded the narrative-feature grand jury prize to “Slanted” officially.
Movies,SXSW Film & TV Festival 2025,Which festival awarded its documentary-feature grand jury prize to “Shuffle”?,"In the film awards, SXSW Film & TV Festival 2025 awarded the documentary-feature grand jury prize to “Shuffle” that year."
Movies,SXSW Film & TV Festival 2025,Which festival awarded a special jury acting honor to a performer from “Slanted”?,The special jury acting honor described in the question was awarded at SXSW Film & TV Festival 2025 in the results.
Movies,SXSW Film & TV Festival 2025,Which festival named a Texas-made title as the “Best of Texas” winner?,"At SXSW Film & TV Festival 2025, a Texas-made title was named the “Best of Texas” winner in the announcement. The same awards list also included the documentary-feature grand jury win for “Shuffle” as context."
Movies,SXSW Film & TV Festival 2025,Which festival awarded a top-midnight-section audience prize to a genre title in its late-night lineup?,"At SXSW Film & TV Festival 2025, a top-midnight-section audience prize went to a genre title in its late-night lineup per the list. The festival also awarded the narrative-feature grand jury prize to “Slanted” there."
Movies,Telluride Film Festival 2025,Which U.S. mountain film gathering announced Silver Medallion honorees including Jesse Plemons?,Telluride Film Festival 2025
Movies,Telluride Film Festival 2025,Which festival announced Jesse Plemons as a Silver Medallion honoree?,Telluride Film Festival 2025 announced Jesse Plemons as a Silver Medallion honoree publicly.
Movies,Telluride Film Festival 2025,Which festival announced Rebecca Hall as a Silver Medallion honoree?,"In its honors, Telluride Film Festival 2025 named Rebecca Hall as a Silver Medallion honoree that year."
Movies,Telluride Film Festival 2025,Which festival announced Bruce Springsteen as a Silver Medallion honoree?,The Silver Medallion honor referenced in the question was announced by Telluride Film Festival 2025 in its notice.
Movies,Telluride Film Festival 2025,Which festival confirmed its run dates for late summer in the Colorado mountains?,"At Telluride Film Festival 2025, the run dates were confirmed for late summer in the posting. The same announcement also listed multiple Silver Medallion honorees as context."
Movies,Telluride Film Festival 2025,Which festival’s official update bundled its honorees and scheduling details into a single annual announcement?,"At Telluride Film Festival 2025, the annual update bundled honorees and scheduling details in one notice. That same notice included Jesse Plemons among the Silver Medallion honorees there."
Movies,2025 Annecy International Animation Film Festival,Which animation festival awarded its top feature-film honor to “Arco”?,2025 Annecy International Animation Film Festival
Movies,2025 Annecy International Animation Film Festival,Which festival awarded its top feature-film honor to “Arco”?,2025 Annecy International Animation Film Festival awarded its top feature-film honor to “Arco” officially.
Movies,2025 Annecy International Animation Film Festival,Which festival awarded a top short-film honor to “Les Bottes de la nuit”?,"In the awards, 2025 Annecy International Animation Film Festival awarded a top short-film honor to “Les Bottes de la nuit” that year."
Movies,2025 Annecy International Animation Film Festival,Which festival awarded the Contrechamp feature prize to “Olivia and the Invisible Earthquake”?,The Contrechamp feature prize referenced in the question was awarded at 2025 Annecy International Animation Film Festival in the results.
Movies,2025 Annecy International Animation Film Festival,Which festival gave an audience award to “Amélie et la métaphysique des tubes”?,"At 2025 Annecy International Animation Film Festival, the audience award went to “Amélie et la métaphysique des tubes” in the report. The same awards set also included “Arco” as the top feature-film winner as context."
Movies,2025 Annecy International Animation Film Festival,Which festival awarded a Paul Grimault Prize to “La Mort n’existe pas”?,"At 2025 Annecy International Animation Film Festival, the Paul Grimault Prize was awarded to “La Mort n’existe pas” in coverage. That same awards recap also noted a top short-film honor for “Les Bottes de la nuit” there."
Movies,78th Locarno Film Festival,Which Swiss film festival awarded its top competition prize to “Tabi to Hibi”?,78th Locarno Film Festival
Movies,78th Locarno Film Festival,Which festival awarded its top competition prize to “Tabi to Hibi”?,78th Locarno Film Festival awarded its top competition prize to “Tabi to Hibi” officially.
Movies,78th Locarno Film Festival,Which festival named Alexander Payne as the recipient of an honorary career award?,"In its honors news, 78th Locarno Film Festival named Alexander Payne for an honorary award that year."
Movies,78th Locarno Film Festival,Which festival publicly announced its international juries ahead of the event?,The juries announcement described in the question was issued by 78th Locarno Film Festival in advance.
Movies,78th Locarno Film Festival,Which festival announced Open Doors winners as part of its industry-support program?,"At 78th Locarno Film Festival, Open Doors winners were announced as part of its support program in the notice. The same festival also publicized its juries ahead of time as context."
Movies,78th Locarno Film Festival,Which festival confirmed its late-summer run dates for an August edition?,"At 78th Locarno Film Festival, the run dates were confirmed for an August edition in the update. The festival also awarded its top competition prize to “Tabi to Hibi” there."
Movies,International Film Festival Rotterdam 2025,Which festival awarded its top Tiger Award to “Fiume o morte!”?,International Film Festival Rotterdam 2025
Movies,International Film Festival Rotterdam 2025,Which festival awarded the Tiger Award to “Fiume o morte!”?,International Film Festival Rotterdam 2025 awarded the Tiger Award to “Fiume o morte!” officially.
Movies,International Film Festival Rotterdam 2025,Which festival awarded a Special Jury Award to “L’arbre de l’authenticité”?,"In the lineup, International Film Festival Rotterdam 2025 awarded a Special Jury Award to “L’arbre de l’authenticité” that year."
Movies,International Film Festival Rotterdam 2025,Which festival awarded a Special Jury Award to “Im Haus meiner Eltern”?,The Special Jury Award referenced in the question was awarded at International Film Festival Rotterdam 2025 in the results.
Movies,International Film Festival Rotterdam 2025,Which festival awarded the Big Screen Award to “Raptures”?,"At International Film Festival Rotterdam 2025, the Big Screen Award went to “Raptures” in the announcement. The same awards list also included the Tiger Award for “Fiume o morte!” as context."
Movies,International Film Festival Rotterdam 2025,Which festival also gave a critics’ prize to “Fiume o morte!” in addition to its top award?,"At International Film Festival Rotterdam 2025, “Fiume o morte!” also received the critics’ prize in addition to the Tiger Award in the list. The same results included a Big Screen Award win for “Raptures” there."
Movies,BFI London Film Festival 2025,Which UK film festival awarded its Best Film honor to “Landmarks”?,BFI London Film Festival 2025
Movies,BFI London Film Festival 2025,Which festival awarded its Best Film honor to “Landmarks”?,BFI London Film Festival 2025 awarded its Best Film honor to “Landmarks” officially.
Movies,BFI London Film Festival 2025,Which festival awarded the debut-feature prize (Sutherland Award) to “One Woman One Bra”?,"In the awards, BFI London Film Festival 2025 awarded the debut-feature prize to “One Woman One Bra” that year."
Movies,BFI London Film Festival 2025,Which festival gave the documentary prize (Grierson Award) to “The Travelers”?,The documentary prize described in the question was awarded at BFI London Film Festival 2025 in the results.
Movies,BFI London Film Festival 2025,Which festival awarded its short-film prize to “Coyotes”?,"At BFI London Film Festival 2025, the short-film prize went to “Coyotes” in the list. The same awards slate also included “Landmarks” as the Best Film winner as context."
Movies,BFI London Film Festival 2025,Which festival named Chiwetel Ejiofor as jury president for its main competition?,"At BFI London Film Festival 2025, Chiwetel Ejiofor was named jury president for the main competition in the announcement. That same page also listed multiple award winners, including “The Travelers” there."
Movies,Anora,Which film won Best Picture at the major U.S. film academy ceremony?,Anora
Movies,Anora,Which film won Best Picture at the major U.S. film academy ceremony?,Anora won Best Picture at the major U.S. film academy ceremony outright.
Movies,Anora,Which film won the directing prize at that ceremony for Sean Baker?,"In the winners list, Anora was the film tied to Sean Baker’s directing win that night."
Movies,Anora,Which film won the leading-actress prize there for Mikey Madison?,The leading-actress prize referenced in the question went to Mikey Madison for Anora at the ceremony.
Movies,Anora,Which film also won original screenplay at the writers’ guild ceremony?,"At the writers’ guild ceremony, Anora won original screenplay in the record. That same film also won Best Picture at the film academy ceremony as context."
Movies,Anora,Which film received the top theatrical-producer prize at the producers’ guild ceremony?,"At the producers’ guild ceremony, Anora received the top theatrical-producer prize in the results. The same year, it also earned the directors’ guild feature-film directing win via Sean Baker there."
Court Cases,Google,"In a U.S. antitrust ruling about control over key ad-delivery tools, which company was found to have violated competition law?",Google
Court Cases,Google,"In a major federal antitrust matter, which company entered a remedies-phase trial to determine what changes it must make?",Google began a remedies-phase trial in federal court.
Court Cases,Google,"In testimony about whether a forced divestiture could attract buyers, which company was at the center of that hearing?","The company at the center was Google, according to the testimony."
Court Cases,Google,"In a remedies hearing where the chief executive took the stand to address proposed fixes, which company was testifying defendant?","The remedies hearing with executive testimony involved Google, as the court record reflects."
Court Cases,Google,"In a remedies proceeding that reached closing arguments, which company faced the judge’s decision on what changes to impose?","In the closing-argument stage, Google was the company facing potential court-ordered changes. The judge weighed behavioral remedies rather than structural ones in that proceeding."
Court Cases,Google,"After a remedies decision where the judge rejected a breakup request but still imposed required changes, which company received that order?","In the remedies decision, Google was the company ordered to implement specific changes. The court rejected calls for a forced breakup while still requiring compliance measures going forward."
Court Cases,Apple,"In a consumer antitrust case over cloud-storage pricing, which company won dismissal at the pleading stage?",Apple
Court Cases,Apple,"In a competition dispute, which company was found in contempt for violating a federal injunction?",Apple was found in contempt of a federal injunction.
Court Cases,Apple,"In a federal monopoly lawsuit, which company failed to get the case thrown out at the motion-to-dismiss stage?","The defendant was Apple, in the court’s ruling."
Court Cases,Apple,"In a new antitrust complaint filed by a privacy-focused service provider challenging platform access rules, which company was sued?","In that newly filed antitrust complaint, Apple was the company sued over platform rules."
Court Cases,Apple,"In a case alleging unlawful payment-fee practices, which company benefited when a judge dismissed merchants’ antitrust claims?","In the merchants’ fee case, Apple was among the defendants that won dismissal. The court concluded the complaint did not plausibly allege the necessary antitrust elements for the claims to proceed."
Court Cases,Apple,"In a patent dispute with a medical-device maker that resulted in a large jury award, which company was ordered to pay damages?","In the patent verdict, Apple was the company hit with a substantial damages award. The jury sided with the medical-device maker on infringement and awarded monetary relief to the plaintiff."
Court Cases,Meta,"In an appeals-court proceeding scrutinizing whether a major privacy settlement was fair to users, which company’s deal was under review?",Meta
Court Cases,Meta,"In a case about a sweeping privacy settlement, which company saw an appeals court uphold approval of the deal?",Meta saw an appeals court uphold the privacy settlement.
Court Cases,Meta,"In a federal trial seeking to unwind past acquisitions in a social-networking market, which company was the defendant?","The defendant in the trial was Meta, according to the docket."
Court Cases,Meta,"During the government’s merger challenge trial, which company asked the judge to rule in its favor before the case fully concluded?","In that mid-trial request, Meta was the company asking for judgment as a matter of law."
Court Cases,Meta,"In a decision rejecting the government’s request for divestiture in a merger challenge, which company prevailed?","In the divestiture challenge, Meta was the company that prevailed. The judge concluded the government had not met its burden to force the requested breakup remedy."
Court Cases,Meta,"In a shareholder lawsuit alleging weak oversight of privacy compliance that ended with a nine-figure resolution, which company agreed to settle?","In the shareholder oversight case, Meta was the company that agreed to resolve the claims. The settlement included a significant payment and terms aimed at addressing alleged governance weaknesses."
Court Cases,Amazon,"In a subscription-related trial schedule that regulators briefly sought to postpone and then quickly reinstated, which company was the defendant?",Amazon
Court Cases,Amazon,"In a consumer-protection case about subscription sign-up and cancellation practices, which company agreed to a multibillion-dollar resolution?",Amazon agreed to a multibillion-dollar resolution of the claims.
Court Cases,Amazon,"In a subscription lawsuit, which company was denied permission to take an immediate appeal before the case finished?","The defendant was Amazon, and the court denied an immediate appeal."
Court Cases,Amazon,"Under a federal order tied to a subscription case, which company began issuing refunds to customers?","Under the subscription order, Amazon was the company that began issuing refunds."
Court Cases,Amazon,"In a labor-related dispute, which company lost when an appeals court said it lacked jurisdiction to hear the company’s challenge?","In the jurisdiction ruling, Amazon was the company that lost the attempt to short-circuit the labor-board process. The appeals court concluded the case could not be heard in that posture and sent the dispute back into the normal channel."
Court Cases,Amazon,"In a securities case alleging misleading disclosures about marketplace competition, which company defeated the shareholder lawsuit?","In the shareholder disclosure suit, Amazon was the company that won dismissal. The court found the pleadings insufficient under securities-law standards and ended the case at that stage."
Court Cases,Boeing,"In a federal criminal matter tied to allegations of fraud, which aerospace manufacturer had a trial date set by the judge?",Boeing
Court Cases,Boeing,"In the same criminal matter, which company sought to postpone an imminent trial while prosecutors pursued a revised resolution?",Boeing sought to postpone the scheduled trial while negotiations continued.
Court Cases,Boeing,"When prosecutors asked the court to end the criminal case under a proposed agreement, which company was the defendant?","The defendant was Boeing, under the proposed dismissal request."
Court Cases,Boeing,"In a hearing where victims’ families challenged the proposed resolution of the case, which company faced those objections?","The company facing those objections was Boeing, during the hearing."
Court Cases,Boeing,"After the judge approved dismissal of the criminal charge connected to a major certification scandal, which company received that court approval?","In the dismissal approval, Boeing was the company that obtained the court’s sign-off. The decision concluded the criminal case at the trial-court level under the negotiated resolution."
Court Cases,Boeing,"When victims’ relatives appealed seeking to revive the dismissed criminal case, which company became the target of that appeal?","In the appeal, Boeing was the company facing renewed litigation pressure. The families asked the appellate court to undo the dismissal and reopen the criminal prosecution path."
Court Cases,NCAA,"In a vote to allow direct payments to athletes contingent on court approval of a class-action settlement, which organization took that step?",NCAA
Court Cases,NCAA,"In court proceedings for final approval of a landmark athlete-compensation settlement, which organization appeared as the defendant body?",NCAA appeared for final approval of the settlement.
Court Cases,NCAA,"After the judge approved a nationwide settlement setting up revenue sharing, which organization secured that approval?","The organization that secured approval was NCAA, under the settlement order."
Court Cases,NCAA,"As implementation began, which organization launched a new clearinghouse process tied to NIL and eligibility oversight?","Under the rollout, NCAA was the organization that launched the clearinghouse."
